Species	Reads	Theoretical_Abundance(%)
Parabacteroides goldsteinii	40023	1.675616
Hungatella hathewayi	39937	1.672016
Bacteroides sp. DH3716P	38651	1.618176
Bacteroides ovatus	37709	1.578738
Bacteroides xylanisolvens	37422	1.566722
Bacteroides thetaiotaomicron	36316	1.520418
Bacteroides faecis	36270	1.518492
Anaerocolumna sp. AGMB13020	33651	1.408844
Phocaeicola dorei	32590	1.364424
Bacteroides caccae CL03T12C61	31817	1.332061
Parabacteroides sp. CT06	31496	1.318622
Parabacteroides distasonis	30933	1.295051
Phocaeicola vulgatus ATCC 8482	29889	1.251343
Bacteroides caecimuris	28265	1.183352
Bacteroides uniformis	27378	1.146216
Parabacteroides johnsonii DSM 18315	27372	1.145965
Parabacteroides merdae	27326	1.144039
[Clostridium] innocuum	27087	1.134033
Blautia wexlerae DSM 19850	27066	1.133154
Roseburia intestinalis L1-82	26139	1.094344
Ruthenibacterium lactatiformans	25564	1.070271
Odoribacter splanchnicus	25529	1.068806
Bacteroides eggerthii strain DSM 20697	24112	1.009481
Alistipes finegoldii	23893	1.000312
Paraprevotella clara	23405	0.979882
Flavonifractor plautii	23348	0.977495
Wansuia hejianensis	23101	0.967154
Clostridium sp. M62/1	22661	0.948733
Bacteroides stercoris	22580	0.945342
Blautia luti	21385	0.895312
Blautia massiliensis (ex Durand et al. 2017)	21371	0.894725
Anaerobutyricum hallii	21258	0.889995
Blautia obeum ATCC 29174	21184	0.886896
Roseburia hominis A2-183	20690	0.866214
Simiaoa sunii	20589	0.861986
Anaerotruncus colihominis strain DSM 17241	20566	0.861023
Alistipes onderdonkii	20276	0.848882
Coprococcus catus	20249	0.847751
Eggerthella lenta	20186	0.845114
Agathobacter rectalis	19969	0.836029
Coprobacter fastidiosus	19922	0.834061
Coprococcus comes ATCC 27758	19635	0.822045
Eubacterium ramulus	19608	0.820915
Bifidobacterium sp. KRGSERBCFTRI	19515	0.817022
Roseburia faecis	19467	0.815012
Dysosmobacter welbionis	19450	0.814300
Lactiplantibacillus plantarum	19098	0.799563
Mediterraneibacter glycyrrhizinilyticus	18979	0.794581
Gordonibacter urolithinfaciens	18845	0.788971
Faecalibacterium sp. I4-1-79	18788	0.786585
Alistipes communis	18733	0.784282
Barnesiella intestinihominis	18733	0.784282
Intestinimonas butyriciproducens	18584	0.778044
Olsenella sp. oral taxon 807	18520	0.775365
Dorea formicigenerans	18410	0.770759
Actinomyces naeslundii	18308	0.766489
Actinomyces oris	18191	0.761590
Faecalibacterium sp. I4-3-84	18187	0.761423
Lawsonibacter asaccharolyticus	17989	0.753133
Sutterella wadsworthensis	17810	0.745639
Faecalibacterium duncaniae	17794	0.744970
Faecalibacterium sp. IP-1-18	17671	0.739820
Intestinibacter bartlettii	17453	0.730693
Faecalibacterium sp. IP-3-29	17367	0.727093
Faecalibacterium sp. I2-3-92	17362	0.726883
Turicibacter sanguinis	17278	0.723367
[Ruminococcus] torques	17183	0.719389
Lacticaseibacillus paracasei subsp. paracasei 8700:2	17151	0.718049
Prevotella corporis	17020	0.712565
Anaerostipes hadrus	17004	0.711895
Ruminococcus bicirculans (ex Wegman et al. 2014)	16995	0.711518
Allocoprobacillus halotolerans	16971	0.710514
Pusillibacter faecalis	16919	0.708337
Dorea longicatena strain DSM 13814	16788	0.702852
Faecalibacterium prausnitzii	16727	0.700298
Turicimonas muris	16636	0.696488
Faecalibacillus intestinalis	16543	0.692595
Eubacterium ventriosum	16518	0.691548
Faecalibacterium sp. I3-3-89	16292	0.682086
Turicibacter bilis	15366	0.643318
Turicibacter sp. TJ11	15291	0.640178
Bifidobacterium sp. FKU	14967	0.626613
Alistipes putredinis	14936	0.625316
Caloranaerobacter azorensis	14708	0.615770
Eshraghiella crossota	14667	0.614054
Vescimonas coprocola	14643	0.613049
Rothia dentocariosa ATCC 17931	14375	0.601829
Schaalia odontolytica	14360	0.601201
Levilactobacillus brevis	14312	0.599191
