Species	Reads	Theoretical_Abundance(%)
Hungatella hathewayi	20892	1.685024
Parabacteroides goldsteinii	20697	1.669296
Bacteroides sp. DH3716P	19987	1.612032
Bacteroides ovatus	19509	1.573479
Bacteroides xylanisolvens	19302	1.556784
Bacteroides faecis	18862	1.521296
Bacteroides thetaiotaomicron	18753	1.512505
Anaerocolumna sp. AGMB13020	17529	1.413784
Phocaeicola dorei	16929	1.365392
Bacteroides caccae CL03T12C61	16503	1.331033
Parabacteroides sp. CT06	16109	1.299255
Parabacteroides distasonis	16094	1.298046
Phocaeicola vulgatus ATCC 8482	15447	1.245862
Bacteroides caecimuris	14536	1.172387
Parabacteroides johnsonii DSM 18315	14183	1.143916
Bacteroides uniformis	14180	1.143674
[Clostridium] innocuum	14106	1.137705
Blautia wexlerae DSM 19850	14102	1.137383
Parabacteroides merdae	14051	1.133269
Roseburia intestinalis L1-82	13464	1.085926
Ruthenibacterium lactatiformans	13240	1.067859
Odoribacter splanchnicus	13202	1.064794
Bacteroides eggerthii strain DSM 20697	12607	1.016805
Alistipes finegoldii	12428	1.002368
Paraprevotella clara	12113	0.976962
Flavonifractor plautii	11946	0.963493
Wansuia hejianensis	11878	0.958008
Clostridium sp. M62/1	11726	0.945749
Bacteroides stercoris	11594	0.935103
Blautia luti	11209	0.904051
Blautia massiliensis (ex Durand et al. 2017)	11180	0.901712
Coprococcus catus	11104	0.895582
Anaerobutyricum hallii	11016	0.888485
Blautia obeum ATCC 29174	10949	0.883081
Simiaoa sunii	10805	0.871467
Roseburia hominis A2-183	10753	0.867273
Anaerotruncus colihominis strain DSM 17241	10742	0.866385
Alistipes onderdonkii	10596	0.854610
Eggerthella lenta	10459	0.843560
Agathobacter rectalis	10387	0.837753
Coprobacter fastidiosus	10318	0.832188
Dysosmobacter welbionis	10187	0.821622
Coprococcus comes ATCC 27758	10176	0.820735
Bifidobacterium sp. KRGSERBCFTRI	10160	0.819445
Eubacterium ramulus	10132	0.817186
Roseburia faecis	10127	0.816783
Alistipes communis	9882	0.797023
Gordonibacter urolithinfaciens	9861	0.795329
Mediterraneibacter glycyrrhizinilyticus	9844	0.793958
Barnesiella intestinihominis	9785	0.789199
Intestinimonas butyriciproducens	9711	0.783231
Faecalibacterium sp. I4-1-79	9675	0.780328
Olsenella sp. oral taxon 807	9658	0.778956
Lactiplantibacillus plantarum	9646	0.777989
Actinomyces oris	9589	0.773391
Dorea formicigenerans	9575	0.772262
Actinomyces naeslundii	9450	0.762180
Faecalibacterium sp. I4-3-84	9396	0.757825
Faecalibacterium duncaniae	9355	0.754518
Lawsonibacter asaccharolyticus	9351	0.754196
Faecalibacterium sp. IP-1-18	9125	0.735968
Sutterella wadsworthensis	9094	0.733468
Intestinibacter bartlettii	9077	0.732096
Faecalibacterium sp. IP-3-29	9046	0.729596
Turicibacter sanguinis	8974	0.723789
[Ruminococcus] torques	8956	0.722337
Ruminococcus bicirculans (ex Wegman et al. 2014)	8951	0.721934
Faecalibacterium sp. I2-3-92	8887	0.716772
Lacticaseibacillus paracasei subsp. paracasei 8700:2	8846	0.713465
Anaerostipes hadrus	8836	0.712659
Dorea longicatena strain DSM 13814	8803	0.709997
Allocoprobacillus halotolerans	8794	0.709271
Prevotella corporis	8749	0.705642
Turicimonas muris	8727	0.703868
Pusillibacter faecalis	8673	0.699512
Faecalibacillus intestinalis	8630	0.696044
Faecalibacterium prausnitzii	8628	0.695883
Eubacterium ventriosum	8583	0.692253
Faecalibacterium sp. I3-3-89	8456	0.682010
Turicibacter bilis	8022	0.647006
Turicibacter sp. TJ11	8007	0.645797
Bifidobacterium sp. FKU	7917	0.638538
Alistipes putredinis	7752	0.625230
Caloranaerobacter azorensis	7639	0.616116
Vescimonas coprocola	7617	0.614342
Eshraghiella crossota	7559	0.609664
Rothia dentocariosa ATCC 17931	7528	0.607163
Levilactobacillus brevis	7427	0.599017
Schaalia odontolytica	7367	0.594178
Collinsella aerofaciens	7328	0.591033
Prevotella bivia	7291	0.588048
Bifidobacterium longum subsp. longum JCM 1217	7197	0.580467
Aggregatibacter aphrophilus	7032	0.567159
Streptococcus sanguinis	6920	0.558126
Rothia mucilaginosa	6909	0.557239
Streptococcus salivarius JIM8777	6622	0.534091
Haemophilus pittmaniae	6610	0.533123
Streptococcus gordonii	6594	0.531833
Fusobacterium nucleatum subsp. nucleatum ATCC 25586	6541	0.527558
Veillonella rogosae	6483	0.522880
Streptococcus parasanguinis ATCC 15912	6477	0.522396
Streptococcus australis	6469	0.521751
Haemophilus parainfluenzae	6456	0.520702
Lachnospira eligens ATCC 27750	6455	0.520622
Streptococcus sp. LPB0220	6414	0.517315
Veillonella parvula	6363	0.513201
Veillonella nakazawae	6296	0.507798
Haemophilus parahaemolyticus	6294	0.507636
Bifidobacterium adolescentis ATCC 15703	6255	0.504491
Veillonella orientalis	6242	0.503442
Veillonella atypica	6190	0.499248
Streptococcus koreensis	6037	0.486908
Streptococcus anginosus	5864	0.472955
Streptococcus vestibularis	5825	0.469810
Streptococcus intermedius	5815	0.469003
Haemophilus haemolyticus	5812	0.468761
Streptococcus oralis	5772	0.465535
Streptococcus mitis	5727	0.461905
Haemophilus influenzae	5700	0.459728
Pediococcus pentosaceus ATCC 25745	5503	0.443839
Campylobacter concisus	5502	0.443758
Mogibacterium diversum	5451	0.439645
Gemella sanguinis	5399	0.435451
Streptococcus thermophilus	5375	0.433515
Peptoniphilus lacrimalis	5056	0.407787
Gardnerella vaginalis ATCC 14018 = JCM 11026	5026	0.405367
Fenollaria massiliensis	4845	0.390769
