taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	938	580	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4576573	474	287	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1907773	301	249	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	0	160	116	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	3953506	2250	1470	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4379231	836	549	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5140018	5778	2200	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9487953	6058	2139	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	1078	719	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	0	1715	957	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910441	1532	899	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	0	1971	1298	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	0	1035	759	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	0	403	267	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	0	5581	2166	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2469862	105	71	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4238499	6599	2009	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	3700497	1251	733	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3705021	478	318	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4909403	965	551	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
93	93	Stella	Stella	genus	0.0	abund	0.0	0	962	572	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3162471	260	185	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	0	1503	840	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	0	1765	1285	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	0	2635	1403	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	0	1731	1289	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6196199	448	339	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5529304	445	260	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	0	2693	1453	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1176628	2394	1101	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2772907	1132	699	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
157	157	Treponema	Treponema	genus	0.0081831	abund	8.1831e-05	2490077	8346	3609	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	5319704	2480	787	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2432093	664	204	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	0	2	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7223069	16023	4420	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
194	194	Campylobacter	Campylobacter	genus	0.014190748511948013	abund	0.00014190748511948013	2403822	11847	3577	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1715890	3197	1708	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	7359146	16760	4020	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4609878	2269	400	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
234	234	Brucella	Brucella	genus	0.0	abund	0.0	4039663	1275	551	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	3461015	5831	3609	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
262	262	Francisella	Francisella	genus	0.0	abund	0.0	3767258	2489	588	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	5054656	7557	2027	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
270	270	Thermus	Thermus	genus	0.0	abund	0.0	2279019	5065	1227	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	5625098	1015	668	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
283	283	Comamonas	Comamonas	genus	0.0	abund	0.0	5461687	3411	1518	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
286	286	Pseudomonas	Pseudomonas	genus	0.006585729800000013	abund	6.585729800000013e-05	9017316	97901	28491	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
338	338	Xanthomonas	Xanthomonas	genus	0.0	abund	0.0	23419814	15989	2605	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	5311796	4075	757	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
357	357	Agrobacterium	Agrobacterium	genus	0.0	abund	0.0	6422834	8444	1989	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	11894480	17605	6545	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
379	379	Rhizobium	Rhizobium	genus	0.0	abund	0.0	8184003	17198	5420	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	2971517	196	121	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
407	407	Methylobacterium	Methylobacterium	genus	0.0	abund	0.0	7144985	14009	4163	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	3304561	508	323	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
416	416	Methylomonas	Methylomonas	genus	0.0	abund	0.0	5051681	1819	932	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	5183433	635	396	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
434	434	Acetobacter	Acetobacter	genus	0.0	abund	0.0	3590557	3324	919	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
441	441	Gluconobacter	Gluconobacter	genus	0.0	abund	0.0	4181963	1177	282	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
445	445	Legionella	Legionella	genus	0.0	abund	0.0	10525492	3756	1580	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
465	465	Tatlockia	Tatlockia	genus	0.0	abund	0.0	9836958	366	28	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
469	469	Acinetobacter	Acinetobacter	genus	0.0	abund	0.0	4126830	11848	4669	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
475	475	Moraxella	Moraxella	genus	0.0	abund	0.0	1863286	1661	495	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
482	482	Neisseria	Neisseria	genus	0.0	abund	0.0	2223758	7727	2035	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
497	497	Psychrobacter	Psychrobacter	genus	0.0	abund	0.0	2875899	1141	424	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
499	499	Thermomicrobium	Thermomicrobium	genus	0.0	abund	0.0	2920744	227	157	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
507	507	Alcaligenes	Alcaligenes	genus	0.0	abund	0.0	0	1608	508	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
517	517	Bordetella	Bordetella	genus	0.0	abund	0.0	4536693	17796	3714	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
522	522	Acidiphilium	Acidiphilium	genus	0.0	abund	0.0	4088912	971	212	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
528	528	Ochrobactrum	Ochrobactrum	genus	0.0	abund	0.0	5205777	2015	744	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
532	532	Beijerinckia	Beijerinckia	genus	0.0	abund	0.0	4418616	227	135	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
535	535	Chromobacterium	Chromobacterium	genus	0.0	abund	0.0	4751080	5175	742	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
538	538	Eikenella	Eikenella	genus	0.0	abund	0.0	0	452	185	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
541	541	Zymomonas	Zymomonas	genus	0.0	abund	0.0	3463673	639	295	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
544	544	Citrobacter	Citrobacter	genus	0.02950614954	abund	0.0002950614954	5276819	45968	33590	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
547	547	Enterobacter	Enterobacter	genus	0.03252063028	abund	0.0003252063028	11028548	23642	3622	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
551	551	Erwinia	Erwinia	genus	0.0	abund	0.0	4250482	3106	998	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
561	561	Escherichia	Escherichia	genus	0.07478972362000001	abund	0.0007478972362000001	8380592	43944	13145	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
568	568	Hafnia	Hafnia	genus	0.0	abund	0.0	4712721	1160	187	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
570	570	Klebsiella	Klebsiella	genus	0.0048478832	abund	4.8478832e-05	5435727	23434	3987	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
579	579	Kluyvera	Kluyvera	genus	0.0	abund	0.0	0	563	28	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
581	581	Morganella	Morganella	genus	0.0	abund	0.0	5836016	1700	671	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
583	583	Proteus	Proteus	genus	0.000368878	abund	3.68878e-06	3973324	2243	773	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
586	586	Providencia	Providencia	genus	0.0	abund	0.0	4402109	2005	395	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
590	590	Salmonella	Salmonella	genus	0.0002618912303220888	abund	2.618912303220888e-06	11699879	11831	1404	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
613	613	Serratia	Serratia	genus	1.83162e-05	abund	1.83162e-07	5012487	16789	2533	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
620	620	Shigella	Shigella	genus	0.000184788	abund	1.84788e-06	6517268	10055	422	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
626	626	Xenorhabdus	Xenorhabdus	genus	0.0	abund	0.0	4157227	1135	571	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
629	629	Yersinia	Yersinia	genus	0.0	abund	0.0	6072098	4503	938	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
635	635	Edwardsiella	Edwardsiella	genus	0.0	abund	0.0	3906392	5004	623	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
637	637	Arsenophonus	Arsenophonus	genus	0.0	abund	0.0	0	187	140	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
642	642	Aeromonas	Aeromonas	genus	4.05841e-05	abund	4.05841e-07	5822658	17018	3645	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
657	657	Photobacterium	Photobacterium	genus	0.0	abund	0.0	6418250	1616	493	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
662	662	Vibrio	Vibrio	genus	1.035297369e-21	abund	1.0352973690000001e-23	5583206	16467	5084	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
702	702	Plesiomonas	Plesiomonas	genus	0.0	abund	0.0	0	296	147	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
713	713	Actinobacillus	Actinobacillus	genus	0.0	abund	0.0	2346381	1816	481	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
724	724	Haemophilus	Haemophilus	genus	0.000570669	abund	5.70669e-06	2428729	4507	1521	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
