taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	896	580	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	602805	784	493	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3526441	530	306	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	171	147	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
19	19	Pelobacter carbinolicus	Pelobacter carbinolicus	species	0.0	abund	0.0	3665893	551	424	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	4749735	585	116	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	9139763	3353	594	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8973512	3145	720	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	1065	719	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12349744	1706	957	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	1966	1298	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	1033	759	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	13907952	8178	3386	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
63	63	Vitreoscilla filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3787551	321	208	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	12227539	1653	840	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	2469862	101	71	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
94	94	Stella humosa	Stella humosa	species	0.0	abund	0.0	5832650	952	572	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	6221273	337	279	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	17998094	1690	922	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
119	119	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	species	0.0	abund	0.0	6006602	153	104	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	5460085	132	86	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	15634937	579	289	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
125	125	Pirellula staleyi	Pirellula staleyi	species	0.0	abund	0.0	6196199	280	215	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	5529304	443	260	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
134	134	Methylocystis parvus	Methylocystis parvus	species	0.0	abund	0.0	4529043	465	281	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
139	139	Borreliella burgdorferi	Borreliella burgdorferi	species	0.0	abund	0.0	1329613	82	22	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
140	140	Borrelia hermsii	Borrelia hermsii	species	0.0	abund	0.0	1156143	162	33	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
141	141	Borrelia parkeri	Borrelia parkeri	species	0.0	abund	0.0	1030684	118	6	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
142	142	Borrelia turicatae	Borrelia turicatae	species	0.0	abund	0.0	1165365	214	27	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
143	143	Borrelia anserina	Borrelia anserina	species	0.0	abund	0.0	1042690	56	32	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
154	154	Spirochaeta thermophila	Spirochaeta thermophila	species	0.0	abund	0.0	2516433	635	322	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
158	158	Treponema denticola	Treponema denticola	species	0.0	abund	0.0	2843201	448	213	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
159	159	Brachyspira hyodysenteriae	Brachyspira hyodysenteriae	species	0.0	abund	0.0	3055339	877	26	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
160	160	Treponema pallidum	Treponema pallidum	species	0.0	abund	0.0	1139017	178	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
162	162	Treponema phagedenis	Treponema phagedenis	species	0.0	abund	0.0	17151030	1389	58	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
167	167	Treponema succinifaciens	Treponema succinifaciens	species	0.0081831	abund	8.1831e-05	2897425	2149	450	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
172	172	Leptospira biflexa	Leptospira biflexa	species	0.0	abund	0.0	3956089	200	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
173	173	Leptospira interrogans	Leptospira interrogans	species	0.0	abund	0.0	6128534	775	263	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
174	174	Leptospira borgpetersenii	Leptospira borgpetersenii	species	0.0	abund	0.0	4736323	513	99	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
180	180	Leptospirillum ferrooxidans	Leptospirillum ferrooxidans	species	0.0	abund	0.0	2559538	182	117	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
192	192	Azospirillum brasilense	Azospirillum brasilense	species	0.0	abund	0.0	50779208	7281	1297	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
193	193	Azospirillum lipoferum	Azospirillum lipoferum	species	0.0	abund	0.0	7223069	2360	1035	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
195	195	Campylobacter coli	Campylobacter coli	species	0.012200400000000014	abund	0.00012200400000000014	1776238	3378	481	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
196	196	Campylobacter fetus	Campylobacter fetus	species	0.000147417	abund	1.47417e-06	2065164	369	118	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
197	197	Campylobacter jejuni	Campylobacter jejuni	species	0.000443223311948	abund	4.43223311948e-06	3124996	1843	521	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
198	198	Campylobacter hyointestinalis	Campylobacter hyointestinalis	species	1.7815700000000001e-242	abund	1.7815700000000002e-244	1755214	420	38	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
199	199	Campylobacter concisus	Campylobacter concisus	species	0.0	abund	0.0	2099413	255	138	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
200	200	Campylobacter curvus	Campylobacter curvus	species	0.0	abund	0.0	1971270	488	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
201	201	Campylobacter lari	Campylobacter lari	species	0.0	abund	0.0	1565468	626	183	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
204	204	Campylobacter showae	Campylobacter showae	species	0.0	abund	0.0	2160580	267	222	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
206	206	Campylobacter sputorum	Campylobacter sputorum	species	0.0	abund	0.0	1746988	585	93	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
210	210	Helicobacter pylori	Helicobacter pylori	species	0.0	abund	0.0	1700965	1319	570	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
212	212	Helicobacter acinonychis	Helicobacter acinonychis	species	0.0	abund	0.0	1557588	70	39	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
213	213	Helicobacter cinaedi	Helicobacter cinaedi	species	0.0	abund	0.0	2170766	298	70	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
214	214	Helicobacter felis	Helicobacter felis	species	0.0	abund	0.0	1672681	79	72	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
217	217	Helicobacter mustelae	Helicobacter mustelae	species	0.0	abund	0.0	1578097	158	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
227	227	Pseudoalteromonas carrageenovora	Pseudoalteromonas carrageenovora	species	0.0	abund	0.0	4597803	114	58	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
228	228	Pseudoalteromonas haloplanktis	Pseudoalteromonas haloplanktis	species	0.0	abund	0.0	3850272	101	31	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
235	235	Brucella abortus	Brucella abortus	species	0.0	abund	0.0	3283421	24	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
236	236	Brucella ovis	Brucella ovis	species	0.0	abund	0.0	3275590	4	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
238	238	Elizabethkingia meningoseptica	Elizabethkingia meningoseptica	species	0.0	abund	0.0	15625789	1057	184	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
246	246	Chryseobacterium balustinum	Chryseobacterium balustinum	species	0.0	abund	0.0	4974086	275	176	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
247	247	Empedobacter brevis	Empedobacter brevis	species	0.0	abund	0.0	7431270	593	96	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
250	250	Chryseobacterium gleum	Chryseobacterium gleum	species	0.0	abund	0.0	9292597	696	500	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	0.0	abund	0.0	35240523	2122	446	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
254	254	Chryseobacterium indoltheticum	Chryseobacterium indoltheticum	species	0.0	abund	0.0	8445673	582	359	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
259	259	Sphingobacterium thalpophilum	Sphingobacterium thalpophilum	species	0.0	abund	0.0	5962893	634	491	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
263	263	Francisella tularensis	Francisella tularensis	species	0.0	abund	0.0	3018743	680	131	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
266	266	Paracoccus denitrificans	Paracoccus denitrificans	species	0.0	abund	0.0	5236194	1667	12	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
271	271	Thermus aquaticus	Thermus aquaticus	species	0.0	abund	0.0	2338641	566	215	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
274	274	Thermus thermophilus	Thermus thermophilus	species	0.0	abund	0.0	2214494	2524	362	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
277	277	Meiothermus ruber	Meiothermus ruber	species	2.9531400000000003e-05	abund	2.95314e-07	3097457	396	221	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
280	280	Xanthobacter autotrophicus	Xanthobacter autotrophicus	species	0.0	abund	0.0	5625098	1001	668	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
285	285	Comamonas testosteroni	Comamonas testosteroni	species	0.0	abund	0.0	5856025	1257	491	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0061698898	abund	6.1698898e-05	6798896	7271	1503	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
288	288	Pseudoalteromonas atlantica	Pseudoalteromonas atlantica	species	0.0	abund	0.0	5187005	223	92	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
292	292	Burkholderia cepacia	Burkholderia cepacia	species	0.0	abund	0.0	13565292	4500	539	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
293	293	Brevundimonas diminuta	Brevundimonas diminuta	species	0.0	abund	0.0	3551819	539	176	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
294	294	Pseudomonas fluorescens	Pseudomonas fluorescens	species	1.0004399999999999e-36	abund	1.00044e-38	6604895	8340	1870	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
296	296	Pseudomonas fragi	Pseudomonas fragi	species	0.000138814	abund	1.38814e-06	10253943	931	458	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
297	297	Hydrogenophilus thermoluteolus	Hydrogenophilus thermoluteolus	species	0.0	abund	0.0	2288780	273	229	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
300	300	Pseudomonas mendocina	Pseudomonas mendocina	species	0.0	abund	0.0	5293211	3234	739	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
301	301	Pseudomonas oleovorans	Pseudomonas oleovorans	species	0.0	abund	0.0	4686340	653	102	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
303	303	Pseudomonas putida	Pseudomonas putida	species	0.0	abund	0.0	6160317	7567	1969	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
305	305	Ralstonia solanacearum	Ralstonia solanacearum	species	0.0	abund	0.0	5757294	5160	1154	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
316	316	Pseudomonas stutzeri	Pseudomonas stutzeri	species	0.0	abund	0.0	4548207	5646	1818	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
317	317	Pseudomonas syringae	Pseudomonas syringae	species	0.0	abund	0.0	8747300	3313	637	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
329	329	Ralstonia pickettii	Ralstonia pickettii	species	0.0	abund	0.0	5505543	2247	394	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
330	330	Pseudomonas pseudoalcaligenes	Pseudomonas pseudoalcaligenes	species	0.0	abund	0.0	6242949	928	367	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
337	337	Burkholderia glumae	Burkholderia glumae	species	0.0	abund	0.0	6878727	2778	202	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
339	339	Xanthomonas campestris	Xanthomonas campestris	species	0.0	abund	0.0	7099366	1154	237	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
343	343	Xanthomonas translucens	Xanthomonas translucens	species	0.0	abund	0.0	11701367	2258	145	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
346	346	Xanthomonas citri	Xanthomonas citri	species	0.0	abund	0.0	27676482	2220	411	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
347	347	Xanthomonas oryzae	Xanthomonas oryzae	species	0.0	abund	0.0	63225372	1407	423	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
353	353	Azotobacter chroococcum	Azotobacter chroococcum	species	0.0	abund	0.0	5192286	1551	433	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
354	354	Azotobacter vinelandii	Azotobacter vinelandii	species	0.0	abund	0.0	5351632	1659	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
358	358	Agrobacterium tumefaciens	Agrobacterium tumefaciens	species	0.0	abund	0.0	7273300	5428	978	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
359	359	Agrobacterium rhizogenes	Agrobacterium rhizogenes	species	0.0	abund	0.0	5482241	355	136	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
373	373	Agrobacterium vitis	Agrobacterium vitis	species	0.0	abund	0.0	6320946	395	244	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	default	Centrifuge_default
