taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	8303437	96	38	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5456382	1099	209	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1035567	116	100	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	0	209	130	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	5684294	260	123	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3434371	648	355	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
22	22	Shewanella	Shewanella	genus	0.0159551	abund	0.000159551	2480118	12457	7278	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	3299975	806	303	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	1035569	95	72	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	0	320	113	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	1035558	82	30	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
47	47	Archangium	Archangium	genus	0.000528789	abund	5.28789e-06	0	3438	2853	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	0	50	33	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	0	76	37	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	0	133	87	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	0	293	133	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	0	2780	1051	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	17308306	137	59	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	2388828	3308	1078	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	1035563	793	265	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	1035568	1156	577	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	1035574	108	86	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
93	93	Stella	Stella	genus	0.0	abund	0.0	1035557	95	63	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	1035565	28	16	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
99	99	Ancylobacter	Ancylobacter	genus	1.6169511500999998e-17	abund	1.6169511501e-19	1035570	1560	424	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	3821145	275	88	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
107	107	Spirosoma	Spirosoma	genus	0.00117395	abund	1.17395e-05	0	11207	1828	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	3106835	777	235	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuge	unified	Centrifuge_unified
