taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium_caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5316790	366	366	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
9	9	Buchnera_aphidicola	Buchnera aphidicola	species	0.0007	abund	7e-06	487923	589	442	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
11	11	Cellulomonas_gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3389728	219	219	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
14	14	Dictyoglomus_thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1903176	101	101	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
19	19	Syntrophotalea_carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	3648065	242	242	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
24	24	Shewanella_putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	9412355	163	148	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
34	34	Myxococcus_xanthus	Myxococcus xanthus	species	0.0	abund	0.0	24468179	812	598	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
35	35	Corallococcus_macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8809604	801	458	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
41	41	Stigmatella_aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10161510	548	548	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
43	43	Cystobacter_fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12216880	713	713	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
48	48	Archangium_gephyra	Archangium gephyra	species	0.0	abund	0.0	12349166	715	713	species	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	default	Centrifuger_default
