taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	245	245	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5004593	422	353	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1907773	157	156	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	4227422	270	230	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4241119	299	298	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4283605	1144	1143	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5248939	3938	2493	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9689087	2791	2042	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	432	432	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	24084199	941	638	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910435	335	334	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	13013056	2614	2144	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11388132	428	428	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	13228663	617	617	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	12320079	618	618	genus	DYN_0004_D10_report	DYN_0004_D10	illumina	Centrifuger	unified	Centrifuger_unified
