taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
816	816	                    Bacteroides	Bacteroides	genus	19.68	abund	19.68	5635895	893540	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
909656	909656	                    Phocaeicola	Phocaeicola	genus	5.17	abund	5.17	1479676	132486	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
239759	239759	                    Alistipes	Alistipes	genus	4.61	abund	4.61	1320148	25262	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1647173	1647173	                    Acetobacteroides	Acetobacteroides	genus	0.0	abund	0.0	99	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
375288	375288	                    Parabacteroides	Parabacteroides	genus	3.12	abund	3.12	893434	57321	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	445	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
283168	283168	                    Odoribacter	Odoribacter	genus	0.18	abund	0.18	51836	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
574697	574697	                    Butyricimonas	Butyricimonas	genus	0.07	abund	0.07	18705	1289	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
397864	397864	                    Barnesiella	Barnesiella	genus	0.14	abund	0.14	39149	254	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1348911	1348911	                    Coprobacter	Coprobacter	genus	0.0	abund	0.0	499	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
838	838	                    Prevotella	Prevotella	genus	0.04	abund	0.04	10334	1211	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2974251	2974251	                    Segatella	Segatella	genus	0.03	abund	0.03	9426	740	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
577309	577309	                    Paraprevotella	Paraprevotella	genus	0.03	abund	0.03	7849	50	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.0	abund	0.0	560	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	449	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	100	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
836	836	                    Porphyromonas	Porphyromonas	genus	0.03	abund	0.03	9043	18	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2518495	2518495	                    Duncaniella	Duncaniella	genus	0.0	abund	0.0	1047	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2815786	2815786	                    Sodaliphilus	Sodaliphilus	genus	0.0	abund	0.0	304	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1918540	1918540	                    Muribaculum	Muribaculum	genus	0.0	abund	0.0	303	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2518497	2518497	                    Paramuribaculum	Paramuribaculum	genus	0.0	abund	0.0	186	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
156973	156973	                    Dysgonomonas	Dysgonomonas	genus	0.0	abund	0.0	309	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
307628	307628	                    Petrimonas	Petrimonas	genus	0.0	abund	0.0	264	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
294702	294702	                    Proteiniphilum	Proteiniphilum	genus	0.0	abund	0.0	173	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3404873	3404873	                    Limibacterium	Limibacterium	genus	0.0	abund	0.0	147	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
346096	346096	                    Paludibacter	Paludibacter	genus	0.0	abund	0.0	104	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
511434	511434	                    Candidatus Azobacteroides	Candidatus Azobacteroides	genus	0.0	abund	0.0	20	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1970191	1970191	                    Salinivirga	Salinivirga	genus	0.0	abund	0.0	10	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2760873	2760873	                    Tenuifilum	Tenuifilum	genus	0.0	abund	0.0	7	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1471399	1471399	                    Draconibacterium	Draconibacterium	genus	0.0	abund	0.0	424	53	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2678352	2678352	                    Maribellus	Maribellus	genus	0.0	abund	0.0	152	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2792393	2792393	                    Aquipluma	Aquipluma	genus	0.0	abund	0.0	52	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1573808	1573808	                    Mangrovibacterium	Mangrovibacterium	genus	0.0	abund	0.0	39	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3374594	3374594	                    Halosquirtibacter	Halosquirtibacter	genus	0.0	abund	0.0	19	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2060722	2060722	                    Labilibaculum	Labilibaculum	genus	0.0	abund	0.0	158	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
866673	866673	                    Marinifilum	Marinifilum	genus	0.0	abund	0.0	55	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1193324	1193324	                    Alkalitalea	Alkalitalea	genus	0.0	abund	0.0	43	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3129724	3129724	                    Xiashengella	Xiashengella	genus	0.0	abund	0.0	36	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
237	237	                    Flavobacterium	Flavobacterium	genus	0.02	abund	0.02	4896	907	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
52959	52959	                    Polaribacter	Polaribacter	genus	0.0	abund	0.0	860	82	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
104267	104267	                    Tenacibaculum	Tenacibaculum	genus	0.0	abund	0.0	710	13	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1016	1016	                    Capnocytophaga	Capnocytophaga	genus	0.0	abund	0.0	547	120	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
286104	286104	                    Winogradskyella	Winogradskyella	genus	0.0	abund	0.0	542	18	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
252356	252356	                    Maribacter	Maribacter	genus	0.0	abund	0.0	459	15	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1649495	1649495	                    Seonamhaeicola	Seonamhaeicola	genus	0.0	abund	0.0	286	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
292691	292691	                    Christiangramia	Christiangramia	genus	0.0	abund	0.0	285	2	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
527198	527198	                    Mariniflexile	Mariniflexile	genus	0.0	abund	0.0	269	2	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
290174	290174	                    Aquimarina	Aquimarina	genus	0.0	abund	0.0	262	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
444459	444459	                    Flagellimonas	Flagellimonas	genus	0.0	abund	0.0	260	13	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2058174	2058174	                    Antarcticibacterium	Antarcticibacterium	genus	0.0	abund	0.0	252	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
104264	104264	                    Cellulophaga	Cellulophaga	genus	0.0	abund	0.0	242	32	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
76831	76831	                    Myroides	Myroides	genus	0.0	abund	0.0	226	3	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
261827	261827	                    Algibacter	Algibacter	genus	0.0	abund	0.0	219	3	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
111500	111500	                    Allomuricauda	Allomuricauda	genus	0.0	abund	0.0	205	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
363408	363408	                    Nonlabens	Nonlabens	genus	0.0	abund	0.0	178	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
291183	291183	                    Lacinutrix	Lacinutrix	genus	0.0	abund	0.0	175	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
221065	221065	                    Kordia	Kordia	genus	0.0	abund	0.0	174	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
112040	112040	                    Zobellia	Zobellia	genus	0.0	abund	0.0	158	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1209327	1209327	                    Flavivirga	Flavivirga	genus	0.0	abund	0.0	143	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
417127	417127	                    Zunongwangia	Zunongwangia	genus	0.0	abund	0.0	142	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
225842	225842	                    Formosa	Formosa	genus	0.0	abund	0.0	136	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1386924	1386924	                    Aestuariibaculum	Aestuariibaculum	genus	0.0	abund	0.0	127	8	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
393005	393005	                    Tamlana	Tamlana	genus	0.0	abund	0.0	106	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
283735	283735	                    Leeuwenhoekiella	Leeuwenhoekiella	genus	0.0	abund	0.0	103	13	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2822394	2822394	                    Patiriisocius	Patiriisocius	genus	0.0	abund	0.0	97	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
252306	252306	                    Robiginitalea	Robiginitalea	genus	0.0	abund	0.0	94	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3400365	3400365	                    Allotamlana	Allotamlana	genus	0.0	abund	0.0	90	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1434045	1434045	                    Sinomicrobium	Sinomicrobium	genus	0.0	abund	0.0	82	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
153265	153265	                    Aequorivita	Aequorivita	genus	0.0	abund	0.0	79	15	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
178469	178469	                    Arenibacter	Arenibacter	genus	0.0	abund	0.0	78	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
358023	358023	                    Lutibacter	Lutibacter	genus	0.0	abund	0.0	77	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
143222	143222	                    Salegentibacter	Salegentibacter	genus	0.0	abund	0.0	76	5	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
83612	83612	                    Psychroflexus	Psychroflexus	genus	0.0	abund	0.0	68	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2045416	2045416	                    Oceanihabitans	Oceanihabitans	genus	0.0	abund	0.0	61	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
326319	326319	                    Dokdonia	Dokdonia	genus	0.0	abund	0.0	60	17	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2831916	2831916	                    Pukyongia	Pukyongia	genus	0.0	abund	0.0	58	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1287916	1287916	                    Euzebyella	Euzebyella	genus	0.0	abund	0.0	57	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
561367	561367	                    Salinimicrobium	Salinimicrobium	genus	0.0	abund	0.0	57	1	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3400333	3400333	                    Thalassobellus	Thalassobellus	genus	0.0	abund	0.0	56	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
244698	244698	                    Gillisia	Gillisia	genus	0.0	abund	0.0	52	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
343334	343334	                    Costertonia	Costertonia	genus	0.0	abund	0.0	47	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
369400	369400	                    Flaviramulus	Flaviramulus	genus	0.0	abund	0.0	44	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
49277	49277	                    Psychroserpens	Psychroserpens	genus	0.0	abund	0.0	42	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
387658	387658	                    Marixanthomonas	Marixanthomonas	genus	0.0	abund	0.0	40	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
216431	216431	                    Croceibacter	Croceibacter	genus	0.0	abund	0.0	39	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
444051	444051	                    Mesoflavibacter	Mesoflavibacter	genus	0.0	abund	0.0	38	17	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
762641	762641	                    Muriicola	Muriicola	genus	0.0	abund	0.0	33	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1211036	1211036	                    Mangrovimonas	Mangrovimonas	genus	0.0	abund	0.0	33	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
