taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
820	820	                      Bacteroides uniformis	Bacteroides uniformis	species	6.37	abund	6.37	1823920	1791615	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
818	818	                      Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.58	abund	2.58	737841	737739	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
329854	329854	                      Bacteroides intestinalis	Bacteroides intestinalis	species	2.0	abund	2.0	572026	572026	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
246787	246787	                      Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	species	1.79	abund	1.79	512249	512249	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
817	817	                      Bacteroides fragilis	Bacteroides fragilis	species	1.56	abund	1.56	447052	436977	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
47678	47678	                      Bacteroides caccae	Bacteroides caccae	species	1.31	abund	1.31	375471	351833	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3117552	3117552	                        Bacteroides sp. MSB163	Bacteroides sp. MSB163	species	0.12	abund	0.12	35648	35648	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2785531	2785531	                        Bacteroides sp. HF-162	Bacteroides sp. HF-162	species	0.03	abund	0.03	8015	8015	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2528203	2528203	                        Bacteroides sp. A1C1	Bacteroides sp. A1C1	species	0.02	abund	0.02	7146	7146	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2755405	2755405	                        Bacteroides sp. CACC 737	Bacteroides sp. CACC 737	species	0.02	abund	0.02	6979	6979	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2025659	2025659	                        Bacteroides sp. KFT8	Bacteroides sp. KFT8	species	0.01	abund	0.01	3581	3581	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2847299	2847299	                        Bacteroides sp. DH3716P	Bacteroides sp. DH3716P	species	0.01	abund	0.01	2025	2025	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3096000	3096000	                        Bacteroides sp. CG01	Bacteroides sp. CG01	species	0.01	abund	0.01	1649	1649	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2763022	2763022	                        Bacteroides sp. M10	Bacteroides sp. M10	species	0.0	abund	0.0	1328	1328	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
556259	556259	                        Bacteroides sp. D2	Bacteroides sp. D2	species	0.0	abund	0.0	827	827	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2972761	2972761	                        Bacteroides sp. BFG-257	Bacteroides sp. BFG-257	species	0.0	abund	0.0	361	361	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
469590	469590	                        Bacteroides sp. 2_2_4	Bacteroides sp. 2_2_4	species	0.0	abund	0.0	147	147	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2972764	2972764	                        Bacteroides sp. BFG-637	Bacteroides sp. BFG-637	species	0.0	abund	0.0	79	79	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2709390	2709390	                        Bacteroides sp. ZJ-18	Bacteroides sp. ZJ-18	species	0.0	abund	0.0	66	66	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2162637	2162637	                        Bacteroides sp. PHL 2737	Bacteroides sp. PHL 2737	species	0.0	abund	0.0	41	41	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2972763	2972763	                        Bacteroides sp. BFG-606	Bacteroides sp. BFG-606	species	0.0	abund	0.0	10	10	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28116	28116	                      Bacteroides ovatus	Bacteroides ovatus	species	0.19	abund	0.19	54820	54756	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
291644	291644	                      Bacteroides salyersiae	Bacteroides salyersiae	species	0.13	abund	0.13	36187	36187	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
371601	371601	                      Bacteroides xylanisolvens	Bacteroides xylanisolvens	species	0.08	abund	0.08	23915	17656	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
674529	674529	                      Bacteroides faecis	Bacteroides faecis	species	0.06	abund	0.06	16467	16467	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
291645	291645	                      Bacteroides nordii	Bacteroides nordii	species	0.05	abund	0.05	13482	13482	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
46506	46506	                      Bacteroides stercoris	Bacteroides stercoris	species	0.04	abund	0.04	10856	5320	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2650157	2650157	                      Bacteroides zhangwenhongii	Bacteroides zhangwenhongii	species	0.02	abund	0.02	6467	6467	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28111	28111	                      Bacteroides eggerthii	Bacteroides eggerthii	species	0.02	abund	0.02	6343	6343	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1796613	1796613	                      Bacteroides caecimuris	Bacteroides caecimuris	species	0.02	abund	0.02	5741	5741	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2715212	2715212	                      Bacteroides faecium	Bacteroides faecium	species	0.02	abund	0.02	4746	4746	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2792859	2792859	                      Bacteroides humanifaecis	Bacteroides humanifaecis	species	0.01	abund	0.01	4138	4138	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
290053	290053	                      Bacteroides helcogenes	Bacteroides helcogenes	species	0.01	abund	0.01	3298	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2763023	2763023	                      Bacteroides hominis	Bacteroides hominis	species	0.01	abund	0.01	2841	2841	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28119	28119	                      Bacteroides zoogleoformans	Bacteroides zoogleoformans	species	0.01	abund	0.01	2306	2306	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
338188	338188	                      Bacteroides finegoldii	Bacteroides finegoldii	species	0.01	abund	0.01	2268	2268	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2763021	2763021	                      Bacteroides difficilis	Bacteroides difficilis	species	0.01	abund	0.01	1782	1782	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28113	28113	                      Bacteroides heparinolyticus	Bacteroides heparinolyticus	species	0.01	abund	0.01	1543	1543	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
310300	310300	                      Bacteroides pyogenes	Bacteroides pyogenes	species	0.01	abund	0.01	1516	1516	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2650158	2650158	                      Bacteroides luhongzhouii	Bacteroides luhongzhouii	species	0.0	abund	0.0	976	976	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
477666	477666	                      Bacteroides graminisolvens	Bacteroides graminisolvens	species	0.0	abund	0.0	819	819	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
162156	162156	                        uncultured Bacteroides sp.	uncultured Bacteroides sp.	species	0.0	abund	0.0	487	487	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2136147	2136147	                      Bacteroides sedimenti	Bacteroides sedimenti	species	0.0	abund	0.0	255	255	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
357276	357276	                      Phocaeicola dorei	Phocaeicola dorei	species	3.87	abund	3.87	1108283	1083912	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
821	821	                      Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.81	abund	0.81	233227	233146	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
376805	376805	                      Phocaeicola salanitronis	Phocaeicola salanitronis	species	0.01	abund	0.01	2942	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
387090	387090	                      Phocaeicola coprophilus	Phocaeicola coprophilus	species	0.01	abund	0.01	2736	2736	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
671267	671267	                      Phocaeicola sartorii	Phocaeicola sartorii	species	0.0	abund	0.0	2	2	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
328813	328813	                      Alistipes onderdonkii	Alistipes onderdonkii	species	1.42	abund	1.42	407018	75335	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28117	28117	                      Alistipes putredinis	Alistipes putredinis	species	0.96	abund	0.96	274355	274355	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
214856	214856	                      Alistipes finegoldii	Alistipes finegoldii	species	0.95	abund	0.95	273108	145647	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2585118	2585118	                      Alistipes communis	Alistipes communis	species	0.86	abund	0.86	247390	247390	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
626932	626932	                      Alistipes indistinctus	Alistipes indistinctus	species	0.08	abund	0.08	23771	19441	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
3132707	3132707	                        Alistipes sp. i18-0019-D1	Alistipes sp. i18-0019-D1	species	0.07	abund	0.07	21417	21417	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2662363	2662363	                        Alistipes sp. dk3624	Alistipes sp. dk3624	species	0.0	abund	0.0	375	375	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2585119	2585119	                      Alistipes dispar	Alistipes dispar	species	0.05	abund	0.05	14771	14771	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
328814	328814	                      Alistipes shahii	Alistipes shahii	species	0.04	abund	0.04	12306	3350	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1288121	1288121	                      Alistipes senegalensis	Alistipes senegalensis	species	0.03	abund	0.03	9000	8984	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
538949	538949	                        uncultured Alistipes sp.	uncultured Alistipes sp.	species	0.02	abund	0.02	5519	5519	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1470347	1470347	                      Alistipes ihumii	Alistipes ihumii	species	0.02	abund	0.02	4438	0	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2364787	2364787	                      Alistipes megaguti	Alistipes megaguti	species	0.0	abund	0.0	1416	1416	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1760811	1760811	                        uncultured Acetobacteroides sp.	uncultured Acetobacteroides sp.	species	0.0	abund	0.0	99	99	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
46503	46503	                      Parabacteroides merdae	Parabacteroides merdae	species	1.81	abund	1.81	517295	517014	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
823	823	                      Parabacteroides distasonis	Parabacteroides distasonis	species	1.02	abund	1.02	292667	288335	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
328812	328812	                      Parabacteroides goldsteinii	Parabacteroides goldsteinii	species	0.03	abund	0.03	9151	9151	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2951805	2951805	                      Parabacteroides absconsus	Parabacteroides absconsus	species	0.02	abund	0.02	6755	6755	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
387661	387661	                      Parabacteroides johnsonii	Parabacteroides johnsonii	species	0.02	abund	0.02	6221	6216	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2685834	2685834	                      Parabacteroides chongii	Parabacteroides chongii	species	0.01	abund	0.01	2415	2415	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1217282	1217282	                      Parabacteroides faecis	Parabacteroides faecis	species	0.01	abund	0.01	1515	1515	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2025876	2025876	                        Parabacteroides sp. CT06	Parabacteroides sp. CT06	species	0.0	abund	0.0	94	94	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
712710	712710	                      Tannerella serpentiformis	Tannerella serpentiformis	species	0.0	abund	0.0	333	333	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28112	28112	                      Tannerella forsythia	Tannerella forsythia	species	0.0	abund	0.0	112	65	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
28118	28118	                      Odoribacter splanchnicus	Odoribacter splanchnicus	species	0.18	abund	0.18	51836	50603	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
544645	544645	                      Butyricimonas virosa	Butyricimonas virosa	species	0.03	abund	0.03	9932	9932	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1472417	1472417	                      Butyricimonas paravirosa	Butyricimonas paravirosa	species	0.01	abund	0.01	3578	3578	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
1472416	1472416	                      Butyricimonas faecihominis	Butyricimonas faecihominis	species	0.01	abund	0.01	2153	2153	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
2093856	2093856	                      Butyricimonas faecalis	Butyricimonas faecalis	species	0.01	abund	0.01	1753	1753	DYN_0004_D10_report	DYN_0004_D10	illumina	Kraken2	default	Kraken2_default
