taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
16	16	Methylophilus	Methylophilus	genus	1e-05	abund	1e-05	16	1||1224|28216|32003|32011|16	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
20	20	Phenylobacterium	Phenylobacterium	genus	1e-05	abund	1e-05	20	1||1224|28211|204458|76892|20	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
22	22	Shewanella	Shewanella	genus	6e-05	abund	6e-05	22	1||1224|1236|135622|267890|22	0	0	21	21	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
32	32	Myxococcus	Myxococcus	genus	1e-05	abund	1e-05	32	1||2818505|32015|29|31|32	0	0	9	9	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	40	1||2818505|32015|29|39|40	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	44	1||2818505|32015|29|39|44	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
47	47	Archangium	Archangium	genus	1e-05	abund	1e-05	47	1||2818505|32015|29|39|47	0	0	8	8	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	50	1||2818505||3031712|49|50	0	0	3	3	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
53	53	Nannocystis	Nannocystis	genus	1e-05	abund	1e-05	53	1||2818505||3031713|224463|53	0	0	5	5	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	55	1||2818505||3031712|49|55	0	0	1	1	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
68	68	Lysobacter	Lysobacter	genus	1e-05	abund	1e-05	68	1||1224|1236|135614|32033|68	0	0	5	5	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
75	75	Caulobacter	Caulobacter	genus	1e-05	abund	1e-05	75	1||1224|28211|204458|76892|75	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	1e-05	abund	1e-05	81	1||1224|28211|356|45401|81	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
105	105	Runella	Runella	genus	1e-05	abund	1e-05	105	1||976|768503|768507|2896860|105	0	0	2	2	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
107	107	Spirosoma	Spirosoma	genus	2e-05	abund	2e-05	107	1||976|768503|768507|89373|107	0	0	5	5	DYN_0004_D10	DYN_0004_D10	illumina	ganon2	default	ganon2_default
