taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	816	Bacteroides	Bacteroides	genus	17.57378911789759	abund_weighted	0.1757378911789759	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0272253387594166	0.1757378911789759	39772000	0.8902567341712574	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	239759	Alistipes	Alistipes	genus	3.75553977225144	abund_weighted	0.0375553977225144	;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0098641539656842	0.0375553977225144	14410000	0.8615733420344048	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	2719313	Enterocloster	Enterocloster	genus	1.27033933979769	abund_weighted	0.0127033933979769	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0063429042780034	0.0127033933979769	9266000	0.849387899336017	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	375288	Parabacteroides	Parabacteroides	genus	2.73758823459181	abund_weighted	0.0273758823459181	;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0057309297016452	0.0273758823459181	8372000	0.8466125070489274	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	572511	Blautia	Blautia	genus	0.29104821247782003	abund_weighted	0.0029104821247782	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.005285981743443	0.0029104821247782	7722000	0.8444081971667703	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	909656	Phocaeicola	Phocaeicola	genus	4.7292306801664	abund_weighted	0.047292306801664	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0051121097720839	0.047292306801664	7468000	0.84349764903693	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	841	Roseburia	Roseburia	genus	0.37058507089731	abund_weighted	0.0037058507089731	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0041037892452655	0.0037058507089731	5995000	0.8375407939393077	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	1506553	Lachnoclostridium	Lachnoclostridium	genus	0.23155017594738	abund_weighted	0.0023155017594738	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0038142308047739	0.0023155017594738	5572000	0.8355662119789012	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	561	Escherichia	Escherichia	genus	0.23167901535087002	abund_weighted	0.0023167901535087	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0033001447792202	0.0023167901535087	4821000	0.8316731430793437	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	946234	Flavonifractor	Flavonifractor	genus	0.33811754121851	abund_weighted	0.0033811754121851	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0028784710219085	0.0033811754121851	4205000	0.828013617814611	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	1905344	Ruthenibacterium	Ruthenibacterium	genus	1.82277693407055	abund_weighted	0.0182277693407055	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.002523197190667	0.0182277693407055	3686000	0.8245024945498023	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
	283168	Odoribacter	Odoribacter	genus	0.17603757163148	abund_weighted	0.0017603757163148	;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter	DYN_0004_D10	7da55b41	/home/Users/pacbio_bakeoff/data/DYN/illumina/DYN_0004_D10_St_M_10_S7_R2_001.fastq	0.0022801871519565	0.0017603757163148	3331000	0.8218134443159119	11642401	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	illumina	sourmash	unified	sourmash_unified
