taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28 sp003477885	AF33-28 sp003477885	species	0.002	abund	0.002	0.0305	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Acetatifactor acetigignens	Acetatifactor acetigignens	species	0.001	abund	0.001	0.0124	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Acutalibacter ornithocaccae	Acutalibacter ornithocaccae	species	0.0029	abund	0.0029	0.0201	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Acutalibacter sp900548545	Acutalibacter sp900548545	species	0.0044	abund	0.0044	0.0276	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Acutalibacter sp944380625	Acutalibacter sp944380625	species	0.0051	abund	0.0051	0.0256	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Acutalibacter timonensis	Acutalibacter timonensis	species	0.0284	abund	0.0284	0.303	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Agathobaculum faecihominis_A	Agathobaculum faecihominis	species	0.0004	abund	0.0004	0.0048	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Agathobaculum intestinigallinarum	Agathobaculum intestinigallinarum	species	0.0151	abund	0.0151	0.0929	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Agathobaculum pullistercoris	Agathobaculum pullistercoris	species	0.0095	abund	0.0095	0.0569	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Alangreenwoodia sp905206455	Alangreenwoodia sp905206455	species	0.0008	abund	0.0008	0.0051	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Alistipes intestinigallinarum	Alistipes intestinigallinarum	species	0.0015	abund	0.0015	0.0117	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Alistipes sp900541585	Alistipes sp900541585	species	0.0085	abund	0.0085	0.0766	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Allochristensenella sp019415425	Allochristensenella sp019415425	species	0.0006	abund	0.0006	0.0032	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Allocoprobacillus merdigallinarum	Allocoprobacillus merdigallinarum	species	0.0075	abund	0.0075	0.0485	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Allocoprobacillus sp002160865	Allocoprobacillus sp002160865	species	0.0028	abund	0.0028	0.0225	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaerobutyricum stercoripullorum	Anaerobutyricum stercoripullorum	species	0.0255	abund	0.0255	0.1726	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaeromassilibacillus sp001305115	Anaeromassilibacillus sp001305115	species	0.0005	abund	0.0005	0.0044	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaeromassilibacillus stercoravium	Anaeromassilibacillus stercoravium	species	0.0027	abund	0.0027	0.0191	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaerostipes hominis	Anaerostipes hominis	species	0.0002	abund	0.0002	0.0021	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaerostipes sp019423795	Anaerostipes sp019423795	species	0.0004	abund	0.0004	0.0023	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaerotardibacter sp000436075	Anaerotardibacter sp000436075	species	0.0069	abund	0.0069	0.0375	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Anaerotignum sp001304995	Anaerotignum sp001304995	species	0.0002	abund	0.0002	0.002	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Aphodomonas merdavium	Aphodomonas merdavium	species	0.0007	abund	0.0007	0.004	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Avimonas_A narfia	Avimonas narfia	species	0.0034	abund	0.0034	0.0246	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Avimonoglobus intestinipullorum	Avimonoglobus intestinipullorum	species	0.0009	abund	0.0009	0.0048	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Avoscillospira_A sp019422005	Avoscillospira sp019422005	species	0.0015	abund	0.0015	0.0116	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Bittarella massiliensis	Bittarella massiliensis	species	0.0003	abund	0.0003	0.0028	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A avistercoris	Blautia avistercoris	species	0.0012	abund	0.0012	0.0089	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A gallistercoris	Blautia gallistercoris	species	0.0002	abund	0.0002	0.0014	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia pullicola	Blautia pullicola	species	0.0007	abund	0.0007	0.0057	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A sp021771755	Blautia sp021771755	species	0.0068	abund	0.0068	0.0737	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A sp900066355	Blautia sp900066355	species	0.0046	abund	0.0046	0.0481	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A sp900547615	Blautia sp900547615	species	0.0008	abund	0.0008	0.0067	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia sp900556555	Blautia sp900556555	species	0.0005	abund	0.0005	0.003	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Blautia_A sp938028845	Blautia sp938028845	species	0.0046	abund	0.0046	0.0466	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Borkfalkia ceftriaxoniphila	Borkfalkia ceftriaxoniphila	species	0.0005	abund	0.0005	0.0041	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Brotonthovivens avistercoris	Brotonthovivens avistercoris	species	0.0002	abund	0.0002	0.0018	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	Butyricimonas sp900759925	Butyricimonas sp900759925	species	0.0031	abund	0.0031	0.0479	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	CABSLJ01 sp902478455	CABSLJ01 sp902478455	species	0.001	abund	0.001	0.0074	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	CAG-170 sp000432135	CAG-170 sp000432135	species	0.001	abund	0.001	0.0076	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
0	0	CAG-177 sp003514385	CAG-177 sp003514385	species	0.4961	abund	0.4961	2.9934	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	default	sylph_default
