taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.0064	abund	0.0064	0.0032	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
286	286	Pseudomonas	Pseudomonas	genus	0.0060999999999999	abund	0.0060999999999999	0.0103	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.0139	abund	0.0139	0.0207	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.018	abund	0.018	0.0254	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.256	abund	0.256	0.3941	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0094	abund	0.0094	0.0145	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	17.5959	abund	17.5959	26.9625	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0132	abund	0.0132	0.0114	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
841	841	Roseburia	Roseburia	genus	0.3959	abund	0.3959	0.4547	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
846	846	Oxalobacter	Oxalobacter	genus	0.0941	abund	0.0941	0.068	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
872	872	Desulfovibrio	Desulfovibrio	genus	8.0704	abund	8.0704	8.781699999999999	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.0143	abund	0.0143	0.0113	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.0992	abund	0.0992	0.0591	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	0.0073	abund	0.0073	0.0093	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1654	1654	Actinomyces	Actinomyces	genus	0.0092	abund	0.0092	0.0084	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1730	1730	Eubacterium	Eubacterium	genus	0.0555	abund	0.0555	0.0678	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
1743	1743	Propionibacterium	Propionibacterium	genus	0.0166	abund	0.0166	0.0129	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
2172	2172	Methanobrevibacter	Methanobrevibacter	genus	1.9137	abund	1.9137	1.0083	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
28050	28050	Lachnospira	Lachnospira	genus	0.3498	abund	0.3498	0.2853	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0133	abund	0.0133	0.0084	DYN_0004_D10.fastq	DYN_0004_D10	illumina	sylph	unified	sylph_unified
