taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	75	40	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	602805	578	400	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3526441	6	3	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	50	37	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
19	19	Pelobacter carbinolicus	Pelobacter carbinolicus	species	0.0	abund	0.0	3665893	133	95	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	4749735	139	19	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	9139763	267	93	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8973512	94	35	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	143	100	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	12349744	162	48	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	78	40	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	77	54	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	13907952	373	182	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
63	63	Vitreoscilla filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3787551	87	38	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	12227539	200	123	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	2469862	39	31	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
94	94	Stella humosa	Stella humosa	species	0.0	abund	0.0	5832650	52	26	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	6221273	606	480	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	17998094	98	62	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
119	119	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	species	0.0	abund	0.0	6006602	108	41	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
120	120	Planctopirus limnophila	Planctopirus limnophila	species	0.0	abund	0.0	5460085	24	8	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	15634937	496	237	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
125	125	Pirellula staleyi	Pirellula staleyi	species	0.0	abund	0.0	6196199	69	25	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuge	default	Centrifuge_default
