taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	4	4	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5004593	18	15	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1907773	12	12	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	4227422	5	4	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4241119	2	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4283605	12	11	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
22	22	Shewanella	Shewanella	genus	5.9999999999999995e-05	abund	6e-07	5248939	444	356	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9689087	40	23	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	3	3	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	24084199	12	7	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910435	3	3	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	13013056	47	40	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11388132	7	7	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	13228663	17	17	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	12320079	13	13	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3197431	10	10	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4912193	101	72	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2469862	4	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4714861	94	81	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4274880	14	13	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3626595	25	20	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4909403	2	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
93	93	Stella	Stella	genus	0.0	abund	0.0	5832650	2	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3162471	3	3	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4669516	1142	1139	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	7160977	143	143	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	7518434	585	580	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9404403	11	8	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7613716	10	10	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6534136	1	1	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5472964	2	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4319188	68	61	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1222305	95	54	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2772907	23	22	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
157	157	Treponema	Treponema	genus	0.00011	abund	1.1e-06	2958505	426	329	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6464084	167	88	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2501401	6	1	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3962240	4	4	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7397581	122	90	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
194	194	Campylobacter	Campylobacter	genus	0.0	abund	0.0	1805972	587	400	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1683637	189	129	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	6871928	160	94	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4502583	91	72	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
234	234	Brucella	Brucella	genus	0.0	abund	0.0	3441072	70	16	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
237	237	Flavobacterium	Flavobacterium	genus	0.00015000000000000001	abund	1.5e-06	4161490	4012	3641	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
262	262	Francisella	Francisella	genus	0.0	abund	0.0	2135135	85	70	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
265	265	Paracoccus	Paracoccus	genus	0.0	abund	0.0	3932461	164	140	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
270	270	Thermus	Thermus	genus	0.0	abund	0.0	2283707	26	11	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
279	279	Xanthobacter	Xanthobacter	genus	0.0	abund	0.0	5745823	17	14	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
283	283	Comamonas	Comamonas	genus	0.0	abund	0.0	4878985	169	101	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
286	286	Pseudomonas	Pseudomonas	genus	0.00011	abund	1.1e-06	6674888	2584	1493	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
338	338	Xanthomonas	Xanthomonas	genus	0.0	abund	0.0	7270461	199	63	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
352	352	Azotobacter	Azotobacter	genus	0.0	abund	0.0	7113417	10	2	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
357	357	Agrobacterium	Agrobacterium	genus	0.0	abund	0.0	6475970	167	111	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
374	374	Bradyrhizobium	Bradyrhizobium	genus	0.0	abund	0.0	9007056	1380	1078	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
379	379	Rhizobium	Rhizobium	genus	0.0	abund	0.0	6772316	545	367	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
404	404	Methylobacillus	Methylobacillus	genus	0.0	abund	0.0	2971517	1	1	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
407	407	Methylobacterium	Methylobacterium	genus	0.0	abund	0.0	6591829	117	75	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
413	413	Methylococcus	Methylococcus	genus	0.0	abund	0.0	3952586	33	15	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
416	416	Methylomonas	Methylomonas	genus	0.0	abund	0.0	4924650	337	322	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
425	425	Methylosinus	Methylosinus	genus	0.0	abund	0.0	4914370	36	36	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
429	429	Methylobacter	Methylobacter	genus	0.0	abund	0.0	4940356	9	9	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
434	434	Acetobacter	Acetobacter	genus	0.0	abund	0.0	3339466	27	20	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
441	441	Gluconobacter	Gluconobacter	genus	0.0	abund	0.0	3150489	237	235	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
445	445	Legionella	Legionella	genus	0.0	abund	0.0	3763512	434	377	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
461	461	Fluoribacter	Fluoribacter	genus	0.0	abund	0.0	3822498	1	0	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
469	469	Acinetobacter	Acinetobacter	genus	0.0	abund	0.0	4744311	2241	514	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
475	475	Moraxella	Moraxella	genus	0.0	abund	0.0	4285328	55	34	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
482	482	Neisseria	Neisseria	genus	0.0	abund	0.0	2482023	315	221	genus	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
