taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium_caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	5369772	4	4	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
9	9	Buchnera_aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	596134	817	368	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
11	11	Cellulomonas_gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	3526441	2	2	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
14	14	Dictyoglomus_thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1959987	9	9	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
17	17	Methylophilus_methylotrophus	Methylophilus methylotrophus	species	0.0	abund	0.0	3004396	1	1	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
19	19	Syntrophotalea_carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	3665893	8	8	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
24	24	Shewanella_putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	8961727	1	1	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
33	33	Myxococcus_fulvus	Myxococcus fulvus	species	0.0	abund	0.0	10772519	3	3	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
34	34	Myxococcus_xanthus	Myxococcus xanthus	species	0.0	abund	0.0	24701779	10	5	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
35	35	Corallococcus_macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	8988552	2	2	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
41	41	Stigmatella_aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	10260756	3	3	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
43	43	Cystobacter_fuscus	Cystobacter fuscus	species	0.0	abund	0.0	24084199	12	7	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
48	48	Archangium_gephyra	Archangium gephyra	species	0.0	abund	0.0	12489432	20	17	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
52	52	Chondromyces_crocatus	Chondromyces crocatus	species	0.0	abund	0.0	11388132	7	7	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
56	56	Sorangium_cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	18990774	35	35	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
63	63	Vitreoscilla_filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	3787551	4	4	species	DYN_0004_D10_Qiagen_report	DYN_0004_D10	ont_qiagen	Centrifuger	unified	Centrifuger_unified
