taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
200	200	Campylobacter curvus	Campylobacter curvus	species	7e-05	abund	7e-05	200	1||29547|3031852|213849|72294|194|200	3	0	0	3	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
210	210	Helicobacter pylori	Helicobacter pylori	species	3e-05	abund	3e-05	210	1||29547|3031852|213849|72293|209|210	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	9e-05	abund	9e-05	253	1||976|117743|200644|2762318|59732|253	10	0	0	10	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00113	abund	0.00113	287	1||1224|1236|72274|135621|286|287	163	0	0	163	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
296	296	Pseudomonas fragi	Pseudomonas fragi	species	1e-05	abund	1e-05	296	1||1224|1236|72274|135621|286|296	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
305	305	Ralstonia solanacearum	Ralstonia solanacearum	species	1e-05	abund	1e-05	305	1||1224|28216|80840|119060|48736|305	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
495	495	Neisseria elongata	Neisseria elongata	species	2e-05	abund	2e-05	495	1||1224|28216|206351|481|482|495	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.09181	abund	0.09181	546	1||1224|1236|91347|543|544|546	10762	0	0	10762	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
550	550	Enterobacter cloacae	Enterobacter cloacae	species	1e-05	abund	1e-05	550	1||1224|1236|91347|543|547|550	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
562	562	Escherichia coli	Escherichia coli	species	0.69953	abund	0.69953	562	1||1224|1236|91347|543|561|562	80437	0	0	80437	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
564	564	Escherichia fergusonii	Escherichia fergusonii	species	1e-05	abund	1e-05	564	1||1224|1236|91347|543|561|564	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
571	571	Klebsiella oxytoca	Klebsiella oxytoca	species	0.0001	abund	0.0001	571	1||1224|1236|91347|543|570|571	13	0	0	13	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.01184	abund	0.01184	573	1||1224|1236|91347|543|570|573	1481	0	0	1481	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
582	582	Morganella morganii	Morganella morganii	species	0.00035	abund	0.00035	582	1||1224|1236|91347|1903414|581|582	38	0	0	38	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
584	584	Proteus mirabilis	Proteus mirabilis	species	8e-05	abund	8e-05	584	1||1224|1236|91347|1903414|583|584	8	0	0	8	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
588	588	Providencia stuartii	Providencia stuartii	species	1e-05	abund	1e-05	588	1||1224|1236|91347|1903414|586|588	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
614	614	Serratia liquefaciens	Serratia liquefaciens	species	3e-05	abund	3e-05	614	1||1224|1236|91347|1903411|613|614	3	0	0	3	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
622	622	Shigella dysenteriae	Shigella dysenteriae	species	0.00014	abund	0.00014	622	1||1224|1236|91347|543|620|622	16	0	0	16	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
623	623	Shigella flexneri	Shigella flexneri	species	0.00054	abund	0.00054	623	1||1224|1236|91347|543|620|623	62	0	0	62	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
624	624	Shigella sonnei	Shigella sonnei	species	8e-05	abund	8e-05	624	1||1224|1236|91347|543|620|624	9	0	0	9	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
636	636	Edwardsiella tarda	Edwardsiella tarda	species	1e-05	abund	1e-05	636	1||1224|1236|91347|1903412|635|636	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
644	644	Aeromonas hydrophila	Aeromonas hydrophila	species	1e-05	abund	1e-05	644	1||1224|1236|135624|84642|642|644	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
672	672	Vibrio vulnificus	Vibrio vulnificus	species	1e-05	abund	1e-05	672	1||1224|1236|135623|641|662|672	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
729	729	Haemophilus parainfluenzae	Haemophilus parainfluenzae	species	2e-05	abund	2e-05	729	1||1224|1236|135625|712|724|729	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
817	817	Bacteroides fragilis	Bacteroides fragilis	species	0.14278	abund	0.14278	817	1||976|200643|171549|815|816|817	16765	0	0	16765	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	1.81639	abund	1.81639	818	1||976|200643|171549|815|816|818	261712	0	0	261712	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
820	820	Bacteroides uniformis	Bacteroides uniformis	species	5.58632	abund	5.58632	820	1||976|200643|171549|815|816|820	606091	0	0	606091	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	2.33179	abund	2.33179	821	1||976|200643|171549|815|909656|821	269745	0	0	269745	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	4.28008	abund	4.28008	823	1||976|200643|171549|2005525|375288|823	494304	0	0	494304	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
831	831	Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	species	5e-05	abund	5e-05	831	1||1239|186801|3085636|186803|830|831	5	0	0	5	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	species	0.00031	abund	0.00031	837	1||976|200643|171549|171551|836|837	16	0	0	16	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
839	839	Xylanibacter ruminicola	Xylanibacter ruminicola	species	1e-05	abund	1e-05	839	1||976|200643|171549|171552|558436|839	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	0.00061	abund	0.00061	851	1||32066|203490|203491|203492|848|851	30	0	0	30	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.00265	abund	0.00265	853	1||1239|186801|186802|216572|216851|853	179	0	0	179	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
907	907	Megasphaera elsdenii	Megasphaera elsdenii	species	0.00053	abund	0.00053	907	1||1239|909932|1843489|31977|906|907	29	0	0	29	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
930	930	Acidithiobacillus thiooxidans	Acidithiobacillus thiooxidans	species	1e-05	abund	1e-05	930	1||1224|1807140|225057|225058|119977|930	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1102	1102	Prosthecochloris aestuarii	Prosthecochloris aestuarii	species	2e-05	abund	2e-05	1102	1||1090|191410|191411|191412|1101|1102	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1126	1126	Microcystis aeruginosa	Microcystis aeruginosa	species	1e-05	abund	1e-05	1126	1||1117|3028117|1118|1890449|1125|1126	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1219	1219	Prochlorococcus marinus	Prochlorococcus marinus	species	3e-05	abund	3e-05	1219	1||1117|3028117|1890424|2881426|1218|1219	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1244	1244	Leuconostoc gelidum	Leuconostoc gelidum	species	0.00315	abund	0.00315	1244	1||1239|91061|186826|33958|1243|1244	136	0	0	136	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1245	1245	Leuconostoc mesenteroides	Leuconostoc mesenteroides	species	0.00045	abund	0.00045	1245	1||1239|91061|186826|33958|1243|1245	20	0	0	20	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1260	1260	Finegoldia magna	Finegoldia magna	species	2e-05	abund	2e-05	1260	1||1239|1737404|1737405|1570339|150022|1260	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1280	1280	Staphylococcus aureus	Staphylococcus aureus	species	0.00077	abund	0.00077	1280	1||1239|91061|1385|90964|1279|1280	48	0	0	48	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1281	1281	Staphylococcus carnosus	Staphylococcus carnosus	species	2e-05	abund	2e-05	1281	1||1239|91061|1385|90964|1279|1281	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.05617	abund	0.05617	1282	1||1239|91061|1385|90964|1279|1282	3127	0	0	3127	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1283	1283	Staphylococcus haemolyticus	Staphylococcus haemolyticus	species	4e-05	abund	4e-05	1283	1||1239|91061|1385|90964|1279|1283	2	0	0	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1290	1290	Staphylococcus hominis	Staphylococcus hominis	species	4e-05	abund	4e-05	1290	1||1239|91061|1385|90964|1279|1290	2	0	0	2	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1296	1296	Mammaliicoccus sciuri	Mammaliicoccus sciuri	species	2e-05	abund	2e-05	1296	1||1239|91061|1385|90964|2803850|1296	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1303	1303	Streptococcus oralis	Streptococcus oralis	species	2e-05	abund	2e-05	1303	1||1239|91061|186826|1300|1301|1303	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1304	1304	Streptococcus salivarius	Streptococcus salivarius	species	6e-05	abund	6e-05	1304	1||1239|91061|186826|1300|1301|1304	3	0	0	3	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1307	1307	Streptococcus suis	Streptococcus suis	species	2e-05	abund	2e-05	1307	1||1239|91061|186826|1300|1301|1307	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.03861	abund	0.03861	1308	1||1239|91061|186826|1300|1301|1308	1558	0	0	1558	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1311	1311	Streptococcus agalactiae	Streptococcus agalactiae	species	9e-05	abund	9e-05	1311	1||1239|91061|186826|1300|1301|1311	4	0	0	4	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1314	1314	Streptococcus pyogenes	Streptococcus pyogenes	species	7e-05	abund	7e-05	1314	1||1239|91061|186826|1300|1301|1314	3	0	0	3	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1322	1322	Blautia hansenii	Blautia hansenii	species	1e-05	abund	1e-05	1322	1||1239|186801|3085636|186803|572511|1322	1	0	0	1	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.00097	abund	0.00097	1351	1||1239|91061|186826|81852|1350|1351	64	0	0	64	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1352	1352	Enterococcus faecium	Enterococcus faecium	species	0.00191	abund	0.00191	1352	1||1239|91061|186826|81852|1350|1352	126	0	0	126	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
1353	1353	Enterococcus gallinarum	Enterococcus gallinarum	species	0.50435	abund	0.50435	1353	1||1239|91061|186826|81852|1350|1353	37880	0	0	37880	DYN_0004_D10_Qiagen	DYN_0004_D10	ont_qiagen	ganon2	default	ganon2_default
