taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28	AF33-28	genus	0.0014	abund	0.0014	0.061	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	CAG-313	CAG-313	genus	0.0007	abund	0.0007	0.0096	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	DXTB01	DXTB01	genus	0.0011	abund	0.0011	0.0135	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
286	286	Pseudomonas	Pseudomonas	genus	0.0002	abund	0.0002	0.0088	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
544	544	Citrobacter	Citrobacter	genus	0.0042	abund	0.0042	0.1742	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
547	547	Enterobacter	Enterobacter	genus	0.0004	abund	0.0004	0.0162	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
561	561	Escherichia	Escherichia	genus	0.0145	abund	0.0145	0.6124	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
570	570	Klebsiella	Klebsiella	genus	0.0018	abund	0.0018	0.0836	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
581	581	Morganella	Morganella	genus	0.0001	abund	0.0001	0.0024	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
590	590	Salmonella	Salmonella	genus	0.0002	abund	0.0002	0.0087	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
816	816	Bacteroides	Bacteroides	genus	1.5162999999999998	abund	1.5162999999999998	58.5878	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
838	838	Prevotella	Prevotella	genus	0.0001	abund	0.0001	0.0034999999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
848	848	Fusobacterium	Fusobacterium	genus	0.0002	abund	0.0002	0.0056	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
904	904	Acidaminococcus	Acidaminococcus	genus	0.0111	abund	0.0111	0.2115	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1243	1243	Leuconostoc	Leuconostoc	genus	0.0	abund	0.0	0.0007999999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1263	1263	Ruminococcus_B	Ruminococcus	genus	0.0004	abund	0.0004	0.0116	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1279	1279	Staphylococcus	Staphylococcus	genus	0.0016	abund	0.0016	0.0318	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1301	1301	Streptococcus	Streptococcus	genus	0.0007	abund	0.0007	0.0127	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1350	1350	Enterococcus_D	Enterococcus	genus	0.016900000000000002	abund	0.016900000000000002	0.532	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1386	1386	Bacillus	Bacillus	genus	0.0002	abund	0.0002	0.0057	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1485	1485	Clostridium_AQ	Clostridium	genus	0.0194	abund	0.0194	0.7685	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1637	1637	Listeria	Listeria	genus	0.0001	abund	0.0001	0.0025	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.001	abund	0.001	0.0201	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
29465	29465	Veillonella	Veillonella	genus	0.0003999999999999	abund	0.0003999999999999	0.0073	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
35832	35832	Bilophila	Bilophila	genus	0.0034	abund	0.0034	0.1337	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
40544	40544	Sutterella	Sutterella	genus	0.0235	abund	0.0235	0.5779	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
46123	46123	Abiotrophia	Abiotrophia	genus	0.0001	abund	0.0001	0.0017	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
61170	61170	Holdemania	Holdemania	genus	0.0005	abund	0.0005	0.0153	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
84111	84111	Eggerthella	Eggerthella	genus	0.0	abund	0.0	0.0014	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
100883	100883	Coprobacillus	Coprobacillus	genus	0.0014	abund	0.0014	0.0441	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
133925	133925	Olsenella	Olsenella	genus	0.0001	abund	0.0001	0.001	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
216851	216851	Faecalibacterium	Faecalibacterium	genus	0.0002	abund	0.0002	0.0053	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
239759	239759	Alistipes	Alistipes	genus	0.0195	abund	0.0195	0.6033	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
239934	239934	Akkermansia	Akkermansia	genus	0.0008	abund	0.0008	0.0216	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
375288	375288	Parabacteroides	Parabacteroides	genus	0.2585	abund	0.2585	9.8797	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
447792	447792	Phytobacter	Phytobacter	genus	0.0002	abund	0.0002	0.0071	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
577309	577309	Paraprevotella	Paraprevotella	genus	0.0532	abund	0.0532	1.8882	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
577310	577310	Parasutterella	Parasutterella	genus	0.0001	abund	0.0001	0.0028	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
698776	698776	Cellulosilyticum	Cellulosilyticum	genus	0.0	abund	0.0	0.001	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
909656	909656	Phocaeicola	Phocaeicola	genus	0.0243	abund	0.0243	1.0518	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
946234	946234	Flavonifractor	Flavonifractor	genus	0.004	abund	0.004	0.1277	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
1017280	1017280	Pseudoflavonifractor	Pseudoflavonifractor	genus	0.0003	abund	0.0003	0.0109	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
