taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28 sp003477885	AF33-28 sp003477885	species	0.0014	abund	0.0014	0.061	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Alistipes sp902363575	Alistipes sp902363575	species	0.0008	abund	0.0008	0.0193	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Allocoprobacillus merdigallinarum	Allocoprobacillus merdigallinarum	species	0.0	abund	0.0	0.0006	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Anaerotignum sp001304995	Anaerotignum sp001304995	species	0.0001	abund	0.0001	0.0014	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Bacteroides sp900556625	Bacteroides sp900556625	species	0.0221	abund	0.0221	0.5657	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Bacteroides sp948436425	Bacteroides sp948436425	species	0.085	abund	0.085	3.2372	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	CAG-313 sp000433035	CAG-313 sp000433035	species	0.0007	abund	0.0007	0.0096	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Coproplasma stercorigallinarum	Coproplasma stercorigallinarum	species	0.0117	abund	0.0117	0.1621	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	DXTB01 sp019410105	DXTB01 sp019410105	species	0.0011	abund	0.0011	0.0135	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Emergencia sp904420065	Emergencia sp904420065	species	0.0033	abund	0.0033	0.0673	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Enterocloster sp005845215	Enterocloster sp005845215	species	0.0002	abund	0.0002	0.0088	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Faecousia gallistercoris	Faecousia gallistercoris	species	0.0001	abund	0.0001	0.002	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Faecousia sp003525905	Faecousia sp003525905	species	0.0001	abund	0.0001	0.0025	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Flavonifractor avistercoris	Flavonifractor avistercoris	species	0.0001	abund	0.0001	0.0023	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Muricomes sp000509105	Muricomes sp000509105	species	0.0002	abund	0.0002	0.0095	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Porcipelethomonas sp900538575	Porcipelethomonas sp900538575	species	0.0	abund	0.0	0.0005	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Ruthenibacterium merdipullorum	Ruthenibacterium merdipullorum	species	0.0001	abund	0.0001	0.0015	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Scatavimonas sp900540275	Scatavimonas sp900540275	species	0.0003	abund	0.0003	0.0054	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Scatomorpha merdavium	Scatomorpha merdavium	species	0.0003	abund	0.0003	0.0048	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
0	0	Veillonella sp902466275	Veillonella sp902466275	species	0.0001	abund	0.0001	0.0012	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0002	abund	0.0002	0.0088	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.0039	abund	0.0039	0.1619	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
562	562	Escherichia coli	Escherichia coli	species	0.0145	abund	0.0145	0.6124	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0015	abund	0.0015	0.0696	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	default	sylph_default
