taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
286	286	Pseudomonas	Pseudomonas	genus	0.0072	abund	0.0072	0.0124	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.1838999999999999	abund	0.1838999999999999	0.2246999999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.017	abund	0.017	0.0204	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.8283	abund	0.8283	1.0245	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0739	abund	0.0739	0.0969	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
581	581	Morganella	Morganella	genus	0.0031	abund	0.0031	0.0031	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
590	590	Salmonella	Salmonella	genus	0.0096	abund	0.0096	0.0115	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	51.7642	abund	51.7642	75.05239999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0038	abund	0.0038	0.0029	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
848	848	Fusobacterium	Fusobacterium	genus	0.0104	abund	0.0104	0.0065	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
904	904	Acidaminococcus	Acidaminococcus	genus	0.4908	abund	0.4908	0.2874	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1243	1243	Leuconostoc	Leuconostoc	genus	0.0007	abund	0.0007	0.0004	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1279	1279	Staphylococcus	Staphylococcus	genus	0.0691	abund	0.0691	0.0443	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.0316	abund	0.0316	0.015	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1350	1350	Enterococcus	Enterococcus	genus	0.7473000000000001	abund	0.7473000000000001	0.5978999999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1357	1357	Lactococcus	Lactococcus	genus	0.0009	abund	0.0009	0.0006	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1386	1386	Bacillus	Bacillus	genus	0.0075	abund	0.0075	0.0077	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	1.1482	abund	1.1482	1.3444	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1637	1637	Listeria	Listeria	genus	0.0021	abund	0.0021	0.0016	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.043	abund	0.043	0.026	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0199	abund	0.0199	0.0109	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
40544	40544	Sutterella	Sutterella	genus	1.0123	abund	1.0123	0.7424	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
46123	46123	Abiotrophia	Abiotrophia	genus	0.0047	abund	0.0047	0.0024	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
61170	61170	Holdemania	Holdemania	genus	0.021	abund	0.021	0.0215	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
84111	84111	Eggerthella	Eggerthella	genus	0.0014	abund	0.0014	0.0012	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
133925	133925	Olsenella	Olsenella	genus	0.0026	abund	0.0026	0.0014	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
216851	216851	Faecalibacterium	Faecalibacterium	genus	0.0083	abund	0.0083	0.0062	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
239759	239759	Alistipes	Alistipes	genus	0.8322	abund	0.8322	0.7889999999999999	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
239934	239934	Akkermansia	Akkermansia	genus	0.04	abund	0.04	0.0333	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
375288	375288	Parabacteroides	Parabacteroides	genus	11.5468	abund	11.5468	13.7548	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
447792	447792	Phytobacter	Phytobacter	genus	0.0059	abund	0.0059	0.0091	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
459786	459786	Oscillibacter	Oscillibacter	genus	0.0442	abund	0.0442	0.0373	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
577309	577309	Paraprevotella	Paraprevotella	genus	2.3621	abund	2.3621	2.4211	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
698776	698776	Cellulosilyticum	Cellulosilyticum	genus	0.0011	abund	0.0011	0.0013	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
909656	909656	Phocaeicola	Phocaeicola	genus	1.0776	abund	1.0776	1.3475	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
946234	946234	Flavonifractor	Flavonifractor	genus	0.1729	abund	0.1729	0.1657	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1392389	1392389	Intestinimonas	Intestinimonas	genus	0.0086	abund	0.0086	0.007	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1505657	1505657	Intestinibacter	Intestinibacter	genus	0.0071	abund	0.0071	0.0055	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1905344	1905344	Ruthenibacterium	Ruthenibacterium	genus	0.0081	abund	0.0081	0.0091	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2316020	2316020	Mediterraneibacter	Mediterraneibacter	genus	0.0173	abund	0.0173	0.0145	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2742598	2742598	Limosilactobacillus	Limosilactobacillus	genus	0.0046	abund	0.0046	0.0022	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2759736	2759736	Lacticaseibacillus	Lacticaseibacillus	genus	1.4111	abund	1.4111	1.0713	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2767353	2767353	Lancefieldella	Lancefieldella	genus	0.0061	abund	0.0061	0.0024	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2843396	2843396	Jouyvirus	Jouyvirus	genus	0.8523000000000001	abund	0.8523000000000001	0.0101	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2888809	2888809	Novisyntrophococcus	Novisyntrophococcus	genus	0.0034	abund	0.0034	0.003	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2946811	2946811	Aurodevirus	Aurodevirus	genus	24.7563	abund	24.7563	0.6174	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
2948652	2948652	Carjivirus	Carjivirus	genus	0.174	abund	0.174	0.0043	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
3025755	3025755	Thomasclavelia	Thomasclavelia	genus	0.1552	abund	0.1552	0.1281	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
