taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0072	abund	0.0072	0.0124	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
546	546	Citrobacter freundii	Citrobacter freundii	species	0.1722	abund	0.1722	0.2104	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
562	562	Escherichia coli	Escherichia coli	species	0.8283	abund	0.8283	1.0245	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.066	abund	0.066	0.0858	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
582	582	Morganella morganii	Morganella morganii	species	0.0031	abund	0.0031	0.0031	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	0.0074	abund	0.0074	0.0098	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	5.4605	abund	5.4605	6.5905	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	1.0737	abund	1.0737	1.3418	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	4.920599999999999	abund	4.920599999999999	6.3895	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	0.0057	abund	0.0057	0.0035	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.0083	abund	0.0083	0.0062	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1244	1244	Leuconostoc gelidum	Leuconostoc gelidum	species	0.0007	abund	0.0007	0.0004	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.0691	abund	0.0691	0.0443	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.0316	abund	0.0316	0.015	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.0046	abund	0.0046	0.0035	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1352	1352	Enterococcus faecium	Enterococcus faecium	species	0.0057	abund	0.0057	0.0043	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1353	1353	Enterococcus gallinarum	Enterococcus gallinarum	species	0.7362	abund	0.7362	0.5892	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
1358	1358	Lactococcus lactis	Lactococcus lactis	species	0.0009	abund	0.0009	0.0006	DYN_0004_D10_Qiagen.fastq	DYN_0004_D10	ont_qiagen	sylph	unified	sylph_unified
