taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	8303437	12	2	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	671716	988	334	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	1035569	1	0	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
14	14	Dictyoglomus thermophilum	Dictyoglomus thermophilum	species	0.0	abund	0.0	1035567	2	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
17	17	Methylophilus methylotrophus	Methylophilus methylotrophus	species	0.0	abund	0.0	1035566	3	3	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
19	19	Syntrophotalea carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	8894228	11	9	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	9529437	2	0	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
33	33	Myxococcus fulvus	Myxococcus fulvus	species	0.0	abund	0.0	1035556	1	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	4432179	9	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	7510222	9	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
43	43	Cystobacter fuscus	Cystobacter fuscus	species	0.0	abund	0.0	11799204	8	4	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	12315414	19	13	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
52	52	Chondromyces crocatus	Chondromyces crocatus	species	0.0	abund	0.0	1035554	1	0	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
56	56	Sorangium cellulosum	Sorangium cellulosum	species	0.0	abund	0.0	1035570	2	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
61	61	Vitreoscilla stercoraria	Vitreoscilla stercoraria	species	0.0	abund	0.0	32044121	6	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
63	63	Vitreoscilla filiformis	Vitreoscilla filiformis	species	0.0	abund	0.0	2553148	6	2	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	0.0	abund	0.0	8284603	18	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
72	72	Simonsiella muelleri	Simonsiella muelleri	species	0.0	abund	0.0	17308306	125	36	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
94	94	Stella humosa	Stella humosa	species	0.0	abund	0.0	1035557	1	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
104	104	Cyclobacterium marinum	Cyclobacterium marinum	species	0.0	abund	0.0	1035569	14	9	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
106	106	Runella slithyformis	Runella slithyformis	species	0.0	abund	0.0	3821145	2	0	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
114	114	Gemmata obscuriglobus	Gemmata obscuriglobus	species	0.0	abund	0.0	3106835	1	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
119	119	Rubinisphaera brasiliensis	Rubinisphaera brasiliensis	species	0.0	abund	0.0	1035564	2	0	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
122	122	Gimesia maris	Gimesia maris	species	0.0	abund	0.0	5177890	4	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
128	128	Isosphaera pallida	Isosphaera pallida	species	0.0	abund	0.0	3898761	2	1	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
134	134	Methylocystis parvus	Methylocystis parvus	species	0.0	abund	0.0	47685817	32	16	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuge	unified	Centrifuge_unified
