taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5369772	5	5	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	5004593	16	13	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1907773	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	4227422	5	5	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4241119	4	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	4283605	9	9	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5248939	410	336	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9689087	20	13	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10260756	9	9	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	24084199	8	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9910435	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
47	47	Archangium	Archangium	genus	0.0	abund	0.0	13013056	22	19	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11388132	5	5	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	13228663	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	12320079	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3197431	6	6	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4912193	86	65	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2469862	6	4	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4714861	56	46	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4274880	11	10	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3626595	19	15	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
93	93	Stella	Stella	genus	0.0	abund	0.0	5832650	3	3	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3162471	1	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4669516	295	295	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
105	105	Runella	Runella	genus	0.0	abund	0.0	7160977	123	122	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	7518434	312	306	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9404403	8	7	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7613716	8	8	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4319188	41	36	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1222305	75	36	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2772907	9	9	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
157	157	Treponema	Treponema	genus	0.0	abund	0.0	2958505	382	327	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6464084	145	74	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2501401	8	1	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3962240	2	2	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7397581	104	76	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
194	194	Campylobacter	Campylobacter	genus	0.0	abund	0.0	1805972	438	340	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1683637	140	84	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	6871928	92	49	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4502583	63	52	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
234	234	Brucella	Brucella	genus	0.0	abund	0.0	3441072	45	20	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	4161490	2860	2447	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
262	262	Francisella	Francisella	genus	0.0	abund	0.0	2135135	66	55	genus	DYN_0004_D10_Zymo_report	DYN_0004_D10	ont_zymo	Centrifuger	unified	Centrifuger_unified
