taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
22	22	Shewanella	Shewanella	genus	2e-05	abund	2e-05	22	1||1224|1236|135622|267890|22	0	0	2	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	47	1||2818505|32015|29|39|47	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
68	68	Lysobacter	Lysobacter	genus	1e-05	abund	1e-05	68	1||1224|1236|135614|32033|68	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	1e-05	abund	1e-05	81	1||1224|28211|356|45401|81	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
157	157	Treponema	Treponema	genus	3e-05	abund	3e-05	157	1||203691|203692|136|2845253|157	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
194	194	Campylobacter	Campylobacter	genus	5e-05	abund	5e-05	194	1||29547|3031852|213849|72294|194	0	0	2	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
222	222	Achromobacter	Achromobacter	genus	1e-05	abund	1e-05	222	1||1224|28216|80840|506|222	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
234	234	Brucella	Brucella	genus	1e-05	abund	1e-05	234	1||1224|28211|356|118882|234	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
237	237	Flavobacterium	Flavobacterium	genus	0.0001	abund	0.0001	237	1||976|117743|200644|49546|237	0	0	8	8	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
265	265	Paracoccus	Paracoccus	genus	1e-05	abund	1e-05	265	1||1224|28211|204455|31989|265	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
286	286	Pseudomonas	Pseudomonas	genus	0.00028	abund	0.00028	286	1||1224|1236|72274|135621|286	0	0	35	35	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
357	357	Agrobacterium	Agrobacterium	genus	1e-05	abund	1e-05	357	1||1224|28211|356|82115|357	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
374	374	Bradyrhizobium	Bradyrhizobium	genus	2e-05	abund	2e-05	374	1||1224|28211|356|41294|374	0	0	3	3	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
379	379	Rhizobium	Rhizobium	genus	1e-05	abund	1e-05	379	1||1224|28211|356|82115|379	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
425	425	Methylosinus	Methylosinus	genus	1e-05	abund	1e-05	425	1||1224|28211|356|31993|425	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
445	445	Legionella	Legionella	genus	1e-05	abund	1e-05	445	1||1224|1236|118969|444|445	0	0	1	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
469	469	Acinetobacter	Acinetobacter	genus	3e-05	abund	3e-05	469	1||1224|1236|2887326|468|469	0	0	2	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
497	497	Psychrobacter	Psychrobacter	genus	3e-05	abund	3e-05	497	1||1224|1236|2887326|468|497	0	0	2	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
544	544	Citrobacter	Citrobacter	genus	0.18282	abund	0.18282	544	1||1224|1236|91347|543|544	0	0	18835	18835	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
547	547	Enterobacter	Enterobacter	genus	0.00082	abund	0.00082	547	1||1224|1236|91347|543|547	0	0	82	82	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
551	551	Erwinia	Erwinia	genus	6e-05	abund	6e-05	551	1||1224|1236|91347|1903409|551	0	0	2	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
