taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	48	1||2818505|32015|29|39|47|48	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	1e-05	abund	1e-05	69	1||1224|1236|135614|32033|68|69	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
197	197	Campylobacter jejuni	Campylobacter jejuni	species	3e-05	abund	3e-05	197	1||29547|3031852|213849|72294|194|197	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
200	200	Campylobacter curvus	Campylobacter curvus	species	3e-05	abund	3e-05	200	1||29547|3031852|213849|72294|194|200	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
253	253	Chryseobacterium indologenes	Chryseobacterium indologenes	species	7e-05	abund	7e-05	253	1||976|117743|200644|2762318|59732|253	7	0	0	7	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00021	abund	0.00021	287	1||1224|1236|72274|135621|286|287	27	0	0	27	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
359	359	Rhizobium rhizogenes	Rhizobium rhizogenes	species	1e-05	abund	1e-05	359	1||1224|28211|356|82115|379|359	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
446	446	Legionella pneumophila	Legionella pneumophila	species	1e-05	abund	1e-05	446	1||1224|1236|118969|444|445|446	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.18252	abund	0.18252	546	1||1224|1236|91347|543|544|546	18804	0	0	18804	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
549	549	Pantoea agglomerans	Pantoea agglomerans	species	1e-05	abund	1e-05	549	1||1224|1236|91347|1903409|53335|549	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
550	550	Enterobacter cloacae	Enterobacter cloacae	species	2e-05	abund	2e-05	550	1||1224|1236|91347|543|547|550	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
562	562	Escherichia coli	Escherichia coli	species	0.82594	abund	0.82594	562	1||1224|1236|91347|543|561|562	83471	0	0	83471	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
569	569	Hafnia alvei	Hafnia alvei	species	1e-05	abund	1e-05	569	1||1224|1236|91347|1903412|568|569	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
571	571	Klebsiella oxytoca	Klebsiella oxytoca	species	3e-05	abund	3e-05	571	1||1224|1236|91347|543|570|571	3	0	0	3	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0011	abund	0.0011	573	1||1224|1236|91347|543|570|573	121	0	0	121	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
582	582	Morganella morganii	Morganella morganii	species	5e-05	abund	5e-05	582	1||1224|1236|91347|1903414|581|582	5	0	0	5	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
584	584	Proteus mirabilis	Proteus mirabilis	species	1e-05	abund	1e-05	584	1||1224|1236|91347|1903414|583|584	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
615	615	Serratia marcescens	Serratia marcescens	species	1e-05	abund	1e-05	615	1||1224|1236|91347|1903411|613|615	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
621	621	Shigella boydii	Shigella boydii	species	1e-05	abund	1e-05	621	1||1224|1236|91347|543|620|621	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
622	622	Shigella dysenteriae	Shigella dysenteriae	species	0.0001	abund	0.0001	622	1||1224|1236|91347|543|620|622	10	0	0	10	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
623	623	Shigella flexneri	Shigella flexneri	species	0.00052	abund	0.00052	623	1||1224|1236|91347|543|620|623	53	0	0	53	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
624	624	Shigella sonnei	Shigella sonnei	species	4e-05	abund	4e-05	624	1||1224|1236|91347|543|620|624	4	0	0	4	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
718	718	Actinobacillus equuli	Actinobacillus equuli	species	2e-05	abund	2e-05	718	1||1224|1236|135625|712|713|718	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
817	817	Bacteroides fragilis	Bacteroides fragilis	species	0.1159	abund	0.1159	817	1||976|200643|171549|815|816|817	11961	0	0	11961	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	0.89155	abund	0.89155	818	1||976|200643|171549|815|816|818	112902	0	0	112902	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
820	820	Bacteroides uniformis	Bacteroides uniformis	species	6.27658	abund	6.27658	820	1||976|200643|171549|815|816|820	598516	0	0	598516	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	1.23727	abund	1.23727	821	1||976|200643|171549|815|909656|821	125796	0	0	125796	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	3.28482	abund	3.28482	823	1||976|200643|171549|2005525|375288|823	333422	0	0	333422	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
831	831	Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens	species	1e-05	abund	1e-05	831	1||1239|186801|3085636|186803|830|831	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	species	0.00017	abund	0.00017	837	1||976|200643|171549|171551|836|837	8	0	0	8	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
851	851	Fusobacterium nucleatum	Fusobacterium nucleatum	species	5e-05	abund	5e-05	851	1||32066|203490|203491|203492|848|851	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.00126	abund	0.00126	853	1||1239|186801|186802|216572|216851|853	75	0	0	75	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
860	860	Fusobacterium periodonticum	Fusobacterium periodonticum	species	2e-05	abund	2e-05	860	1||32066|203490|203491|203492|848|860	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
865	865	Pectinatus frisingensis	Pectinatus frisingensis	species	2e-05	abund	2e-05	865	1||1239|909932|909929|1843491|864|865	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
907	907	Megasphaera elsdenii	Megasphaera elsdenii	species	0.00012	abund	0.00012	907	1||1239|909932|1843489|31977|906|907	6	0	0	6	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
959	959	Bdellovibrio bacteriovorus	Bdellovibrio bacteriovorus	species	1e-05	abund	1e-05	959	1||3018035|3031418|213481|213483|958|959	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
985	985	Cytophaga hutchinsonii	Cytophaga hutchinsonii	species	2e-05	abund	2e-05	985	1||976|768503|768507|89373|978|985	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1006	1006	Marivirga tractuosa	Marivirga tractuosa	species	2e-05	abund	2e-05	1006	1||976|768503|768507|2762301|869806|1006	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1008	1008	Saprospira grandis	Saprospira grandis	species	1e-05	abund	1e-05	1008	1||976|1937959|1936988|89374|1007|1008	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1229	1229	Nitrosococcus oceani	Nitrosococcus oceani	species	1e-05	abund	1e-05	1229	1||1224|1236|135613|1046|1227|1229	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1244	1244	Leuconostoc gelidum	Leuconostoc gelidum	species	0.00142	abund	0.00142	1244	1||1239|91061|186826|33958|1243|1244	54	0	0	54	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1245	1245	Leuconostoc mesenteroides	Leuconostoc mesenteroides	species	0.00056	abund	0.00056	1245	1||1239|91061|186826|33958|1243|1245	22	0	0	22	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1249	1249	Weissella paramesenteroides	Weissella paramesenteroides	species	3e-05	abund	3e-05	1249	1||1239|91061|186826|33958|46255|1249	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1261	1261	Peptostreptococcus anaerobius	Peptostreptococcus anaerobius	species	3e-05	abund	3e-05	1261	1||1239|186801|3082720|186804|1257|1261	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1280	1280	Staphylococcus aureus	Staphylococcus aureus	species	0.005	abund	0.005	1280	1||1239|91061|1385|90964|1279|1280	275	0	0	275	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1282	1282	Staphylococcus epidermidis	Staphylococcus epidermidis	species	0.42738	abund	0.42738	1282	1||1239|91061|1385|90964|1279|1282	20910	0	0	20910	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1283	1283	Staphylococcus haemolyticus	Staphylococcus haemolyticus	species	0.00029	abund	0.00029	1283	1||1239|91061|1385|90964|1279|1283	14	0	0	14	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1286	1286	Staphylococcus simulans	Staphylococcus simulans	species	2e-05	abund	2e-05	1286	1||1239|91061|1385|90964|1279|1286	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1296	1296	Mammaliicoccus sciuri	Mammaliicoccus sciuri	species	0.00018	abund	0.00018	1296	1||1239|91061|1385|90964|2803850|1296	10	0	0	10	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1304	1304	Streptococcus salivarius	Streptococcus salivarius	species	5e-05	abund	5e-05	1304	1||1239|91061|186826|1300|1301|1304	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.16136	abund	0.16136	1308	1||1239|91061|186826|1300|1301|1308	5723	0	0	5723	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1311	1311	Streptococcus agalactiae	Streptococcus agalactiae	species	2e-05	abund	2e-05	1311	1||1239|91061|186826|1300|1301|1311	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1322	1322	Blautia hansenii	Blautia hansenii	species	3e-05	abund	3e-05	1322	1||1239|186801|3085636|186803|572511|1322	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1351	1351	Enterococcus faecalis	Enterococcus faecalis	species	0.00079	abund	0.00079	1351	1||1239|91061|186826|81852|1350|1351	46	0	0	46	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1352	1352	Enterococcus faecium	Enterococcus faecium	species	0.00164	abund	0.00164	1352	1||1239|91061|186826|81852|1350|1352	95	0	0	95	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1353	1353	Enterococcus gallinarum	Enterococcus gallinarum	species	2.57155	abund	2.57155	1353	1||1239|91061|186826|81852|1350|1353	169752	0	0	169752	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1358	1358	Lactococcus lactis	Lactococcus lactis	species	0.00442	abund	0.00442	1358	1||1239|91061|186826|1300|1357|1358	221	0	0	221	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1359	1359	Lactococcus cremoris	Lactococcus cremoris	species	0.00074	abund	0.00074	1359	1||1239|91061|186826|1300|1357|1359	37	0	0	37	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1366	1366	Pseudolactococcus raffinolactis	Pseudolactococcus raffinolactis	species	2e-05	abund	2e-05	1366	1||1239|91061|186826|1300|3436058|1366	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1401	1401	Paenibacillus lautus	Paenibacillus lautus	species	1e-05	abund	1e-05	1401	1||1239|91061|1385|186822|44249|1401	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1404	1404	Priestia megaterium	Priestia megaterium	species	1e-05	abund	1e-05	1404	1||1239|91061|1385|186817|2800373|1404	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1406	1406	Paenibacillus polymyxa	Paenibacillus polymyxa	species	1e-05	abund	1e-05	1406	1||1239|91061|1385|186822|44249|1406	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1491	1491	Clostridium botulinum	Clostridium botulinum	species	0.00241	abund	0.00241	1491	1||1239|186801|186802|31979|1485|1491	161	0	0	161	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1496	1496	Clostridioides difficile	Clostridioides difficile	species	0.00739	abund	0.00739	1496	1||1239|186801|3082720|186804|1870884|1496	523	0	0	523	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1502	1502	Clostridium perfringens	Clostridium perfringens	species	0.00012	abund	0.00012	1502	1||1239|186801|186802|31979|1485|1502	8	0	0	8	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1509	1509	Clostridium sporogenes	Clostridium sporogenes	species	0.00031	abund	0.00031	1509	1||1239|186801|186802|31979|1485|1509	21	0	0	21	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1512	1512	[Clostridium] symbiosum	[Clostridium] symbiosum	species	1e-05	abund	1e-05	1512	1||1239|186801|3085636|186803|2941495|1512	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1522	1522	[Clostridium] innocuum	[Clostridium] innocuum	species	0.88058	abund	0.88058	1522	1||1239|186801|186802|31979|1485|1522	57025	0	0	57025	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1531	1531	Enterocloster clostridioformis	Enterocloster clostridioformis	species	1e-05	abund	1e-05	1531	1||1239|186801|3085636|186803|2719313|1531	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1541	1541	Terrisporobacter mayombei	Terrisporobacter mayombei	species	1e-05	abund	1e-05	1541	1||1239|186801|3082720|186804|1505652|1541	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.23898	abund	0.23898	1547	1||1239|526524|526525|2810280|3025755|1547	17367	0	0	17367	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1584	1584	Lactobacillus delbrueckii	Lactobacillus delbrueckii	species	0.00055	abund	0.00055	1584	1||1239|91061|186826|33958|1578|1584	20	0	0	20	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1590	1590	Lactiplantibacillus plantarum	Lactiplantibacillus plantarum	species	8e-05	abund	8e-05	1590	1||1239|91061|186826|33958|2767842|1590	5	0	0	5	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1596	1596	Lactobacillus gasseri	Lactobacillus gasseri	species	5e-05	abund	5e-05	1596	1||1239|91061|186826|33958|1578|1596	2	0	0	2	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1597	1597	Lacticaseibacillus paracasei	Lacticaseibacillus paracasei	species	0.00351	abund	0.00351	1597	1||1239|91061|186826|33958|2759736|1597	209	0	0	209	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
1599	1599	Latilactobacillus sakei	Latilactobacillus sakei	species	0.00031	abund	0.00031	1599	1||1239|91061|186826|33958|2767885|1599	12	0	0	12	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	default	ganon2_default
