taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
48	48	Archangium gephyra	Archangium gephyra	species	0.0	abund	0.0	48	1||2818505|32015|29|39|47|48	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
69	69	Lysobacter enzymogenes	Lysobacter enzymogenes	species	1e-05	abund	1e-05	69	1||1224|1236|135614|32033|68|69	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
197	197	Campylobacter jejuni	Campylobacter jejuni	species	3e-05	abund	3e-05	197	1||29547|3031852|213849|72294|194|197	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
200	200	Campylobacter curvus	Campylobacter curvus	species	3e-05	abund	3e-05	200	1||29547|3031852|213849|72294|194|200	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00022	abund	0.00022	287	1||1224|1236|72274|135621|286|287	27	0	0	27	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
359	359	Rhizobium rhizogenes	Rhizobium rhizogenes	species	1e-05	abund	1e-05	359	1||1224|28211|356|82115|379|359	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
546	546	Citrobacter freundii	Citrobacter freundii	species	0.18734	abund	0.18734	546	1||1224|1236|91347|543|544|546	18727	0	0	18727	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
548	548	Klebsiella aerogenes	Klebsiella aerogenes	species	1e-05	abund	1e-05	548	1||1224|1236|91347|543|570|548	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
549	549	Pantoea agglomerans	Pantoea agglomerans	species	1e-05	abund	1e-05	549	1||1224|1236|91347|1903409|53335|549	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
550	550	Enterobacter cloacae	Enterobacter cloacae	species	1e-05	abund	1e-05	550	1||1224|1236|91347|543|547|550	1	0	0	1	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
562	562	Escherichia coli	Escherichia coli	species	0.85126	abund	0.85126	562	1||1224|1236|91347|543|561|562	83473	0	0	83473	DYN_0004_D10_Zymo	DYN_0004_D10	ont_zymo	ganon2	unified	ganon2_unified
