taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28	AF33-28	genus	0.0026	abund	0.0026	0.0832	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
0	0	CAG-313	CAG-313	genus	0.0004	abund	0.0004	0.0038	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
286	286	Pseudomonas	Pseudomonas	genus	0.0	abund	0.0	0.0016	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
544	544	Citrobacter	Citrobacter	genus	0.0099	abund	0.0099	0.3013	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
547	547	Enterobacter	Enterobacter	genus	0.0001	abund	0.0001	0.0025	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
561	561	Escherichia	Escherichia	genus	0.0244	abund	0.0244	0.756	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
570	570	Klebsiella	Klebsiella	genus	0.0006	abund	0.0006	0.0195	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
590	590	Salmonella	Salmonella	genus	0.0001	abund	0.0001	0.0026	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
816	816	Bacteroides	Bacteroides	genus	1.7062000000000002	abund	1.7062000000000002	52.0172	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
838	838	Prevotella	Prevotella	genus	0.0	abund	0.0	0.0006	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
904	904	Acidaminococcus	Acidaminococcus	genus	0.0259	abund	0.0259	0.3642	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1243	1243	Leuconostoc	Leuconostoc	genus	0.0001	abund	0.0001	0.0011	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1263	1263	Ruminococcus_B	Ruminococcus	genus	0.0001	abund	0.0001	0.0018	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1279	1279	Staphylococcus	Staphylococcus	genus	0.0206	abund	0.0206	0.3075	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1301	1301	Streptococcus	Streptococcus	genus	0.0065	abund	0.0065	0.0841	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1350	1350	Enterococcus_D	Enterococcus	genus	0.1541	abund	0.1541	3.5825	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1357	1357	Lactococcus	Lactococcus	genus	0.0003	abund	0.0003	0.004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1386	1386	Bacillus	Bacillus	genus	0.0	abund	0.0	0.0002	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1485	1485	Clostridium_AQ	Clostridium	genus	0.0285	abund	0.0285	0.8259000000000001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1578	1578	Lactobacillus	Lactobacillus	genus	0.0001	abund	0.0001	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1637	1637	Listeria	Listeria	genus	0.0	abund	0.0	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.0007	abund	0.0007	0.0098999999999999	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
2747	2747	Carnobacterium	Carnobacterium	genus	0.0001	abund	0.0001	0.001	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
29465	29465	Veillonella	Veillonella	genus	0.0003	abund	0.0003	0.003	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
35832	35832	Bilophila	Bilophila	genus	0.0045	abund	0.0045	0.1272	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
40544	40544	Sutterella	Sutterella	genus	0.0094	abund	0.0094	0.1704	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
46123	46123	Abiotrophia	Abiotrophia	genus	0.0003	abund	0.0003	0.004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
61170	61170	Holdemania	Holdemania	genus	0.0004	abund	0.0004	0.0104	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
100883	100883	Coprobacillus	Coprobacillus	genus	0.0044	abund	0.0044	0.0987	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
216851	216851	Faecalibacterium	Faecalibacterium	genus	0.0	abund	0.0	0.0007	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
239759	239759	Alistipes	Alistipes	genus	0.0294	abund	0.0294	0.6706	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
239934	239934	Akkermansia	Akkermansia	genus	0.0014	abund	0.0014	0.0276	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
375288	375288	Parabacteroides	Parabacteroides	genus	0.4871999999999999	abund	0.4871999999999999	13.5516	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
447792	447792	Phytobacter	Phytobacter	genus	0.0	abund	0.0	0.0015	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
577309	577309	Paraprevotella	Paraprevotella	genus	0.1652	abund	0.1652	4.3111	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
577310	577310	Parasutterella	Parasutterella	genus	0.0001	abund	0.0001	0.0019	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
909656	909656	Phocaeicola	Phocaeicola	genus	0.0266	abund	0.0266	0.848	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
946234	946234	Flavonifractor	Flavonifractor	genus	0.0063999999999999	abund	0.0063999999999999	0.1494	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	default	sylph_default
