taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
286	286	Pseudomonas	Pseudomonas	genus	0.0012	abund	0.0012	0.0019	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.2897	abund	0.2897	0.3344	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.0034999999999999	abund	0.0034999999999999	0.0040999999999999	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	1.0825	abund	1.0825	1.2663	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0162	abund	0.0162	0.0211	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
590	590	Salmonella	Salmonella	genus	0.0019	abund	0.0019	0.0022	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	47.275	abund	47.275	66.2586	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
904	904	Acidaminococcus	Acidaminococcus	genus	0.7611	abund	0.7611	0.4211	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1243	1243	Leuconostoc	Leuconostoc	genus	0.0026	abund	0.0026	0.0012	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1279	1279	Staphylococcus	Staphylococcus	genus	0.6268	abund	0.6268	0.3801	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1301	1301	Streptococcus	Streptococcus	genus	0.1957	abund	0.1957	0.0874	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1350	1350	Enterococcus	Enterococcus	genus	4.5499	abund	4.5499	3.4398000000000004	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1357	1357	Lactococcus	Lactococcus	genus	0.0098	abund	0.0098	0.0060999999999999	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1386	1386	Bacillus	Bacillus	genus	0.0003	abund	0.0003	0.0003	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1485	1485	Clostridium	Clostridium	genus	1.073	abund	1.073	1.1899	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1578	1578	Lactobacillus	Lactobacillus	genus	0.0014	abund	0.0014	0.0007	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1637	1637	Listeria	Listeria	genus	0.0012	abund	0.0012	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.0201	abund	0.0201	0.0114	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
2747	2747	Carnobacterium	Carnobacterium	genus	0.0012	abund	0.0012	0.0008	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
29465	29465	Veillonella	Veillonella	genus	0.0063	abund	0.0063	0.0031999999999999	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
40544	40544	Sutterella	Sutterella	genus	0.2688	abund	0.2688	0.1863	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
46123	46123	Abiotrophia	Abiotrophia	genus	0.0096	abund	0.0096	0.0047	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
61170	61170	Holdemania	Holdemania	genus	0.0126	abund	0.0126	0.0122	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
216851	216851	Faecalibacterium	Faecalibacterium	genus	0.002	abund	0.002	0.0015	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
239759	239759	Alistipes	Alistipes	genus	0.8282	abund	0.8282	0.7423	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
239934	239934	Akkermansia	Akkermansia	genus	0.0403	abund	0.0403	0.0311	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
375288	375288	Parabacteroides	Parabacteroides	genus	14.3488	abund	14.3488	15.8618	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
447792	447792	Phytobacter	Phytobacter	genus	0.0013	abund	0.0013	0.0019	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
459786	459786	Oscillibacter	Oscillibacter	genus	0.0144	abund	0.0144	0.0115	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
577309	577309	Paraprevotella	Paraprevotella	genus	4.8575	abund	4.8575	4.7043	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
909656	909656	Phocaeicola	Phocaeicola	genus	0.8059	abund	0.8059	0.9516	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
946234	946234	Flavonifractor	Flavonifractor	genus	0.1816	abund	0.1816	0.1644	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1505657	1505657	Intestinibacter	Intestinibacter	genus	0.0016	abund	0.0016	0.0011	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1623304	1623304	Moineauvirus	Moineauvirus	genus	0.0046	abund	0.0046	0.0	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
1905344	1905344	Ruthenibacterium	Ruthenibacterium	genus	0.0061	abund	0.0061	0.0065	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
2316020	2316020	Mediterraneibacter	Mediterraneibacter	genus	0.0016	abund	0.0016	0.0013	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
2742598	2742598	Limosilactobacillus	Limosilactobacillus	genus	0.0016	abund	0.0016	0.0007	DYN_0004_D10_Zymo.fastq	DYN_0004_D10	ont_zymo	sylph	unified	sylph_unified
