taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
7	7	Azorhizobium caulinodans	Azorhizobium caulinodans	species	0.0	abund	0.0	8303437	5	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
9	9	Buchnera aphidicola	Buchnera aphidicola	species	0.0	abund	0.0	671716	503	145	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
11	11	Cellulomonas gilvus	Cellulomonas gilvus	species	0.0	abund	0.0	1035569	4	3	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
17	17	Methylophilus methylotrophus	Methylophilus methylotrophus	species	0.0	abund	0.0	1035566	23	21	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
19	19	Syntrophotalea carbinolica	Syntrophotalea carbinolica	species	0.0	abund	0.0	8894228	9	5	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
24	24	Shewanella putrefaciens	Shewanella putrefaciens	species	0.0	abund	0.0	9529437	3	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
33	33	Myxococcus fulvus	Myxococcus fulvus	species	0.0	abund	0.0	1035556	2	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
34	34	Myxococcus xanthus	Myxococcus xanthus	species	0.0	abund	0.0	4432179	21	15	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
35	35	Corallococcus macrosporus	Corallococcus macrosporus	species	0.0	abund	0.0	7510222	19	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
41	41	Stigmatella aurantiaca	Stigmatella aurantiaca	species	0.0	abund	0.0	1035569	7	3	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuge	unified	Centrifuge_unified
