taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	genomeSize	numReads	numUniqueReads	taxRank_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
6	6	Azorhizobium	Azorhizobium	genus	0.0	abund	0.0	5316790	126	126	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
10	10	Cellvibrio	Cellvibrio	genus	0.0	abund	0.0	4930574	50	50	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
13	13	Dictyoglomus	Dictyoglomus	genus	0.0	abund	0.0	1852404	6	6	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
16	16	Methylophilus	Methylophilus	genus	0.0	abund	0.0	3068083	38	38	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
18	18	Pelobacter	Pelobacter	genus	0.0	abund	0.0	4221348	23	23	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
20	20	Phenylobacterium	Phenylobacterium	genus	0.0	abund	0.0	3870625	140	140	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
22	22	Shewanella	Shewanella	genus	0.0	abund	0.0	5218353	863	637	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
32	32	Myxococcus	Myxococcus	genus	0.0	abund	0.0	9476630	171	140	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
40	40	Stigmatella	Stigmatella	genus	0.0	abund	0.0	10161510	59	59	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
42	42	Cystobacter	Cystobacter	genus	0.0	abund	0.0	12216880	37	37	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
44	44	Melittangium	Melittangium	genus	0.0	abund	0.0	9810721	172	172	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
47	47	Archangium	Archangium	genus	0.0	abund	0.0	12723492	190	186	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
50	50	Chondromyces	Chondromyces	genus	0.0	abund	0.0	11193550	116	116	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
53	53	Nannocystis	Nannocystis	genus	0.0	abund	0.0	12635383	42	42	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
55	55	Polyangium	Polyangium	genus	0.0	abund	0.0	11865959	75	75	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
59	59	Vitreoscilla	Vitreoscilla	genus	0.0	abund	0.0	3177410	174	174	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
68	68	Lysobacter	Lysobacter	genus	0.0	abund	0.0	4017038	333	226	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
71	71	Simonsiella	Simonsiella	genus	0.0	abund	0.0	2425434	3	2	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
75	75	Caulobacter	Caulobacter	genus	0.0	abund	0.0	4639345	366	317	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
81	81	Hyphomicrobium	Hyphomicrobium	genus	0.0	abund	0.0	4108973	96	91	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
85	85	Hyphomonas	Hyphomonas	genus	0.0	abund	0.0	3617055	19	19	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
88	88	Leptothrix	Leptothrix	genus	0.0	abund	0.0	4836192	56	56	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
93	93	Stella	Stella	genus	0.0	abund	0.0	5739417	19	19	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
96	96	Gallionella	Gallionella	genus	0.0	abund	0.0	3151503	83	83	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
99	99	Ancylobacter	Ancylobacter	genus	0.0	abund	0.0	4571159	86	85	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
105	105	Runella	Runella	genus	0.0	abund	0.0	7085302	111	111	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
107	107	Spirosoma	Spirosoma	genus	0.0	abund	0.0	7200667	143	135	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
113	113	Gemmata	Gemmata	genus	0.0	abund	0.0	9320154	131	122	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
118	118	Planctomyces	Planctomyces	genus	0.0	abund	0.0	7520540	118	118	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
123	123	Pirellula	Pirellula	genus	0.0	abund	0.0	6348991	44	44	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
127	127	Isosphaera	Isosphaera	genus	0.0	abund	0.0	5441947	26	26	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
133	133	Methylocystis	Methylocystis	genus	0.0	abund	0.0	4258659	146	125	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
138	138	Borrelia	Borrelia	genus	0.0	abund	0.0	1132758	54	24	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
146	146	Spirochaeta	Spirochaeta	genus	0.0	abund	0.0	2728401	44	38	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
157	157	Treponema	Treponema	genus	0.0036999999999999997	abund	3.7e-05	3159148	1366	796	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
171	171	Leptospira	Leptospira	genus	0.0	abund	0.0	6903408	374	149	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
179	179	Leptospirillum	Leptospirillum	genus	0.0	abund	0.0	2483050	12	8	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
187	187	Aquaspirillum	Aquaspirillum	genus	0.0	abund	0.0	3936251	11	11	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
191	191	Azospirillum	Azospirillum	genus	0.0	abund	0.0	7548494	562	313	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
194	194	Campylobacter	Campylobacter	genus	0.0	abund	0.0	1646621	1122	640	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
209	209	Helicobacter	Helicobacter	genus	0.0	abund	0.0	1616718	230	143	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
222	222	Achromobacter	Achromobacter	genus	0.0	abund	0.0	7078884	543	263	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
226	226	Alteromonas	Alteromonas	genus	0.0	abund	0.0	4474433	97	55	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
234	234	Brucella	Brucella	genus	0.0	abund	0.0	3440141	266	190	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
237	237	Flavobacterium	Flavobacterium	genus	0.0	abund	0.0	3990464	1560	1378	genus	DYN_0004_D10_report	DYN_0004_D10	pacbio	Centrifuger	default	Centrifuger_default
