taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
816	816	                    Bacteroides	Bacteroides	genus	24.67	abund	24.67	552377	11552	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
909656	909656	                    Phocaeicola	Phocaeicola	genus	6.15	abund	6.15	137787	261	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
239759	239759	                    Alistipes	Alistipes	genus	4.31	abund	4.31	96480	244	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1647173	1647173	                    Acetobacteroides	Acetobacteroides	genus	0.0	abund	0.0	10	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
375288	375288	                    Parabacteroides	Parabacteroides	genus	3.87	abund	3.87	86698	1036	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	22	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
283168	283168	                    Odoribacter	Odoribacter	genus	0.24	abund	0.24	5291	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
574697	574697	                    Butyricimonas	Butyricimonas	genus	0.12	abund	0.12	2666	102	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
838	838	                    Prevotella	Prevotella	genus	0.1	abund	0.1	2254	253	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2974251	2974251	                    Segatella	Segatella	genus	0.04	abund	0.04	989	6	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
577309	577309	                    Paraprevotella	Paraprevotella	genus	0.03	abund	0.03	651	2	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.0	abund	0.0	109	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	105	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	19	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
397864	397864	                    Barnesiella	Barnesiella	genus	0.15	abund	0.15	3405	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1348911	1348911	                    Coprobacter	Coprobacter	genus	0.0	abund	0.0	99	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
836	836	                    Porphyromonas	Porphyromonas	genus	0.04	abund	0.04	899	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2815786	2815786	                    Sodaliphilus	Sodaliphilus	genus	0.01	abund	0.01	162	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1918540	1918540	                    Muribaculum	Muribaculum	genus	0.0	abund	0.0	23	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2518495	2518495	                    Duncaniella	Duncaniella	genus	0.0	abund	0.0	21	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2518497	2518497	                    Paramuribaculum	Paramuribaculum	genus	0.0	abund	0.0	2	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
156973	156973	                    Dysgonomonas	Dysgonomonas	genus	0.0	abund	0.0	40	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
307628	307628	                    Petrimonas	Petrimonas	genus	0.0	abund	0.0	37	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
294702	294702	                    Proteiniphilum	Proteiniphilum	genus	0.0	abund	0.0	25	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
3404873	3404873	                    Limibacterium	Limibacterium	genus	0.0	abund	0.0	1	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
346096	346096	                    Paludibacter	Paludibacter	genus	0.0	abund	0.0	10	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2760873	2760873	                    Tenuifilum	Tenuifilum	genus	0.0	abund	0.0	4	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2678352	2678352	                    Maribellus	Maribellus	genus	0.01	abund	0.01	130	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1471399	1471399	                    Draconibacterium	Draconibacterium	genus	0.0	abund	0.0	17	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2792393	2792393	                    Aquipluma	Aquipluma	genus	0.0	abund	0.0	5	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1573808	1573808	                    Mangrovibacterium	Mangrovibacterium	genus	0.0	abund	0.0	4	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
3374594	3374594	                    Halosquirtibacter	Halosquirtibacter	genus	0.0	abund	0.0	3	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
866673	866673	                    Marinifilum	Marinifilum	genus	0.0	abund	0.0	5	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2060722	2060722	                    Labilibaculum	Labilibaculum	genus	0.0	abund	0.0	5	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
237	237	                    Flavobacterium	Flavobacterium	genus	0.03	abund	0.03	697	127	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
76831	76831	                    Myroides	Myroides	genus	0.01	abund	0.01	116	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
1016	1016	                    Capnocytophaga	Capnocytophaga	genus	0.0	abund	0.0	93	18	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
104267	104267	                    Tenacibaculum	Tenacibaculum	genus	0.0	abund	0.0	76	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
527198	527198	                    Mariniflexile	Mariniflexile	genus	0.0	abund	0.0	70	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
52959	52959	                    Polaribacter	Polaribacter	genus	0.0	abund	0.0	69	10	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
292691	292691	                    Christiangramia	Christiangramia	genus	0.0	abund	0.0	65	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
178469	178469	                    Arenibacter	Arenibacter	genus	0.0	abund	0.0	65	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2058174	2058174	                    Antarcticibacterium	Antarcticibacterium	genus	0.0	abund	0.0	60	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
252356	252356	                    Maribacter	Maribacter	genus	0.0	abund	0.0	55	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
393005	393005	                    Tamlana	Tamlana	genus	0.0	abund	0.0	39	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
104264	104264	                    Cellulophaga	Cellulophaga	genus	0.0	abund	0.0	33	9	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
417127	417127	                    Zunongwangia	Zunongwangia	genus	0.0	abund	0.0	26	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
286104	286104	                    Winogradskyella	Winogradskyella	genus	0.0	abund	0.0	24	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
