taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
820	820	                      Bacteroides uniformis	Bacteroides uniformis	species	9.17	abund	9.17	205285	184947	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
818	818	                      Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	4.03	abund	4.03	90267	90176	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
329854	329854	                      Bacteroides intestinalis	Bacteroides intestinalis	species	2.82	abund	2.82	63134	63134	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
246787	246787	                      Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	species	2.36	abund	2.36	52743	52743	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
817	817	                      Bacteroides fragilis	Bacteroides fragilis	species	2.04	abund	2.04	45743	43284	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
47678	47678	                      Bacteroides caccae	Bacteroides caccae	species	1.78	abund	1.78	39812	22511	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
28116	28116	                      Bacteroides ovatus	Bacteroides ovatus	species	0.52	abund	0.52	11595	11510	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
3117552	3117552	                        Bacteroides sp. MSB163	Bacteroides sp. MSB163	species	0.11	abund	0.11	2573	2573	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2755405	2755405	                        Bacteroides sp. CACC 737	Bacteroides sp. CACC 737	species	0.05	abund	0.05	1139	1139	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2785531	2785531	                        Bacteroides sp. HF-162	Bacteroides sp. HF-162	species	0.04	abund	0.04	932	932	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2528203	2528203	                        Bacteroides sp. A1C1	Bacteroides sp. A1C1	species	0.03	abund	0.03	638	638	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2847299	2847299	                        Bacteroides sp. DH3716P	Bacteroides sp. DH3716P	species	0.03	abund	0.03	610	610	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2025659	2025659	                        Bacteroides sp. KFT8	Bacteroides sp. KFT8	species	0.02	abund	0.02	406	406	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2763022	2763022	                        Bacteroides sp. M10	Bacteroides sp. M10	species	0.01	abund	0.01	276	276	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2972761	2972761	                        Bacteroides sp. BFG-257	Bacteroides sp. BFG-257	species	0.01	abund	0.01	126	126	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
3096000	3096000	                        Bacteroides sp. CG01	Bacteroides sp. CG01	species	0.0	abund	0.0	85	85	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
556259	556259	                        Bacteroides sp. D2	Bacteroides sp. D2	species	0.0	abund	0.0	65	65	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2709390	2709390	                        Bacteroides sp. ZJ-18	Bacteroides sp. ZJ-18	species	0.0	abund	0.0	4	4	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
2162637	2162637	                        Bacteroides sp. PHL 2737	Bacteroides sp. PHL 2737	species	0.0	abund	0.0	1	1	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
291644	291644	                      Bacteroides salyersiae	Bacteroides salyersiae	species	0.27	abund	0.27	6087	6087	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	default	Kraken2_default
