taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	numReads	numDirectReads	sample_id	sample_id_core	assay	tool	db_mode	tool_db
816	816	                    Bacteroides	Bacteroides	genus	24.6	abund	24.6	550783	12838	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
909656	909656	                    Phocaeicola	Phocaeicola	genus	6.08	abund	6.08	136175	253	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
239759	239759	                    Alistipes	Alistipes	genus	4.37	abund	4.37	97905	245	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
1647173	1647173	                    Acetobacteroides	Acetobacteroides	genus	0.0	abund	0.0	11	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
375288	375288	                    Parabacteroides	Parabacteroides	genus	3.9	abund	3.9	87339	684	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
195950	195950	                    Tannerella	Tannerella	genus	0.0	abund	0.0	28	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
283168	283168	                    Odoribacter	Odoribacter	genus	0.24	abund	0.24	5323	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
574697	574697	                    Butyricimonas	Butyricimonas	genus	0.13	abund	0.13	2869	103	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
838	838	                    Prevotella	Prevotella	genus	0.1	abund	0.1	2264	179	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2974251	2974251	                    Segatella	Segatella	genus	0.04	abund	0.04	999	13	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
577309	577309	                    Paraprevotella	Paraprevotella	genus	0.03	abund	0.03	689	2	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
558436	558436	                    Xylanibacter	Xylanibacter	genus	0.0	abund	0.0	105	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2974257	2974257	                    Hoylesella	Hoylesella	genus	0.0	abund	0.0	103	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2884814	2884814	                    Pseudoprevotella	Pseudoprevotella	genus	0.0	abund	0.0	19	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
397864	397864	                    Barnesiella	Barnesiella	genus	0.15	abund	0.15	3405	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
1348911	1348911	                    Coprobacter	Coprobacter	genus	0.0	abund	0.0	100	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
836	836	                    Porphyromonas	Porphyromonas	genus	0.04	abund	0.04	903	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
156973	156973	                    Dysgonomonas	Dysgonomonas	genus	0.01	abund	0.01	250	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
307628	307628	                    Petrimonas	Petrimonas	genus	0.0	abund	0.0	37	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
294702	294702	                    Proteiniphilum	Proteiniphilum	genus	0.0	abund	0.0	24	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2815786	2815786	                    Sodaliphilus	Sodaliphilus	genus	0.01	abund	0.01	179	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
1918540	1918540	                    Muribaculum	Muribaculum	genus	0.0	abund	0.0	22	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2518495	2518495	                    Duncaniella	Duncaniella	genus	0.0	abund	0.0	15	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2518497	2518497	                    Paramuribaculum	Paramuribaculum	genus	0.0	abund	0.0	2	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
346096	346096	                    Paludibacter	Paludibacter	genus	0.0	abund	0.0	10	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2760873	2760873	                    Tenuifilum	Tenuifilum	genus	0.0	abund	0.0	3	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
2678352	2678352	                    Maribellus	Maribellus	genus	0.01	abund	0.01	130	0	DYN_0004_D10_report	DYN_0004_D10	pacbio	Kraken2	unified	Kraken2_unified
