taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
195	195	Campylobacter coli	Campylobacter coli	species	0.00245	abund	0.00245	195	1||29547|3031852|213849|72294|194|195	30	0	0	30	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
196	196	Campylobacter fetus	Campylobacter fetus	species	8e-05	abund	8e-05	196	1||29547|3031852|213849|72294|194|196	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
197	197	Campylobacter jejuni	Campylobacter jejuni	species	8e-05	abund	8e-05	197	1||29547|3031852|213849|72294|194|197	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00098	abund	0.00098	287	1||1224|1236|72274|135621|286|287	39	0	0	39	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
296	296	Pseudomonas fragi	Pseudomonas fragi	species	0.00032	abund	0.00032	296	1||1224|1236|72274|135621|286|296	10	0	0	10	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
545	545	Citrobacter koseri	Citrobacter koseri	species	6e-05	abund	6e-05	545	1||1224|1236|91347|543|544|545	2	0	0	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
546	546	Citrobacter freundii	Citrobacter freundii	species	0.00034	abund	0.00034	546	1||1224|1236|91347|543|544|546	11	0	0	11	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
562	562	Escherichia coli	Escherichia coli	species	0.20714	abund	0.20714	562	1||1224|1236|91347|543|561|562	6577	0	0	6577	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
571	571	Klebsiella oxytoca	Klebsiella oxytoca	species	6e-05	abund	6e-05	571	1||1224|1236|91347|543|570|571	2	0	0	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.00588	abund	0.00588	573	1||1224|1236|91347|543|570|573	203	0	0	203	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
624	624	Shigella sonnei	Shigella sonnei	species	3e-05	abund	3e-05	624	1||1224|1236|91347|543|620|624	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
729	729	Haemophilus parainfluenzae	Haemophilus parainfluenzae	species	0.00189	abund	0.00189	729	1||1224|1236|135625|712|724|729	24	0	0	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
739	739	Aggregatibacter segnis	Aggregatibacter segnis	species	0.00041	abund	0.00041	739	1||1224|1236|135625|712|416916|739	5	0	0	5	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
817	817	Bacteroides fragilis	Bacteroides fragilis	species	1.33292	abund	1.33292	817	1||976|200643|171549|815|816|817	43216	0	0	43216	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.08721	abund	2.08721	818	1||976|200643|171549|815|816|818	83041	0	0	83041	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
820	820	Bacteroides uniformis	Bacteroides uniformis	species	7.40434	abund	7.40434	820	1||976|200643|171549|815|816|820	221825	0	0	221825	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.54012	abund	0.54012	821	1||976|200643|171549|815|909656|821	17253	0	0	17253	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	1.10173	abund	1.10173	823	1||976|200643|171549|2005525|375288|823	35134	0	0	35134	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
847	847	Oxalobacter formigenes	Oxalobacter formigenes	species	0.08101	abund	0.08101	847	1||1224|28216|80840|75682|846|847	1226	0	0	1226	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	species	0.11243	abund	0.11243	853	1||1239|186801|186802|216572|216851|853	2097	0	0	2097	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
876	876	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	species	0.00014	abund	0.00014	876	1||200940|3031449|213115|194924|872|876	3	0	0	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
901	901	Desulfovibrio piger	Desulfovibrio piger	species	0.00011	abund	0.00011	901	1||200940|3031449|213115|194924|872|901	2	0	0	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1260	1260	Finegoldia magna	Finegoldia magna	species	0.00179	abund	0.00179	1260	1||1239|1737404|1737405|1570339|150022|1260	21	0	0	21	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1261	1261	Peptostreptococcus anaerobius	Peptostreptococcus anaerobius	species	8e-05	abund	8e-05	1261	1||1239|186801|3082720|186804|1257|1261	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1274	1274	Dermacoccus nishinomiyaensis	Dermacoccus nishinomiyaensis	species	5e-05	abund	5e-05	1274	1||201174|1760|85006|145357|57495|1274	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1303	1303	Streptococcus oralis	Streptococcus oralis	species	8e-05	abund	8e-05	1303	1||1239|91061|186826|1300|1301|1303	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1304	1304	Streptococcus salivarius	Streptococcus salivarius	species	0.02728	abund	0.02728	1304	1||1239|91061|186826|1300|1301|1304	368	0	0	368	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1305	1305	Streptococcus sanguinis	Streptococcus sanguinis	species	0.00185	abund	0.00185	1305	1||1239|91061|186826|1300|1301|1305	27	0	0	27	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1307	1307	Streptococcus suis	Streptococcus suis	species	0.00136	abund	0.00136	1307	1||1239|91061|186826|1300|1301|1307	18	0	0	18	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.00126	abund	0.00126	1308	1||1239|91061|186826|1300|1301|1308	14	0	0	14	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1311	1311	Streptococcus agalactiae	Streptococcus agalactiae	species	0.00101	abund	0.00101	1311	1||1239|91061|186826|1300|1301|1311	13	0	0	13	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1313	1313	Streptococcus pneumoniae	Streptococcus pneumoniae	species	8e-05	abund	8e-05	1313	1||1239|91061|186826|1300|1301|1313	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1314	1314	Streptococcus pyogenes	Streptococcus pyogenes	species	0.00027	abund	0.00027	1314	1||1239|91061|186826|1300|1301|1314	3	0	0	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1318	1318	Streptococcus parasanguinis	Streptococcus parasanguinis	species	0.00137	abund	0.00137	1318	1||1239|91061|186826|1300|1301|1318	18	0	0	18	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
1322	1322	Blautia hansenii	Blautia hansenii	species	0.0009	abund	0.0009	1322	1||1239|186801|3085636|186803|572511|1322	17	0	0	17	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	default	ganon2_default
