taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.00556	abund	0.00556	194	1||29547|3031852|213849|72294|194	0	0	63	63	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
286	286	Pseudomonas	Pseudomonas	genus	0.00208	abund	0.00208	286	1||1224|1236|72274|135621|286	0	0	74	74	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
544	544	Citrobacter	Citrobacter	genus	0.0104	abund	0.0104	544	1||1224|1236|91347|543|544	0	0	322	322	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
547	547	Enterobacter	Enterobacter	genus	0.01209	abund	0.01209	547	1||1224|1236|91347|543|547	0	0	379	379	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
561	561	Escherichia	Escherichia	genus	0.20671	abund	0.20671	561	1||1224|1236|91347|543|561	0	0	6542	6542	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
570	570	Klebsiella	Klebsiella	genus	0.00598	abund	0.00598	570	1||1224|1236|91347|543|570	0	0	206	206	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
581	581	Morganella	Morganella	genus	0.00081	abund	0.00081	581	1||1224|1236|91347|1903414|581	0	0	24	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
583	583	Proteus	Proteus	genus	0.00021	abund	0.00021	583	1||1224|1236|91347|1903414|583	0	0	6	6	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
590	590	Salmonella	Salmonella	genus	0.0001	abund	0.0001	590	1||1224|1236|91347|543|590	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
724	724	Haemophilus	Haemophilus	genus	0.0019	abund	0.0019	724	1||1224|1236|135625|712|724	0	0	24	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
816	816	Bacteroides	Bacteroides	genus	13.68185	abund	13.68185	816	1||976|200643|171549|815|816	0	0	452234	452234	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
830	830	Butyrivibrio	Butyrivibrio	genus	0.00037	abund	0.00037	830	1||1239|186801|3085636|186803|830	0	0	10	10	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
836	836	Porphyromonas	Porphyromonas	genus	0.00019	abund	0.00019	836	1||976|200643|171549|171551|836	0	0	3	3	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
838	838	Prevotella	Prevotella	genus	0.00538	abund	0.00538	838	1||976|200643|171549|171552|838	0	0	94	94	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
841	841	Roseburia	Roseburia	genus	0.16266	abund	0.16266	841	1||1239|186801|3085636|186803|841	0	0	4059	4059	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
846	846	Oxalobacter	Oxalobacter	genus	0.08121	abund	0.08121	846	1||1224|28216|80840|75682|846	0	0	1226	1226	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
872	872	Desulfovibrio	Desulfovibrio	genus	0.07663	abund	0.07663	872	1||200940|3031449|213115|194924|872	0	0	1460	1460	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
906	906	Megasphaera	Megasphaera	genus	0.00038	abund	0.00038	906	1||1239|909932|1843489|31977|906	0	0	6	6	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.00715	abund	0.00715	1263	1||1239|186801|186802|216572|1263	0	0	160	160	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1301	1301	Streptococcus	Streptococcus	genus	0.07581	abund	0.07581	1301	1||1239|91061|186826|1300|1301	0	0	961	961	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1350	1350	Enterococcus	Enterococcus	genus	0.00596	abund	0.00596	1350	1||1239|91061|186826|81852|1350	0	0	108	108	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1485	1485	Clostridium	Clostridium	genus	0.04356	abund	0.04356	1485	1||1239|186801|186802|31979|1485	0	0	909	909	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1654	1654	Actinomyces	Actinomyces	genus	0.00335	abund	0.00335	1654	1||201174|1760|2037|2049|1654	0	0	64	64	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1678	1678	Bifidobacterium	Bifidobacterium	genus	0.00225	abund	0.00225	1678	1||201174|1760|85004|31953|1678	0	0	33	33	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1716	1716	Corynebacterium	Corynebacterium	genus	0.00012	abund	0.00012	1716	1||201174|1760|85007|1653|1716	0	0	2	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1730	1730	Eubacterium	Eubacterium	genus	0.05301	abund	0.05301	1730	1||1239|186801|186802|186806|1730	0	0	1294	1294	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
1743	1743	Propionibacterium	Propionibacterium	genus	0.0068	abund	0.0068	1743	1||201174|1760|85009|31957|1743	0	0	110	110	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
2172	2172	Methanobrevibacter	Methanobrevibacter	genus	2.40312	abund	2.40312	2172	1||28890|183925|2158|2159|2172	0	0	25254	25254	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
28050	28050	Lachnospira	Lachnospira	genus	0.0544	abund	0.0544	28050	1||1239|186801|3085636|186803|28050	0	0	1014	1014	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
28250	28250	Ornithobacterium	Ornithobacterium	genus	7e-05	abund	7e-05	28250	1||976|117743|200644|2762318|28250	0	0	1	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
29465	29465	Veillonella	Veillonella	genus	0.00931	abund	0.00931	29465	1||1239|909932|1843489|31977|29465	0	0	122	122	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
32207	32207	Rothia	Rothia	genus	0.01601	abund	0.01601	32207	1||201174|1760|85006|1268|32207	0	0	226	226	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
