taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	target	lineage	num_unique	num_shared	num_children	num_cumulative	sample_id	sample_id_core	assay	tool	db_mode	tool_db
195	195	Campylobacter coli	Campylobacter coli	species	0.00246	abund	0.00246	195	1||29547|3031852|213849|72294|194|195	30	0	0	30	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
196	196	Campylobacter fetus	Campylobacter fetus	species	8e-05	abund	8e-05	196	1||29547|3031852|213849|72294|194|196	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
197	197	Campylobacter jejuni	Campylobacter jejuni	species	8e-05	abund	8e-05	197	1||29547|3031852|213849|72294|194|197	1	0	0	1	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.00095	abund	0.00095	287	1||1224|1236|72274|135621|286|287	38	0	0	38	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
296	296	Pseudomonas fragi	Pseudomonas fragi	species	0.00041	abund	0.00041	296	1||1224|1236|72274|135621|286|296	13	0	0	13	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
546	546	Citrobacter freundii	Citrobacter freundii	species	0.00028	abund	0.00028	546	1||1224|1236|91347|543|544|546	9	0	0	9	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
562	562	Escherichia coli	Escherichia coli	species	0.20671	abund	0.20671	562	1||1224|1236|91347|543|561|562	6542	0	0	6542	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
571	571	Klebsiella oxytoca	Klebsiella oxytoca	species	6e-05	abund	6e-05	571	1||1224|1236|91347|543|570|571	2	0	0	2	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.00587	abund	0.00587	573	1||1224|1236|91347|543|570|573	202	0	0	202	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
582	582	Morganella morganii	Morganella morganii	species	0.00081	abund	0.00081	582	1||1224|1236|91347|1903414|581|582	24	0	0	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
584	584	Proteus mirabilis	Proteus mirabilis	species	0.00021	abund	0.00021	584	1||1224|1236|91347|1903414|583|584	6	0	0	6	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
729	729	Haemophilus parainfluenzae	Haemophilus parainfluenzae	species	0.0019	abund	0.0019	729	1||1224|1236|135625|712|724|729	24	0	0	24	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
739	739	Aggregatibacter segnis	Aggregatibacter segnis	species	0.00041	abund	0.00041	739	1||1224|1236|135625|712|416916|739	5	0	0	5	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	1.28483	abund	1.28483	817	1||976|200643|171549|815|816|817	41530	0	0	41530	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.2353	abund	2.2353	818	1||976|200643|171549|815|816|818	88646	0	0	88646	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	7.56736	abund	7.56736	820	1||976|200643|171549|815|816|820	225730	0	0	225730	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.5038	abund	0.5038	821	1||976|200643|171549|815|909656|821	16041	0	0	16041	DYN_0004_D10	DYN_0004_D10	pacbio	ganon2	unified	ganon2_unified
