taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	816	Bacteroides	Bacteroides	genus	18.22220926351732	abund_weighted	0.1822220926351732	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0518166381259729	0.1822220926351732	43240000	0.9089317321772248	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	239759	Alistipes	Alistipes	genus	3.01686849568174	abund_weighted	0.0301686849568174	;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0176540867916705	0.0301686849568174	14732000	0.8779031780721138	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	2719313	Enterocloster	Enterocloster	genus	1.13000710550227	abund_weighted	0.0113000710550227	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0118588679670358	0.0113000710550227	9896000	0.866707116152574	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	572511	Blautia	Blautia	genus	0.31179994505734	abund_weighted	0.0031179994505734	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0111662218792279	0.0031179994505734	9318000	0.8650261449429467	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	375288	Parabacteroides	Parabacteroides	genus	2.87043191483989	abund_weighted	0.0287043191483989	;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0099486986522161	0.0287043191483989	8302000	0.8618105680325555	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1506553	Lachnoclostridium	Lachnoclostridium	genus	0.2846976015873	abund_weighted	0.002846976015873	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0089840271977432	0.002846976015873	7497000	0.8589797730807668	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	909656	Phocaeicola	Phocaeicola	genus	5.16060164308499	abund_weighted	0.0516060164308499	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0088462169899614	0.0516060164308499	7382000	0.8585515444437114	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	841	Roseburia	Roseburia	genus	0.24711173017062998	abund_weighted	0.0024711173017063	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0073171228583994	0.0024711173017063	6106000	0.8533118035939724	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	561	Escherichia	Escherichia	genus	0.29123804966442	abund_weighted	0.0029123804966442	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0060995996313876	0.0029123804966442	5090000	0.8483168773171178	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	946234	Flavonifractor	Flavonifractor	genus	0.29306850692495	abund_weighted	0.0029306850692495	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Flavonifractor		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0053674080056945	0.0029306850692495	4479000	0.8448246952122974	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1905344	Ruthenibacterium	Ruthenibacterium	genus	1.7058776416735901	abund_weighted	0.0170587764167359	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0044638523824988	0.0170587764167359	3725000	0.8398160839442049	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	283168	Odoribacter	Odoribacter	genus	0.19404293963332	abund_weighted	0.0019404293963332	;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Odoribacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0042110006099599	0.0019404293963332	3514000	0.8382378513512443	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1485	Clostridium	Clostridium	genus	0.08028689415029	abund_weighted	0.0008028689415029	;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.003686123470756	0.0008028689415029	3076000	0.8346458803669973	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	3025755	Thomasclavelia	Thomasclavelia	genus	0.07118525291022	abund_weighted	0.0007118525291022	;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Thomasclavelia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0036765366736929	0.0007118525291022	3068000	0.8345757685310068	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	574697	Butyricimonas	Butyricimonas	genus	0.04144213117895	abund_weighted	0.0004144213117895	;Bacteroidota;Bacteroidia;Bacteroidales;Odoribacteraceae;Butyricimonas		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0036429828839721	0.0004144213117895	3040000	0.8343289760650574	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	2316020	Mediterraneibacter	Mediterraneibacter	genus	0.20345568625759	abund_weighted	0.0020345568625759	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Mediterraneibacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0035650901578346	0.0020345568625759	2975000	0.8337474772000598	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1392389	Intestinimonas	Intestinimonas	genus	0.12245976123168	abund_weighted	0.0012245976123168	;Bacillota;Clostridia;Eubacteriales;;Intestinimonas		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0035015776272916	0.0012245976123168	2922000	0.8332641587643238	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1301	Streptococcus	Streptococcus	genus	0.04109485075008	abund_weighted	0.0004109485075008	;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0034848007324312	0.0004109485075008	2908000	0.8331350731999735	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1918536	Longicatena	Longicatena	genus	0.11699732948585	abund_weighted	0.0011699732948585	;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Longicatena		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0033338086786877	0.0011699732948585	2782000	0.8319454682605275	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1730	Eubacterium	Eubacterium	genus	0.05147708857163	abund_weighted	0.0005147708857163	;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Eubacterium		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0032954614904353	0.0005147708857163	2750000	0.8316350446281559	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	1769710	Sellimonas	Sellimonas	genus	0.05832140702402	abund_weighted	0.0005832140702402	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0032007918694374	0.0005832140702402	2671000	0.8308534611753285	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	397864	Barnesiella	Barnesiella	genus	0.08557568568169001	abund_weighted	0.0008557568568169	;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0031348826396287	0.0008557568568169	2616000	0.8302959981783328	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	239934	Akkermansia	Akkermansia	genus	27.66862038436274	abund_weighted	0.2766862038436274	;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0031324859403629	0.2766862038436274	2614000	0.8302755137326068	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	2591381	Dysosmobacter	Dysosmobacter	genus	0.13784862523615	abund_weighted	0.0013784862523615	;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Dysosmobacter		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0030402130186307	0.0013784862523615	2537000	0.8294751034876917	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
