taxid_raw	taxid	name_raw	name	rank	value	value_type	abundance_raw	lineage_raw	query_name	query_md5	query_filename	fraction_raw	f_weighted_raw	bp_match_at_rank	query_ani_at_rank	total_weighted_hashes	sample_id	sample_id_core	assay	tool	db_mode	tool_db
	208479	Enterocloster bolteae	Enterocloster bolteae	species	1.07429753670374	abund_weighted	0.0107429753670374	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Enterocloster;Enterocloster bolteae		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0092776228578002	0.0107429753670374	7742000	0.8598712775995325	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	28116	Bacteroides ovatus	Bacteroides ovatus	species	0.7026930077907301	abund_weighted	0.0070269300779073	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0091302258529553	0.0070269300779073	7619000	0.8594271738162587	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	246787	Bacteroides cellulosilyticus	Bacteroides cellulosilyticus	species	2.9836525696617398	abund_weighted	0.0298365256966174	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides cellulosilyticus		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0078587768924636	0.0298365256966174	6558000	0.8552798187437861	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	2.63168385499797	abund_weighted	0.0263168385499797	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0073986106334356	0.0263168385499797	6174000	0.8536167114540945	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	29347	[Clostridium] scindens	[Clostridium] scindens	species	0.2590350248953	abund_weighted	0.002590350248953	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium;[Clostridium] scindens		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0064231540322667	0.002590350248953	5360000	0.8497324515539431	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	562	Escherichia coli	Escherichia coli	species	0.29123804966442	abund_weighted	0.0029123804966442	;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0060995996313876	0.0029123804966442	5090000	0.8483168773171178	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	47678	Bacteroides caccae	Bacteroides caccae	species	1.3877615338161	abund_weighted	0.013877615338161	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0060193102059843	0.013877615338161	5023000	0.847954355000991	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	2877527	Blautia parvula	Blautia parvula	species	0.16872040836126	abund_weighted	0.0016872040836126	;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;Blautia parvula		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.005623854827132	0.0016872040836126	4693000	0.8460975838883782	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	817	Bacteroides fragilis	Bacteroides fragilis	species	1.30911698669402	abund_weighted	0.0130911698669402	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0056190614286005	0.0130911698669402	4689000	0.8460743111561392	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
	357276	Phocaeicola dorei	Phocaeicola dorei	species	4.39162148343295	abund_weighted	0.0439162148343295	;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei		10607401	/home/eh58/Research/bakeoff/data/bakeoff/dataset/DYN/pacbio/DYN_0004_D10.fastq	0.0054908380178817	0.0439162148343295	4582000	0.8454445271810077	13821683	DYN_0004_D10-report.csv.summarized	DYN_0004_D10	pacbio	sourmash	unified	sourmash_unified
