taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28	AF33-28	genus	0.0018	abund	0.0018	0.0251	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Bittarella	Bittarella	genus	0.0001	abund	0.0001	0.0007	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CABSLJ01	CABSLJ01	genus	0.0007	abund	0.0007	0.0048	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAG-170	CAG-170	genus	0.0007	abund	0.0007	0.0049	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAG-177	CAG-177	genus	0.3292	abund	0.3292	1.8788	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAG-273	CAG-273	genus	0.0022	abund	0.0022	0.008	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAG-314	CAG-314	genus	0.0007	abund	0.0007	0.003	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAG-349	CAG-349	genus	0.005	abund	0.005	0.0212	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAJFTX01	CAJFTX01	genus	0.0004	abund	0.0004	0.0021	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAJFUR01	CAJFUR01	genus	0.0027	abund	0.0027	0.0217	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAJTWN01	CAJTWN01	genus	0.0008	abund	0.0008	0.0055	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAKTXU01	CAKTXU01	genus	0.0026	abund	0.0026	0.0239	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CAKXIK01	CAKXIK01	genus	0.0008	abund	0.0008	0.0044	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALVVN01	CALVVN01	genus	0.0052	abund	0.0052	0.0126	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALWKX01	CALWKX01	genus	0.0022	abund	0.0022	0.0091	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALXAO01	CALXAO01	genus	0.0001	abund	0.0001	0.0004	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALXDZ01	CALXDZ01	genus	0.0012	abund	0.0012	0.0077	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALXRW01	CALXRW01	genus	0.0117	abund	0.0117	0.0463	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALXSR01	CALXSR01	genus	0.0001	abund	0.0001	0.0004	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CALXSV01	CALXSV01	genus	0.0005	abund	0.0005	0.0027	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	CHH4-2	CHH4-2	genus	0.0004	abund	0.0004	0.006	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	DXTB01	DXTB01	genus	0.0164	abund	0.0164	0.0657	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	HGM11327	HGM11327	genus	0.0008	abund	0.0008	0.0038	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
