taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
0	0	AF33-28 sp003477885	AF33-28 sp003477885	species	0.0018	abund	0.0018	0.0251	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acetatifactor acetigignens	Acetatifactor acetigignens	species	0.0005	abund	0.0005	0.0061	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acetatifactor intestinalis	Acetatifactor intestinalis	species	0.0001	abund	0.0001	0.0012	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acutalibacter ornithocaccae	Acutalibacter ornithocaccae	species	0.0015	abund	0.0015	0.0097	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acutalibacter sp900548545	Acutalibacter sp900548545	species	0.0022	abund	0.0022	0.0128	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acutalibacter sp944380625	Acutalibacter sp944380625	species	0.0036	abund	0.0036	0.0172	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Acutalibacter timonensis	Acutalibacter timonensis	species	0.0238	abund	0.0238	0.2407	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Agathobaculum faecihominis_A	Agathobaculum faecihominis	species	0.0003	abund	0.0003	0.0034	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Agathobaculum intestinigallinarum	Agathobaculum intestinigallinarum	species	0.0111	abund	0.0111	0.0645	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Agathobaculum pullistercoris	Agathobaculum pullistercoris	species	0.0104	abund	0.0104	0.0589	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Alangreenwoodia sp905206455	Alangreenwoodia sp905206455	species	0.0005	abund	0.0005	0.0031	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Alistipes intestinigallinarum	Alistipes intestinigallinarum	species	0.0012	abund	0.0012	0.0085	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Alistipes sp900541585	Alistipes sp900541585	species	0.0053	abund	0.0053	0.0448	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
0	0	Allochristensenella sp019415425	Allochristensenella sp019415425	species	0.0001	abund	0.0001	0.0006	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	default	sylph_default
