taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
194	194	Campylobacter	Campylobacter	genus	0.0109	abund	0.0109	0.0059	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
286	286	Pseudomonas	Pseudomonas	genus	0.0004	abund	0.0004	0.001	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
544	544	Citrobacter	Citrobacter	genus	0.0142	abund	0.0142	0.0226	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
547	547	Enterobacter	Enterobacter	genus	0.0167	abund	0.0167	0.0252	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
561	561	Escherichia	Escherichia	genus	0.2475	abund	0.2475	0.4082	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
570	570	Klebsiella	Klebsiella	genus	0.0058	abund	0.0058	0.0096	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
816	816	Bacteroides	Bacteroides	genus	13.136799999999996	abund	13.136799999999996	21.0861	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
838	838	Prevotella	Prevotella	genus	0.0122	abund	0.0122	0.0113	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
841	841	Roseburia	Roseburia	genus	0.1808	abund	0.1808	0.2212999999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
846	846	Oxalobacter	Oxalobacter	genus	0.1074	abund	0.1074	0.0832	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
872	872	Desulfovibrio	Desulfovibrio	genus	6.8275	abund	6.8275	7.96	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1263	1263	Ruminococcus	Ruminococcus	genus	0.022	abund	0.022	0.0219	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
