taxid_raw	taxid	name_raw	name	rank	value	value_type	tax_abund_raw	seq_abund_raw	sample_id	sample_id_core	assay	tool	db_mode	tool_db
287	287	Pseudomonas aeruginosa	Pseudomonas aeruginosa	species	0.0004	abund	0.0004	0.001	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
562	562	Escherichia coli	Escherichia coli	species	0.2475	abund	0.2475	0.4082	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
573	573	Klebsiella pneumoniae	Klebsiella pneumoniae	species	0.0058	abund	0.0058	0.0096	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
817	817	Bacteroides fragilis	Bacteroides fragilis	species	1.2024	abund	1.2024	1.9484	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
818	818	Bacteroides thetaiotaomicron	Bacteroides thetaiotaomicron	species	1.7549	abund	1.7549	3.54	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
820	820	Bacteroides uniformis	Bacteroides uniformis	species	8.3194	abund	8.3194	12.4583	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
821	821	Phocaeicola vulgatus	Phocaeicola vulgatus	species	0.7149	abund	0.7149	1.1927	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
823	823	Parabacteroides distasonis	Parabacteroides distasonis	species	0.8774	abund	0.8774	1.4325	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
847	847	Oxalobacter formigenes	Oxalobacter formigenes	species	0.1074	abund	0.1074	0.0832	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
876	876	Desulfovibrio desulfuricans	Desulfovibrio desulfuricans	species	0.003	abund	0.003	0.0032	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1304	1304	Streptococcus salivarius	Streptococcus salivarius	species	0.0158	abund	0.0158	0.0113	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1308	1308	Streptococcus thermophilus	Streptococcus thermophilus	species	0.005	abund	0.005	0.0029	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1318	1318	Streptococcus parasanguinis	Streptococcus parasanguinis	species	0.0021	abund	0.0021	0.0014	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1328	1328	Streptococcus anginosus	Streptococcus anginosus	species	0.0022	abund	0.0022	0.0014	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1343	1343	Streptococcus vestibularis	Streptococcus vestibularis	species	0.0585	abund	0.0585	0.036	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1502	1502	Clostridium perfringens	Clostridium perfringens	species	0.0004	abund	0.0004	0.0004	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1512	1512	[Clostridium] symbiosum	[Clostridium] symbiosum	species	0.0232	abund	0.0232	0.0388	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1522	1522	[Clostridium] innocuum	[Clostridium] innocuum	species	0.0136	abund	0.0136	0.0209999999999999	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1547	1547	Thomasclavelia ramosa	Thomasclavelia ramosa	species	0.1029	abund	0.1029	0.1053	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1623	1623	Ligilactobacillus ruminis	Ligilactobacillus ruminis	species	0.0032	abund	0.0032	0.0022	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1655	1655	Actinomyces naeslundii	Actinomyces naeslundii	species	0.0019	abund	0.0019	0.0019	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
1744	1744	Propionibacterium freudenreichii	Propionibacterium freudenreichii	species	0.0081	abund	0.0081	0.0067	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
2173	2173	Methanobrevibacter smithii	Methanobrevibacter smithii	species	3.1848	abund	3.1848	1.7979	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
28116	28116	Bacteroides ovatus	Bacteroides ovatus	species	0.1516	abund	0.1516	0.3366	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
28117	28117	Alistipes putredinis	Alistipes putredinis	species	1.5924	abund	1.5924	1.2929	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
28118	28118	Odoribacter splanchnicus	Odoribacter splanchnicus	species	0.1876	abund	0.1876	0.2598	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
28128	28128	Prevotella corporis	Prevotella corporis	species	0.0122	abund	0.0122	0.0113	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
29347	29347	[Clostridium] scindens	[Clostridium] scindens	species	0.2916999999999999	abund	0.2916999999999999	0.3529	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
29466	29466	Veillonella parvula	Veillonella parvula	species	0.0079	abund	0.0079	0.0054	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
33039	33039	[Ruminococcus] torques	[Ruminococcus] torques	species	0.2485	abund	0.2485	0.219	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
39485	39485	Lachnospira eligens	Lachnospira eligens	species	0.2953	abund	0.2953	0.2581	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
39491	39491	Agathobacter rectalis	Agathobacter rectalis	species	0.0608	abund	0.0608	0.0641	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
40520	40520	Blautia obeum	Blautia obeum	species	0.0577	abund	0.0577	0.0683	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
43675	43675	Rothia mucilaginosa	Rothia mucilaginosa	species	0.0162	abund	0.0162	0.0117	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
44742	44742	Desulfovibrio fairfieldensis	Desulfovibrio fairfieldensis	species	6.8245	abund	6.8245	7.9568	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
46503	46503	Parabacteroides merdae	Parabacteroides merdae	species	2.0474	abund	2.0474	2.8236	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
47671	47671	Lautropia mirabilis	Lautropia mirabilis	species	0.0009	abund	0.0009	0.0009	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
47678	47678	Bacteroides caccae	Bacteroides caccae	species	1.2349	abund	1.2349	1.7791	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
74426	74426	Collinsella aerofaciens	Collinsella aerofaciens	species	0.3547	abund	0.3547	0.2532	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
76517	76517	Campylobacter hominis	Campylobacter hominis	species	0.0109	abund	0.0109	0.0059	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
84112	84112	Eggerthella lenta	Eggerthella lenta	species	0.0105	abund	0.0105	0.0108	DYN_0004_D10.fastq	DYN_0004_D10	pacbio	sylph	unified	sylph_unified
