rank,name,taxid,abundance
species,Campylobacter concisus,199,
species,Haemophilus haemolyticus,726,
species,Haemophilus influenzae,727,
species,Haemophilus parainfluenzae,729,
species,Aggregatibacter aphrophilus,732,
species,Haemophilus parahaemolyticus,735,
species,Bacteroides thetaiotaomicron,818,
species,Bacteroides uniformis,820,
species,Phocaeicola vulgatus ATCC 8482,821,
species,Parabacteroides distasonis,823,
species,Fusobacterium nucleatum subsp. nucleatum ATCC 25586,851,
species,Faecalibacterium prausnitzii,853,
species,Pediococcus pentosaceus ATCC 25745,1255,
species,Streptococcus gordonii,1302,
species,Streptococcus oralis,1303,
species,Streptococcus salivarius JIM8777,1304,
species,Streptococcus sanguinis,1305,
species,Streptococcus thermophilus,1308,
species,Streptococcus parasanguinis ATCC 15912,1318,
species,Streptococcus anginosus,1328,
species,Streptococcus intermedius,1338,
species,Streptococcus vestibularis,1343,
species,[Clostridium] innocuum,1522,
species,Levilactobacillus brevis,1580,
species,Lactiplantibacillus plantarum,1590,
species,Lacticaseibacillus paracasei subsp. paracasei 8700:2,1597,
species,Actinomyces naeslundii,1655,
species,Schaalia odontolytica,1660,
species,Bifidobacterium adolescentis ATCC 15703,1680,
species,Rothia dentocariosa ATCC 17931,2047,
species,Gardnerella vaginalis ATCC 14018 = JCM 11026,2702,
species,Streptococcus mitis,28037,
species,Bacteroides eggerthii strain DSM 20697,28111,
species,Bacteroides ovatus,28116,
species,Alistipes putredinis,28117,
species,Odoribacter splanchnicus,28118,
species,Prevotella bivia,28125,
species,Prevotella corporis,28128,
species,Veillonella parvula,29466,
species,Peptoniphilus lacrimalis,33031,
species,[Ruminococcus] torques,33039,
species,Lachnospira eligens ATCC 27750,39485,
species,Dorea formicigenerans,39486,
species,Anaerobutyricum hallii,39488,
species,Eubacterium ramulus,39490,
species,Agathobacter rectalis,39491,
species,Eubacterium ventriosum,39496,
species,Veillonella atypica,39777,
species,Blautia obeum ATCC 29174,40520,
species,Sutterella wadsworthensis,40545,
species,Rothia mucilaginosa,43675,
species,Eshraghiella crossota,45851,
species,Parabacteroides merdae,46503,
species,Bacteroides stercoris,46506,
species,Bacteroides caccae CL03T12C61,47678,
species,Collinsella aerofaciens,74426,
species,Eggerthella lenta,84112,
species,Gemella sanguinis,84135,
species,Dorea longicatena strain DSM 13814,88431,
species,Blautia luti,89014,
species,Streptococcus australis,113107,
species,Mogibacterium diversum,114527,
species,Coprococcus catus,116085,
species,Caloranaerobacter azorensis,116090,
species,Hungatella hathewayi,154046,
species,Turicibacter sanguinis,154288,
species,Roseburia intestinalis L1-82,166486,
species,Anaerotruncus colihominis strain DSM 17241,169435,
species,Alistipes finegoldii,214856,
species,Bifidobacterium longum subsp. longum JCM 1217,216816,
species,Haemophilus pittmaniae,249188,
species,Intestinibacter bartlettii,261299,
species,Flavonifractor plautii,292800,
species,Roseburia hominis A2-183,301301,
species,Roseburia faecis,301302,
species,Parabacteroides goldsteinii,328812,
species,Alistipes onderdonkii,328813,
species,Mediterraneibacter glycyrrhizinilyticus,342942,
species,Phocaeicola dorei,357276,
species,Bacteroides xylanisolvens,371601,
species,Parabacteroides johnsonii DSM 18315,387661,
species,Coprococcus comes ATCC 27758,410072,
species,Faecalibacterium duncaniae,411483,
species,Clostridium sp. M62/1,411486,
species,Blautia wexlerae DSM 19850,418240,
species,Veillonella rogosae,423477,
species,Paraprevotella clara,454154,
species,Barnesiella intestinihominis,487174,
species,Actinomyces oris,544580,
species,Anaerostipes hadrus,649756,
species,Bacteroides faecis,674529,
species,Olsenella sp. oral taxon 807,712411,
species,Fenollaria massiliensis,938288,
species,Coprobacter fastidiosus,1099853,
species,Ruminococcus bicirculans (ex Wegman et al. 2014),1160721,
species,Intestinimonas butyriciproducens,1297617,
species,Gordonibacter urolithinfaciens,1335613,
species,Ruthenibacterium lactatiformans,1550024,
species,Blautia massiliensis (ex Durand et al. 2017),1737424,
species,Bacteroides caecimuris,1796613,
species,Turicimonas muris,1796652,
species,Faecalibacillus intestinalis,1982626,
species,Parabacteroides sp. CT06,2025876,
species,Dysosmobacter welbionis,2093857,
species,Lawsonibacter asaccharolyticus,2108523,
species,Streptococcus koreensis,2382163,
species,Alistipes communis,2585118,
species,Streptococcus sp. LPB0220,2610896,
species,Veillonella orientalis,2682455,
species,Veillonella nakazawae,2682456,
species,Vescimonas coprocola,2714355,
species,Pusillibacter faecalis,2714358,
species,Turicibacter bilis,2735723,
species,Wansuia hejianensis,2763667,
species,Simiaoa sunii,2763672,
species,Turicibacter sp. TJ11,2806443,
species,Bacteroides sp. DH3716P,2847299,
species,Bifidobacterium sp. FKU,2922857,
species,Faecalibacterium sp. IP-1-18,2929488,
species,Faecalibacterium sp. IP-3-29,2929489,
species,Faecalibacterium sp. I2-3-92,2929490,
species,Faecalibacterium sp. I3-3-89,2929493,
species,Faecalibacterium sp. I4-1-79,2929494,
species,Faecalibacterium sp. I4-3-84,2929495,
species,Allocoprobacillus halotolerans,2944914,
species,Bifidobacterium sp. KRGSERBCFTRI,2985571,
species,Anaerocolumna sp. AGMB13020,3081750,
genus,Campylobacter,194,
genus,Haemophilus,724,
genus,Bacteroides,816,
genus,Prevotella,838,
genus,Roseburia,841,
genus,Fusobacterium,848,
genus,Pediococcus,1253,
genus,Ruminococcus,1263,
genus,Streptococcus,1301,
genus,Gemella,1378,
genus,Clostridium,1485,
genus,Actinomyces,1654,
genus,Bifidobacterium,1678,
genus,Eubacterium,1730,
genus,Gardnerella,2701,
genus,Lachnospira,28050,
genus,Veillonella,29465,
genus,Rothia,32207,
genus,Coprococcus,33042,
genus,Sutterella,40544,
genus,Eggerthella,84111,
genus,Mogibacterium,86331,
genus,Collinsella,102106,
genus,Olsenella,133925,
genus,Peptoniphilus,162289,
genus,Caloranaerobacter,171003,
genus,Dorea,189330,
genus,Turicibacter,191303,
genus,Anaerostipes,207244,
genus,Faecalibacterium,216851,
genus,Alistipes,239759,
genus,Anaerotruncus,244127,
genus,Odoribacter,283168,
genus,Parabacteroides,375288,
genus,Barnesiella,397864,
genus,Aggregatibacter,416916,
genus,Blautia,572511,
genus,Paraprevotella,577309,
genus,Gordonibacter,644652,
genus,Phocaeicola,909656,
