tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,653353,10,4
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,14,14,Dictyoglomus thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1959987,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,46,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,9139763,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,3,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,4,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,63,63,Vitreoscilla filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3787551,1,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,69,69,Lysobacter enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,12227539,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2469862,2,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,3,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,3,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,541,3
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,10,9
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,3,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,140,140,Borrelia hermsii,Borrelia hermsii,species,0.0,abund,0.0,922280,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,141,141,Borrelia parkeri,Borrelia parkeri,species,0.0,abund,0.0,1030684,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,1165365,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,143,143,Borrelia anserina,Borrelia anserina,species,0.0,abund,0.0,1042690,1,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128014,154,154,Spirochaeta thermophila,Spirochaeta thermophila,species,0.0,abund,0.0,2472645,33,0
