tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5369772,89,60
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,602805,308,171
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,11,11,Cellulomonas gilvus,Cellulomonas gilvus,species,0.0,abund,0.0,3526441,11,5
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,14,14,Dictyoglomus thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1959987,44,28
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,19,19,Pelobacter carbinolicus,Pelobacter carbinolicus,species,0.0,abund,0.0,3665893,52,25
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,4749735,120,24
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,34,34,Myxococcus xanthus,Myxococcus xanthus,species,0.0,abund,0.0,9139763,159,16
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,8973512,77,30
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,41,41,Stigmatella aurantiaca,Stigmatella aurantiaca,species,0.0,abund,0.0,10260756,78,49
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,43,43,Cystobacter fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12349744,69,43
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12489432,84,47
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,52,52,Chondromyces crocatus,Chondromyces crocatus,species,0.0,abund,0.0,11388132,37,26
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,56,56,Sorangium cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,13907952,232,91
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,63,63,Vitreoscilla filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3787551,48,32
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,69,69,Lysobacter enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,12227539,68,23
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,72,72,Simonsiella muelleri,Simonsiella muelleri,species,0.0,abund,0.0,2469862,11,9
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,94,94,Stella humosa,Stella humosa,species,0.0,abund,0.0,5832650,38,15
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,104,104,Cyclobacterium marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6221273,116,89
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,114,114,Gemmata obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,17998094,69,42
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,119,119,Rubinisphaera brasiliensis,Rubinisphaera brasiliensis,species,0.0,abund,0.0,6006602,36,27
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,120,120,Planctopirus limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5460085,27,19
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,122,122,Gimesia maris,Gimesia maris,species,0.0,abund,0.0,15634937,85,34
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,125,125,Pirellula staleyi,Pirellula staleyi,species,0.0,abund,0.0,6196199,10,4
Centrifuge,default,Centrifuge_default,simulated,simulated,ont,sim_ont,128,128,Isosphaera pallida,Isosphaera pallida,species,0.0,abund,0.0,5529304,41,25
