tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,8303437,248,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,671716,4,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,24,24,Shewanella putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,9529437,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,35,35,Corallococcus macrosporus,Corallococcus macrosporus,species,0.0,abund,0.0,7510222,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,72,72,Simonsiella muelleri,Simonsiella muelleri,species,3.43348e-64,abund,3.43348e-66,17308306,42,10
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,2,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,142,142,Borrelia turicatae,Borrelia turicatae,species,0.0,abund,0.0,2713451,7,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,144,144,Borrelia coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,10061818,2,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,158,158,Treponema denticola,Treponema denticola,species,0.0,abund,0.0,2160782,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,16619061,8,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,160,160,Treponema pallidum,Treponema pallidum,species,0.000265322,abund,2.65322e-06,16190847,3946,1362
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,162,162,Treponema phagedenis,Treponema phagedenis,species,0.0,abund,0.0,68863425,13,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,163,163,Treponema bryantii,Treponema bryantii,species,0.0,abund,0.0,9521342,8,4
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,173,173,Leptospira interrogans,Leptospira interrogans,species,4.37396605e-53,abund,4.3739660500000004e-55,12550552,897,42
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,174,174,Leptospira borgpetersenii,Leptospira borgpetersenii,species,0.0,abund,0.0,16082397,33,14
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,192,192,Azospirillum brasilense,Azospirillum brasilense,species,0.0,abund,0.0,107686873,9,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,193,193,Azospirillum lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,39434868,4,2
