tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.0819219,abund,0.000819219,8303437,7519,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,653824,36,25
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,19,19,Syntrophotalea carbinolica,Syntrophotalea carbinolica,species,2.8592000000000003e-47,abund,2.8592e-49,8894228,391,11
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,48,48,Archangium gephyra,Archangium gephyra,species,0.0,abund,0.0,12315414,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,61,61,Vitreoscilla stercoraria,Vitreoscilla stercoraria,species,0.0,abund,0.0,32044121,1,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,134,134,Methylocystis parvus,Methylocystis parvus,species,2.0661099999999997e-55,abund,2.06611e-57,47685817,5,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,11,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,140,140,Borrelia hermsii,Borrelia hermsii,species,0.0,abund,0.0,4426982,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,141,141,Borrelia parkeri,Borrelia parkeri,species,0.0,abund,0.0,3973904,3,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,142,142,Borrelia turicatae,Borrelia turicatae,species,0.00047675599999999995,abund,4.76756e-06,2713451,462,100
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,144,144,Borrelia coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,10061818,10,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,158,158,Treponema denticola,Treponema denticola,species,0.273883,abund,0.00273883,2160782,5105,4989
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,9465339,3,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,160,160,Treponema pallidum,Treponema pallidum,species,4.7624199999999994e-91,abund,4.76242e-93,166097296,95,67
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,162,162,Treponema phagedenis,Treponema phagedenis,species,0.0,abund,0.0,68863425,28,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,163,163,Treponema bryantii,Treponema bryantii,species,4.82294e-23,abund,4.82294e-25,9521342,125,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,165,165,Treponema saccharophilum,Treponema saccharophilum,species,0.0,abund,0.0,32965636,2,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,167,167,Treponema succinifaciens,Treponema succinifaciens,species,0.0,abund,0.0,7494576,3,1
Centrifuge,unified,Centrifuge_unified,simulated,simulated,ont,sim_ont,173,173,Leptospira interrogans,Leptospira interrogans,species,0.11255799999999999,abund,0.00112558,12550552,16431,13399
