tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,7,7,Azorhizobium caulinodans,Azorhizobium caulinodans,species,0.11439899999999999,abund,0.00114399,8303437,3997,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,9,9,Buchnera aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,642929,25,14
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,19,19,Syntrophotalea carbinolica,Syntrophotalea carbinolica,species,6.94059e-62,abund,6.94059e-64,8894228,90,7
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,139,139,Borreliella burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,4320408,4,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,142,142,Borrelia turicatae,Borrelia turicatae,species,1.2442199999999998e-50,abund,1.2442199999999998e-52,2713451,74,57
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,144,144,Borrelia coriaceae,Borrelia coriaceae,species,0.0,abund,0.0,10061818,21,2
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,158,158,Treponema denticola,Treponema denticola,species,0.31465400000000004,abund,0.00314654,2160782,2597,2597
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,159,159,Brachyspira hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,9465339,1,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,160,160,Treponema pallidum,Treponema pallidum,species,0.0,abund,0.0,166097296,50,39
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,162,162,Treponema phagedenis,Treponema phagedenis,species,0.0,abund,0.0,68863425,4,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,163,163,Treponema bryantii,Treponema bryantii,species,1.4071e-48,abund,1.4070999999999998e-50,9521342,9,0
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,173,173,Leptospira interrogans,Leptospira interrogans,species,0.1313979,abund,0.001313979,12550552,9174,6968
Centrifuge,unified,Centrifuge_unified,simulated,simulated,pacbio,sim_pacbio,174,174,Leptospira borgpetersenii,Leptospira borgpetersenii,species,0.0331631,abund,0.000331631,16082397,2160,1150
