tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,487923,38,18,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,14,14,Dictyoglomus_thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1903176,1,1,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,34,34,Myxococcus_xanthus,Myxococcus xanthus,species,0.0,abund,0.0,24468179,1,1,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,48,48,Archangium_gephyra,Archangium gephyra,species,0.0,abund,0.0,12349166,1,1,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,56,56,Sorangium_cellulosum,Sorangium cellulosum,species,0.0,abund,0.0,17333149,1,1,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,69,69,Lysobacter_enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,11220614,3,3,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,104,104,Cyclobacterium_marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6121867,2,2,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,106,106,Runella_slithyformis,Runella slithyformis,species,0.0,abund,0.0,6638891,7,7,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,114,114,Gemmata_obscuriglobus,Gemmata obscuriglobus,species,0.0,abund,0.0,8869928,6,6,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,125,125,Pirellula_staleyi,Pirellula staleyi,species,0.0,abund,0.0,6186367,1,1,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,139,139,Borreliella_burgdorferi,Borreliella burgdorferi,species,0.0,abund,0.0,1493728,4,0,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,140,140,Borrelia_hermsii,Borrelia hermsii,species,0.0,abund,0.0,1168923,4,2,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,141,141,Borrelia_parkeri,Borrelia parkeri,species,0.0,abund,0.0,1165943,3,3,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,142,142,Borrelia_turicatae,Borrelia turicatae,species,0.0,abund,0.0,1474721,2,0,species
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,143,143,Borrelia_anserina,Borrelia anserina,species,0.0,abund,0.0,912063,1,0,species
