tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,7,7,Azorhizobium_caulinodans,Azorhizobium caulinodans,species,0.0,abund,0.0,5316790,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,487923,52,18,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,14,14,Dictyoglomus_thermophilum,Dictyoglomus thermophilum,species,0.0,abund,0.0,1903176,8,8,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,19,19,Syntrophotalea_carbinolica,Syntrophotalea carbinolica,species,0.0,abund,0.0,3648065,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,24,24,Shewanella_putrefaciens,Shewanella putrefaciens,species,0.0,abund,0.0,9412355,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,34,34,Myxococcus_xanthus,Myxococcus xanthus,species,0.0,abund,0.0,24468179,1,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,43,43,Cystobacter_fuscus,Cystobacter fuscus,species,0.0,abund,0.0,12216880,5,5,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,48,48,Archangium_gephyra,Archangium gephyra,species,0.0,abund,0.0,12349166,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,63,63,Vitreoscilla_filiformis,Vitreoscilla filiformis,species,0.0,abund,0.0,3767175,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,69,69,Lysobacter_enzymogenes,Lysobacter enzymogenes,species,0.0,abund,0.0,11220614,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,104,104,Cyclobacterium_marinum,Cyclobacterium marinum,species,0.0,abund,0.0,6121867,19,19,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,106,106,Runella_slithyformis,Runella slithyformis,species,0.0,abund,0.0,6638891,10,10,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,120,120,Planctopirus_limnophila,Planctopirus limnophila,species,0.0,abund,0.0,5451312,9,9,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,122,122,Gimesia_maris,Gimesia maris,species,0.0,abund,0.0,7791598,1,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,134,134,Methylocystis_parvus,Methylocystis parvus,species,0.0,abund,0.0,4453638,6,6,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,158,158,Treponema_denticola,Treponema denticola,species,0.0,abund,0.0,5434457,48,40,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,159,159,Brachyspira_hyodysenteriae,Brachyspira hyodysenteriae,species,0.0,abund,0.0,5275684,43,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,162,162,Treponema_phagedenis,Treponema phagedenis,species,0.0,abund,0.0,13243312,6,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,167,167,Treponema_succinifaciens,Treponema succinifaciens,species,0.0,abund,0.0,2792878,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,172,172,Leptospira_biflexa,Leptospira biflexa,species,0.0,abund,0.0,3514958,7,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,173,173,Leptospira_interrogans,Leptospira interrogans,species,0.0,abund,0.0,7213989,36,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,174,174,Leptospira_borgpetersenii,Leptospira borgpetersenii,species,0.0,abund,0.0,12816476,10,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,193,193,Azospirillum_lipoferum,Azospirillum lipoferum,species,0.0,abund,0.0,4066570,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,195,195,Campylobacter_coli,Campylobacter coli,species,0.0,abund,0.0,2998663,40,32,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,196,196,Campylobacter_fetus,Campylobacter fetus,species,0.0,abund,0.0,2979227,37,21,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,197,197,Campylobacter_jejuni,Campylobacter jejuni,species,0.0,abund,0.0,3360036,4,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,198,198,Campylobacter_hyointestinalis,Campylobacter hyointestinalis,species,0.0,abund,0.0,1668200,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter_concisus,Campylobacter concisus,species,0.012740000000000001,abund,0.0001274,5573110,5516,5507,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,200,200,Campylobacter_curvus,Campylobacter curvus,species,0.0,abund,0.0,1938585,5,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,201,201,Campylobacter_lari,Campylobacter lari,species,0.0,abund,0.0,1426313,2,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,206,206,Campylobacter_sputorum,Campylobacter sputorum,species,0.0,abund,0.0,1564776,1,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,210,210,Helicobacter_pylori,Helicobacter pylori,species,0.0,abund,0.0,2727064,14,9,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,213,213,Helicobacter_cinaedi,Helicobacter cinaedi,species,0.0,abund,0.0,2853066,8,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,214,214,Helicobacter_felis,Helicobacter felis,species,0.0,abund,0.0,1654137,1,1,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,227,227,Pseudoalteromonas_carrageenovora,Pseudoalteromonas carrageenovora,species,0.0,abund,0.0,4548410,3,3,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,238,238,Elizabethkingia_meningoseptica,Elizabethkingia meningoseptica,species,0.0,abund,0.0,3989186,13,0,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,246,246,Chryseobacterium_balustinum,Chryseobacterium balustinum,species,0.0,abund,0.0,4787482,4,4,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,247,247,Empedobacter_brevis,Empedobacter brevis,species,0.0,abund,0.0,3672495,7,6,species
Centrifuger,default,Centrifuger_default,simulated,simulated,pacbio,sim_pacbio,250,250,Chryseobacterium_gleum,Chryseobacterium gleum,species,0.0,abund,0.0,5473996,11,11,species
