tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,596134,2,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,200,200,Campylobacter_curvus,Campylobacter curvus,species,0.0,abund,0.0,1973094,5,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,287,287,Pseudomonas_aeruginosa,Pseudomonas aeruginosa,species,0.0,abund,0.0,20861276,26,19,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,303,303,Pseudomonas_putida,Pseudomonas putida,species,0.00105,abund,1.05e-05,8263216,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,470,470,Acinetobacter_baumannii,Acinetobacter baumannii,species,0.0,abund,0.0,11661057,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,546,546,Citrobacter_freundii,Citrobacter freundii,species,0.0,abund,0.0,21102308,5,5,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,548,548,Klebsiella_aerogenes,Klebsiella aerogenes,species,0.0,abund,0.0,28712499,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,549,549,Pantoea_agglomerans,Pantoea agglomerans,species,0.0,abund,0.0,20166640,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,550,550,Enterobacter_cloacae,Enterobacter cloacae,species,0.0,abund,0.0,11672214,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,562,562,Escherichia_coli,Escherichia coli,species,8.759780000000001,abund,0.0875978,7472123,55346,40100,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,564,564,Escherichia_fergusonii,Escherichia fergusonii,species,0.0,abund,0.0,18076621,17,15,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,571,571,Klebsiella_oxytoca,Klebsiella oxytoca,species,0.0,abund,0.0,12342764,4,3,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,573,573,Klebsiella_pneumoniae,Klebsiella pneumoniae,species,0.01687,abund,0.0001687,14868525,255,183,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,582,582,Morganella_morganii,Morganella morganii,species,0.0,abund,0.0,18790342,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,621,621,Shigella_boydii,Shigella boydii,species,0.00196,abund,1.96e-05,8007425,66,65,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,622,622,Shigella_dysenteriae,Shigella dysenteriae,species,0.0,abund,0.0,14441356,24,22,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,623,623,Shigella_flexneri,Shigella flexneri,species,0.023010000000000003,abund,0.0002301,7466647,416,412,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,624,624,Shigella_sonnei,Shigella sonnei,species,0.0,abund,0.0,21371158,62,60,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,638,638,Arsenophonus_nasoniae,Arsenophonus nasoniae,species,0.0,abund,0.0,18858615,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,729,729,Haemophilus_parainfluenzae,Haemophilus parainfluenzae,species,0.0,abund,0.0,8815138,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,803,803,Bartonella_quintana,Bartonella quintana,species,0.0,abund,0.0,3690446,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,817,817,Bacteroides_fragilis,Bacteroides fragilis,species,12.25107,abund,0.1225107,10652239,67737,63821,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,818,818,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.00114,abund,1.14e-05,32028362,69,61,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,820,820,Bacteroides_uniformis,Bacteroides uniformis,species,0.01789,abund,0.0001789,7730875,105,55,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,821,821,Phocaeicola_vulgatus,Phocaeicola vulgatus,species,0.02312,abund,0.0002312,10114784,117,58,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,823,823,Parabacteroides_distasonis,Parabacteroides distasonis,species,0.04475,abund,0.0004475,5279052,117,46,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,851,851,Fusobacterium_nucleatum,Fusobacterium nucleatum,species,6.2584,abund,0.062584,4887871,14335,14324,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,6.801830000000001,abund,0.0680183,8991799,33178,32362,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1313,1313,Streptococcus_pneumoniae,Streptococcus pneumoniae,species,0.0,abund,0.0,3888167,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1322,1322,Blautia_hansenii,Blautia hansenii,species,0.0,abund,0.0,2913538,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1351,1351,Enterococcus_faecalis,Enterococcus faecalis,species,0.00408,abund,4.08e-05,8906089,4,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1352,1352,Enterococcus_faecium,Enterococcus faecium,species,0.0,abund,0.0,14384922,10,10,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1353,1353,Enterococcus_gallinarum,Enterococcus gallinarum,species,0.0,abund,0.0,3792603,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1396,1396,Bacillus_cereus,Bacillus cereus,species,0.0,abund,0.0,9578738,5,5,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1428,1428,Bacillus_thuringiensis,Bacillus thuringiensis,species,0.0,abund,0.0,7588830,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1465,1465,Brevibacillus_laterosporus,Brevibacillus laterosporus,species,0.0,abund,0.0,5420250,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1491,1491,Clostridium_botulinum,Clostridium botulinum,species,0.0,abund,0.0,5267493,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1496,1496,Clostridioides_difficile,Clostridioides difficile,species,1.23199,abund,0.0123199,16267201,5824,2168,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1502,1502,Clostridium_perfringens,Clostridium perfringens,species,0.0,abund,0.0,18735296,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1509,1509,Clostridium_sporogenes,Clostridium sporogenes,species,0.0,abund,0.0,8745252,2,2,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1512,1512,[Clostridium]_symbiosum,[Clostridium]_symbiosum,species,0.0,abund,0.0,5299950,4,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1522,1522,[Clostridium]_innocuum,[Clostridium]_innocuum,species,0.0038000000000000004,abund,3.8e-05,9008608,17,6,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1529,1529,Clostridium_cadaveris,Clostridium cadaveris,species,0.0,abund,0.0,3625784,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1531,1531,Enterocloster_clostridioformis,Enterocloster clostridioformis,species,0.0,abund,0.0,5832416,22,13,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1547,1547,Thomasclavelia_ramosa,Thomasclavelia ramosa,species,0.0,abund,0.0,5368158,1,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1590,1590,Lactiplantibacillus_plantarum,Lactiplantibacillus plantarum,species,0.0,abund,0.0,4972210,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1597,1597,Lacticaseibacillus_paracasei,Lacticaseibacillus paracasei,species,0.0,abund,0.0,6162391,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1613,1613,Limosilactobacillus_fermentum,Limosilactobacillus fermentum,species,13.49803,abund,0.1349803,3299272,14962,4482,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1639,1639,Listeria_monocytogenes,Listeria monocytogenes,species,0.0,abund,0.0,5632341,2,0,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1661,1661,Trueperella_pyogenes,Trueperella pyogenes,species,0.0,abund,0.0,45774791,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1680,1680,Bifidobacterium_adolescentis,Bifidobacterium adolescentis,species,0.26731,abund,0.0026731,2291036,240,12,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1773,1773,Mycobacterium_tuberculosis,Mycobacterium tuberculosis,species,0.0,abund,0.0,7026288,51,51,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2106,2106,Mycoplasma_corogypsi,Mycoplasma corogypsi,species,0.0,abund,0.0,862285,1,1,species
Centrifuger,unified,Centrifuger_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2173,2173,Methanobrevibacter_smithii,Methanobrevibacter smithii,species,0.1725,abund,0.001725,2717734,135,0,species
