tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,genomeSize,numReads,numUniqueReads,taxRank_raw
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,9,9,Buchnera_aphidicola,Buchnera aphidicola,species,0.0,abund,0.0,596134,9,6,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,167,167,Treponema_succinifaciens,Treponema succinifaciens,species,0.0,abund,0.0,2897425,3,3,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,173,173,Leptospira_interrogans,Leptospira interrogans,species,0.0,abund,0.0,7255679,10,2,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter_concisus,Campylobacter concisus,species,0.29762,abund,0.0029762,5760548,5502,5502,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,259,259,Sphingobacterium_thalpophilum,Sphingobacterium thalpophilum,species,0.0,abund,0.0,5962893,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,303,303,Pseudomonas_putida,Pseudomonas putida,species,0.0,abund,0.0,8263216,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,317,317,Pseudomonas_syringae,Pseudomonas syringae,species,0.0,abund,0.0,6594800,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,380,380,Sinorhizobium_fredii,Sinorhizobium fredii,species,0.0,abund,0.0,6778698,4,4,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,500,500,Thermomicrobium_roseum,Thermomicrobium roseum,species,0.0,abund,0.0,2003004,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,504,504,Kingella_kingae,Kingella kingae,species,0.0,abund,0.0,4076991,1,0,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus_haemolyticus,Haemophilus haemolyticus,species,0.8507199999999999,abund,0.0085072,1973061,5812,5812,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus_influenzae,Haemophilus influenzae,species,0.31762,abund,0.0031762,5511813,5700,1741,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus_parainfluenzae,Haemophilus parainfluenzae,species,0.23828999999999997,abund,0.0023829,8815138,6456,240,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter_aphrophilus,Aggregatibacter aphrophilus,species,0.90007,abund,0.0090007,2354945,7032,7029,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus_parahaemolyticus,Haemophilus parahaemolyticus,species,0.87419,abund,0.0087419,2093459,6294,630,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,817,817,Bacteroides_fragilis,Bacteroides fragilis,species,0.00030000000000000003,abund,3e-06,10652239,40,38,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides_thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.19941,abund,0.0019941,32028362,18654,2172,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides_uniformis,Bacteroides uniformis,species,0.6117400000000001,abund,0.0061174,7730875,14014,1159,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola_vulgatus,Phocaeicola vulgatus,species,0.50424,abund,0.0050424,10114784,15421,1900,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides_distasonis,Parabacteroides distasonis,species,1.1044500000000002,abund,0.0110445,5279052,17047,16792,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,831,831,Butyrivibrio_fibrisolvens,Butyrivibrio fibrisolvens,species,0.0,abund,0.0,4934336,7,7,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,849,849,Fusobacterium_gonidiaformans,Fusobacterium gonidiaformans,species,0.0,abund,0.0,1678881,2,2,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium_nucleatum,Fusobacterium nucleatum,species,0.72053,abund,0.0072053,4887871,1107,944,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,0.32534,abund,0.0032534,8991799,8752,8723,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,859,859,Fusobacterium_necrophorum,Fusobacterium necrophorum,species,0.0,abund,0.0,2230525,1,1,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,971,971,Selenomonas_ruminantium,Selenomonas ruminantium,species,0.0,abund,0.0,3222355,11,11,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1054,1054,Ectothiorhodospira_shaposhnikovii,Ectothiorhodospira shaposhnikovii,species,0.0,abund,0.0,3440079,15,15,species
Centrifuger,unified,Centrifuger_unified,simulated,simulated,pacbio,sim_pacbio,1219,1219,Prochlorococcus_marinus,Prochlorococcus marinus,species,0.0,abund,0.0,1886548,24,6,species
