tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,199,199,Campylobacter concisus,Campylobacter concisus,species,0.72594,abund,0.72594,199,1||29547|3031852|213849|72294|194|199,5502,0,0,5502
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.79481,abund,0.79481,726,1||1224|1236|135625|712|724|726,5812,0,0,5812
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.81022,abund,0.81022,727,1||1224|1236|135625|712|724|727,5700,0,0,5700
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.81984,abund,0.81984,729,1||1224|1236|135625|712|724|729,6456,0,0,6456
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.79615,abund,0.79615,732,1||1224|1236|135625|712|416916|732,7032,0,0,7032
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.78741,abund,0.78741,735,1||1224|1236|135625|712|724|735,6294,0,0,6294
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00578,abund,0.00578,817,1||976|200643|171549|815|816|817,116,0,0,116
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.78605,abund,0.78605,818,1||976|200643|171549|815|816|818,19368,0,0,19368
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.73435,abund,0.73435,820,1||976|200643|171549|815|816|820,13625,0,0,13625
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.80697,abund,0.80697,821,1||976|200643|171549|815|909656|821,15964,0,0,15964
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.51905,abund,1.51905,823,1||976|200643|171549|2005525|375288|823,30001,0,0,30001
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.78403,abund,0.78403,851,1||32066|203490|203491|203492|848|851,6541,0,0,6541
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,0.93511,abund,0.93511,853,1||1239|186801|186802|216572|216851|853,10802,0,0,10802
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,907,907,Megasphaera elsdenii,Megasphaera elsdenii,species,0.00011,abund,0.00011,907,1||1239|909932|1843489|31977|906|907,1,0,0,1
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.79025,abund,0.79025,1255,1||1239|91061|186826|33958|1253|1255,5503,0,0,5503
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.78491,abund,0.78491,1302,1||1239|91061|186826|1300|1301|1302,6595,0,0,6595
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.7217,abund,0.7217,1303,1||1239|91061|186826|1300|1301|1303,5773,0,0,5773
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.79384,abund,0.79384,1304,1||1239|91061|186826|1300|1301|1304,6631,0,0,6631
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.76872,abund,0.76872,1305,1||1239|91061|186826|1300|1301|1305,6936,0,0,6936
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1307,1307,Streptococcus suis,Streptococcus suis,species,0.00207,abund,0.00207,1307,1||1239|91061|186826|1300|1301|1307,17,0,0,17
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.77887,abund,0.77887,1308,1||1239|91061|186826|1300|1301|1308,5375,0,0,5375
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.79371,abund,0.79371,1318,1||1239|91061|186826|1300|1301|1318,6478,0,0,6478
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1322,1322,Blautia hansenii,Blautia hansenii,species,0.01324,abund,0.01324,1322,1||1239|186801|3085636|186803|572511|1322,155,0,0,155
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.77027,abund,0.77027,1328,1||1239|91061|186826|1300|1301|1328,5881,0,0,5881
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.78295,abund,0.78295,1338,1||1239|91061|186826|1300|1301|1338,5815,0,0,5815
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.79032,abund,0.79032,1343,1||1239|91061|186826|1300|1301|1343,5817,0,0,5817
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00036,abund,0.00036,1351,1||1239|91061|186826|81852|1350|1351,4,0,0,4
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1352,1352,Enterococcus faecium,Enterococcus faecium,species,9e-05,abund,9e-05,1352,1||1239|91061|186826|81852|1350|1352,1,0,0,1
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.01191,abund,0.01191,1496,1||1239|186801|3082720|186804|1870884|1496,164,0,0,164
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.12792,abund,1.12792,1522,1||1239|186801|186802|31979|1485|1522,14212,0,0,14212
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.77544,abund,0.77544,1580,1||1239|91061|186826|33958|2767886|1580,7427,0,0,7427
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.76889,abund,0.76889,1590,1||1239|91061|186826|33958|2767842|1590,9646,0,0,9646
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.76428,abund,0.76428,1597,1||1239|91061|186826|33958|2759736|1597,8846,0,0,8846
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.7874,abund,0.7874,1655,1||201174|1760|2037|2049|1654|1655,9449,0,0,9449
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.80073,abund,0.80073,1660,1||201174|1760|2037|2049|2529408|1660,7367,0,0,7367
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1.25364,abund,1.25364,1680,1||201174|1760|85004|31953|1678|1680,10640,0,0,10640
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.7917,abund,0.7917,2047,1||201174|1760|85006|1268|32207|2047,7528,0,0,7528
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,2702,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.79326,abund,0.79326,2702,1||201174|1760|85004|31953|2701|2702,5026,0,0,5026
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28025,28025,Bifidobacterium animalis,Bifidobacterium animalis,species,0.76322,abund,0.76322,28025,1||201174|1760|85004|31953|1678|28025,5619,0,0,5619
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28037,28037,Streptococcus mitis,Streptococcus mitis,species,0.71582,abund,0.71582,28037,1||1239|91061|186826|1300|1301|28037,5726,0,0,5726
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.80436,abund,0.80436,28111,1||976|200643|171549|815|816|28111,12216,0,0,12216
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,1.48733,abund,1.48733,28116,1||976|200643|171549|815|816|28116,38168,0,0,38168
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.75542,abund,0.75542,28117,1||976|200643|171549|171550|239759|28117,7596,0,0,7596
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.75178,abund,0.75178,28118,1||976|200643|171549|1853231|283168|28118,13170,0,0,13170
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28125,28125,Prevotella bivia,Prevotella bivia,species,0.75667,abund,0.75667,28125,1||976|200643|171549|171552|838|28125,7291,0,0,7291
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,28128,28128,Prevotella corporis,Prevotella corporis,species,0.80417,abund,0.80417,28128,1||976|200643|171549|171552|838|28128,8666,0,0,8666
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,29347,29347,[Clostridium] scindens,[Clostridium] scindens,species,0.01456,abund,0.01456,29347,1||1239|186801|3085636|186803|1506553|29347,218,0,0,218
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,29389,29389,Streptococcus alactolyticus,Streptococcus alactolyticus,species,0.00384,abund,0.00384,29389,1||1239|91061|186826|1300|1301|29389,25,0,0,25
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,29466,29466,Veillonella parvula,Veillonella parvula,species,0.7816,abund,0.7816,29466,1||1239|909932|1843489|31977|29465|29466,6363,0,0,6363
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,33031,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.73467,abund,0.73467,33031,1||1239|1737404|1737405|1570339|162289|33031,5010,0,0,5010
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,33035,33035,Blautia producta,Blautia producta,species,0.00034,abund,0.00034,33035,1||1239|186801|3085636|186803|572511|33035,8,0,0,8
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00693,abund,0.00693,33038,1||1239|186801|3085636|186803|2316020|33038,91,0,0,91
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.80045,abund,0.80045,33039,1||1239|186801|3085636|186803|2316020|33039,8857,0,0,8857
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,39485,39485,Lachnospira eligens,Lachnospira eligens,species,0.55733,abund,0.55733,39485,1||1239|186801|3085636|186803|28050|39485,6455,0,0,6455
Ganon2,default,Ganon2_default,simulated,simulated,pacbio,sim_pacbio,39486,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.78065,abund,0.78065,39486,1||1239|186801|3085636|186803|189330|39486,9434,0,0,9434
