tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,target,lineage,num_unique,num_shared,num_children,num_cumulative
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,199,199,Campylobacter concisus,Campylobacter concisus,species,0.72996,abund,0.72996,199,1||29547|3031852|213849|72294|194|199,10709,0,0,10709
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,726,726,Haemophilus haemolyticus,Haemophilus haemolyticus,species,0.80046,abund,0.80046,726,1||1224|1236|135625|712|724|726,11330,0,0,11330
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,727,727,Haemophilus influenzae,Haemophilus influenzae,species,0.80652,abund,0.80652,727,1||1224|1236|135625|712|724|727,10987,0,0,10987
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,729,729,Haemophilus parainfluenzae,Haemophilus parainfluenzae,species,0.81531,abund,0.81531,729,1||1224|1236|135625|712|724|729,12369,0,0,12369
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,732,732,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,species,0.7846,abund,0.7846,732,1||1224|1236|135625|712|416916|732,13471,0,0,13471
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,735,735,Haemophilus parahaemolyticus,Haemophilus parahaemolyticus,species,0.77487,abund,0.77487,735,1||1224|1236|135625|712|724|735,11989,0,0,11989
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,817,817,Bacteroides fragilis,Bacteroides fragilis,species,0.00095,abund,0.00095,817,1||976|200643|171549|815|816|817,37,0,0,37
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,818,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,0.85418,abund,0.85418,818,1||976|200643|171549|815|816|818,40739,0,0,40739
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,820,820,Bacteroides uniformis,Bacteroides uniformis,species,0.72712,abund,0.72712,820,1||976|200643|171549|815|816|820,26085,0,0,26085
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,821,821,Phocaeicola vulgatus,Phocaeicola vulgatus,species,0.77773,abund,0.77773,821,1||976|200643|171549|815|909656|821,29781,0,0,29781
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,823,823,Parabacteroides distasonis,Parabacteroides distasonis,species,1.61081,abund,1.61081,823,1||976|200643|171549|2005525|375288|823,61599,0,0,61599
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,851,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,0.79526,abund,0.79526,851,1||32066|203490|203491|203492|848|851,12708,0,0,12708
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,853,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,1.28983,abund,1.28983,853,1||1239|186801|186802|216572|216851|853,28800,0,0,28800
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1255,1255,Pediococcus pentosaceus,Pediococcus pentosaceus,species,0.79071,abund,0.79071,1255,1||1239|91061|186826|33958|1253|1255,10658,0,0,10658
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1302,1302,Streptococcus gordonii,Streptococcus gordonii,species,0.77301,abund,0.77301,1302,1||1239|91061|186826|1300|1301|1302,12570,0,0,12570
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1303,1303,Streptococcus oralis,Streptococcus oralis,species,0.71979,abund,0.71979,1303,1||1239|91061|186826|1300|1301|1303,11145,0,0,11145
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1304,1304,Streptococcus salivarius,Streptococcus salivarius,species,0.80804,abund,0.80804,1304,1||1239|91061|186826|1300|1301|1304,13070,0,0,13070
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1305,1305,Streptococcus sanguinis,Streptococcus sanguinis,species,0.75649,abund,0.75649,1305,1||1239|91061|186826|1300|1301|1305,13212,0,0,13212
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1307,1307,Streptococcus suis,Streptococcus suis,species,0.0027,abund,0.0027,1307,1||1239|91061|186826|1300|1301|1307,43,0,0,43
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1308,1308,Streptococcus thermophilus,Streptococcus thermophilus,species,0.77096,abund,0.77096,1308,1||1239|91061|186826|1300|1301|1308,10282,0,0,10282
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1318,1318,Streptococcus parasanguinis,Streptococcus parasanguinis,species,0.82073,abund,0.82073,1318,1||1239|91061|186826|1300|1301|1318,12966,0,0,12966
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1328,1328,Streptococcus anginosus,Streptococcus anginosus,species,0.75516,abund,0.75516,1328,1||1239|91061|186826|1300|1301|1328,11079,0,0,11079
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1338,1338,Streptococcus intermedius,Streptococcus intermedius,species,0.78205,abund,0.78205,1338,1||1239|91061|186826|1300|1301|1338,11243,0,0,11243
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1343,1343,Streptococcus vestibularis,Streptococcus vestibularis,species,0.77923,abund,0.77923,1343,1||1239|91061|186826|1300|1301|1343,11163,0,0,11163
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1351,1351,Enterococcus faecalis,Enterococcus faecalis,species,0.00046,abund,0.00046,1351,1||1239|91061|186826|81852|1350|1351,10,0,0,10
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1352,1352,Enterococcus faecium,Enterococcus faecium,species,5e-05,abund,5e-05,1352,1||1239|91061|186826|81852|1350|1352,1,0,0,1
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1496,1496,Clostridioides difficile,Clostridioides difficile,species,0.00514,abund,0.00514,1496,1||1239|186801|3082720|186804|1870884|1496,137,0,0,137
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1522,1522,[Clostridium] innocuum,[Clostridium] innocuum,species,1.12343,abund,1.12343,1522,1||1239|186801|186802|31979|1485|1522,27400,0,0,27400
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1531,1531,Enterocloster clostridioformis,Enterocloster clostridioformis,species,0.00012,abund,0.00012,1531,1||1239|186801|3085636|186803|2719313|1531,5,0,0,5
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1532,1532,Blautia coccoides,Blautia coccoides,species,6e-05,abund,6e-05,1532,1||1239|186801|3085636|186803|572511|1532,2,0,0,2
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1580,1580,Levilactobacillus brevis,Levilactobacillus brevis,species,0.77277,abund,0.77277,1580,1||1239|91061|186826|33958|2767886|1580,14310,0,0,14310
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1590,1590,Lactiplantibacillus plantarum,Lactiplantibacillus plantarum,species,0.78643,abund,0.78643,1590,1||1239|91061|186826|33958|2767842|1590,19117,0,0,19117
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1597,1597,Lacticaseibacillus paracasei,Lacticaseibacillus paracasei,species,0.76346,abund,0.76346,1597,1||1239|91061|186826|33958|2759736|1597,17142,0,0,17142
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1655,1655,Actinomyces naeslundii,Actinomyces naeslundii,species,0.78716,abund,0.78716,1655,1||201174|1760|2037|2049|1654|1655,18318,0,0,18318
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1660,1660,Schaalia odontolytica,Schaalia odontolytica,species,0.81076,abund,0.81076,1660,1||201174|1760|2037|2049|2529408|1660,14359,0,0,14359
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,1680,1680,Bifidobacterium adolescentis,Bifidobacterium adolescentis,species,1.22804,abund,1.22804,1680,1||201174|1760|85004|31953|1678|1680,20174,0,0,20174
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,2047,2047,Rothia dentocariosa,Rothia dentocariosa,species,0.78096,abund,0.78096,2047,1||201174|1760|85006|1268|32207|2047,14374,0,0,14374
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,2702,2702,Gardnerella vaginalis,Gardnerella vaginalis,species,0.78354,abund,0.78354,2702,1||201174|1760|85004|31953|2701|2702,9646,0,0,9646
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28025,28025,Bifidobacterium animalis,Bifidobacterium animalis,species,0.01507,abund,0.01507,28025,1||201174|1760|85004|31953|1678|28025,215,0,0,215
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28037,28037,Streptococcus mitis,Streptococcus mitis,species,0.70823,abund,0.70823,28037,1||1239|91061|186826|1300|1301|28037,10966,0,0,10966
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28111,28111,Bacteroides eggerthii,Bacteroides eggerthii,species,0.78821,abund,0.78821,28111,1||976|200643|171549|815|816|28111,23171,0,0,23171
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28116,28116,Bacteroides ovatus,Bacteroides ovatus,species,1.44807,abund,1.44807,28116,1||976|200643|171549|815|816|28116,71930,0,0,71930
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28117,28117,Alistipes putredinis,Alistipes putredinis,species,0.72797,abund,0.72797,28117,1||976|200643|171549|171550|239759|28117,14234,0,0,14234
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28118,28118,Odoribacter splanchnicus,Odoribacter splanchnicus,species,0.74259,abund,0.74259,28118,1||976|200643|171549|1853231|283168|28118,25220,0,0,25220
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28125,28125,Prevotella bivia,Prevotella bivia,species,0.76971,abund,0.76971,28125,1||976|200643|171549|171552|838|28125,14040,0,0,14040
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28128,28128,Prevotella corporis,Prevotella corporis,species,0.79871,abund,0.79871,28128,1||976|200643|171549|171552|838|28128,16795,0,0,16795
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28131,28131,Prevotella intermedia,Prevotella intermedia,species,0.00019,abund,0.00019,28131,1||976|200643|171549|171552|838|28131,4,0,0,4
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,28132,28132,Prevotella melaninogenica,Prevotella melaninogenica,species,8e-05,abund,8e-05,28132,1||976|200643|171549|171552|838|28132,2,0,0,2
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,29347,29347,[Clostridium] scindens,[Clostridium] scindens,species,0.01291,abund,0.01291,29347,1||1239|186801|3085636|186803|1506553|29347,375,0,0,375
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,29389,29389,Streptococcus alactolyticus,Streptococcus alactolyticus,species,0.0019,abund,0.0019,29389,1||1239|91061|186826|1300|1301|29389,24,0,0,24
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,29466,29466,Veillonella parvula,Veillonella parvula,species,0.78169,abund,0.78169,29466,1||1239|909932|1843489|31977|29465|29466,12318,0,0,12318
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,33031,33031,Peptoniphilus lacrimalis,Peptoniphilus lacrimalis,species,0.73341,abund,0.73341,33031,1||1239|1737404|1737405|1570339|162289|33031,9681,0,0,9681
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,33038,33038,Mediterraneibacter gnavus,Mediterraneibacter gnavus,species,0.00279,abund,0.00279,33038,1||1239|186801|3085636|186803|2316020|33038,71,0,0,71
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,33039,33039,[Ruminococcus] torques,[Ruminococcus] torques,species,0.77412,abund,0.77412,33039,1||1239|186801|3085636|186803|2316020|33039,16565,0,0,16565
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39485,39485,Lachnospira eligens,Lachnospira eligens,species,0.55172,abund,0.55172,39485,1||1239|186801|3085636|186803|28050|39485,12369,0,0,12369
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39486,39486,Dorea formicigenerans,Dorea formicigenerans,species,0.75726,abund,0.75726,39486,1||1239|186801|3085636|186803|189330|39486,17690,0,0,17690
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39488,39488,Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.81355,abund,0.81355,39488,1||1239|186801|3085636|186803|2569097|39488,21334,0,0,21334
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39490,39490,Eubacterium ramulus,Eubacterium ramulus,species,0.76653,abund,0.76653,39490,1||1239|186801|186802|186806|1730|39490,19470,0,0,19470
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39491,39491,Agathobacter rectalis,Agathobacter rectalis,species,0.82259,abund,0.82259,39491,1||1239|186801|3085636|186803|1766253|39491,20141,0,0,20141
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39496,39496,Eubacterium ventriosum,Eubacterium ventriosum,species,0.82992,abund,0.82992,39496,1||1239|186801|186802|186806|1730|39496,16328,0,0,16328
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,39777,39777,Veillonella atypica,Veillonella atypica,species,0.77219,abund,0.77219,39777,1||1239|909932|1843489|31977|29465|39777,12044,0,0,12044
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,40520,40520,Blautia obeum,Blautia obeum,species,0.79571,abund,0.79571,40520,1||1239|186801|3085636|186803|572511|40520,21481,0,0,21481
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,40545,40545,Sutterella wadsworthensis,Sutterella wadsworthensis,species,0.83356,abund,0.83356,40545,1||1224|28216|80840|995019|40544|40545,17807,0,0,17807
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,43675,43675,Rothia mucilaginosa,Rothia mucilaginosa,species,0.79241,abund,0.79241,43675,1||201174|1760|85006|1268|32207|43675,13351,0,0,13351
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,45851,45851,Eshraghiella crossota,Eshraghiella crossota,species,0.44911,abund,0.44911,45851,1||1239|186801|3085636|186803|3342669|45851,14269,0,0,14269
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,46228,46228,[Ruminococcus] lactaris,[Ruminococcus] lactaris,species,0.00014,abund,0.00014,46228,1||1239|186801|3085636|186803|2316020|46228,3,0,0,3
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,46503,46503,Parabacteroides merdae,Parabacteroides merdae,species,0.75286,abund,0.75286,46503,1||976|200643|171549|2005525|375288|46503,25763,0,0,25763
Ganon2,unified,Ganon2_unified,simulated,simulated,ont,sim_ont,46506,46506,Bacteroides stercoris,Bacteroides stercoris,species,0.7263,abund,0.7263,46506,1||976|200643|171549|815|816|46506,21256,0,0,21256
