tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,14.231014913359253,abund,14.23,423962,415483
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929495,2929495,                    Faecalibacterium sp. I4-3-84,Faecalibacterium sp. I4-3-84,species,0.007418245729221947,abund,0.01,221,221
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929494,2929494,                    Faecalibacterium sp. I4-1-79,Faecalibacterium sp. I4-1-79,species,0.0038937398397726054,abund,0.0,116,116
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929492,2929492,                    Faecalibacterium sp. I3-3-33,Faecalibacterium sp. I3-3-33,species,0.0031217052163694165,abund,0.0,93,93
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3141184,3141184,                    Faecalibacterium sp. i21-0019-B1,Faecalibacterium sp. i21-0019-B1,species,0.002215403701939586,abund,0.0,66,66
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929489,2929489,                    Faecalibacterium sp. IP-3-29,Faecalibacterium sp. IP-3-29,species,0.0018461697516163219,abund,0.0,55,55
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929493,2929493,                    Faecalibacterium sp. I3-3-89,Faecalibacterium sp. I3-3-89,species,0.0013762356330230762,abund,0.0,41,41
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929488,2929488,                    Faecalibacterium sp. IP-1-18,Faecalibacterium sp. IP-1-18,species,0.0012419687419964345,abund,0.0,37,37
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929490,2929490,                    Faecalibacterium sp. I2-3-92,Faecalibacterium sp. I2-3-92,species,0.0012419687419964345,abund,0.0,37,37
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3141185,3141185,                    Faecalibacterium sp. i25-0019-C1,Faecalibacterium sp. i25-0019-C1,species,0.001107701850969793,abund,0.0,33,33
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3030638,3030638,                  Faecalibacterium taiwanense,Faecalibacterium taiwanense,species,0.012050453469641082,abund,0.01,359,359
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,411483,411483,                  Faecalibacterium duncaniae,Faecalibacterium duncaniae,species,0.0037930396715026246,abund,0.0,113,113
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2929491,2929491,                  Faecalibacterium wellingii,Faecalibacterium wellingii,species,0.0010070016826998118,abund,0.0,30,30
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,657323,657323,                    Ruminococcus sp. SR1/5,Ruminococcus sp. SR1/5,species,0.0012419687419964345,abund,0.0,37,37
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3233380,3233380,                    Ruminococcus sp. JE7B6,Ruminococcus sp. JE7B6,species,3.356672275666039e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,3233381,3233381,                    Ruminococcus sp. JL13D9,Ruminococcus sp. JL13D9,species,3.356672275666039e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1160721,1160721,                  Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus bicirculans (ex Wegman et al. 2014),species,6.713344551332078e-05,abund,0.0,2,2
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1264,1264,                  Ruminococcus albus,Ruminococcus albus,species,3.356672275666039e-05,abund,0.0,1,0
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2564099,2564099,                  Ruminococcus bovis,Ruminococcus bovis,species,3.356672275666039e-05,abund,0.0,1,1
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,169435,169435,                  Anaerotruncus colihominis,Anaerotruncus colihominis,species,0.0015105025240497176,abund,0.0,45,45
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,0.0008391680689165098,abund,0.0,25,25
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2093857,2093857,                  Dysosmobacter welbionis,Dysosmobacter welbionis,species,0.0005706342868632267,abund,0.0,17,17
Kraken2,default,Kraken2_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,288965,288965,                  Acetivibrio clariflavus,Acetivibrio clariflavus,species,0.00023496705929662275,abund,0.0,7,0
