tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,562,Escherichia coli,Escherichia coli,species,17.41933512719758,abund_weighted,0.1741933512719758,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.030102303413169,0.1741933512719758,17078000,0.8931462351474224,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,5476,Candida albicans,Candida albicans,species,0.25466165964217,abund_weighted,0.0025466165964217,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida;Candida albicans,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0267903097304576,0.0025466165964217,15199000,0.8897942692714341,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,4932,Saccharomyces cerevisiae,Saccharomyces cerevisiae,species,0.21856404053592998,abund_weighted,0.0021856404053593,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Saccharomyces;Saccharomyces cerevisiae,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0206369462677938,0.0021856404053593,11708000,0.8823354403097369,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,817,Bacteroides fragilis,Bacteroides fragilis,species,18.97149763055478,abund_weighted,0.1897149763055478,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0084377401592013,0.1897149763055478,4787000,0.8572432403874193,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,1496,Clostridioides difficile,Clostridioides difficile,species,2.49987035527026,abund_weighted,0.0249987035527026,Bacteria;Firmicutes;Clostridia;Eubacteriales;Peptostreptococcaceae;Clostridioides;Clostridioides difficile,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0078754591667665,0.0249987035527026,4468000,0.8553383248424398,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,301301,Roseburia hominis,Roseburia hominis,species,4.60095001004575,abund_weighted,0.0460095001004575,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia;Roseburia hominis,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0054077682908773,0.0460095001004575,3068000,0.8450288780575044,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,239935,Akkermansia muciniphila,Akkermansia muciniphila,species,2.00064157069867,abund_weighted,0.0200064157069867,Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia;Akkermansia muciniphila,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0049759223875966,0.0200064157069867,2823000,0.8427632706955045,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,28901,Salmonella enterica,Salmonella enterica,species,0.07067735108327,abund_weighted,0.0007067735108327,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;Salmonella enterica,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0047626433904662,0.0007067735108327,2702000,0.8415731538283013,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,2292234,Faecalibacterium sp. AF28-13AC,Faecalibacterium sp. AF28-13AC,species,11.486948375332041,abund_weighted,0.1148694837533204,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium sp. AF28-13AC,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0043554743959445,0.1148694837533204,2471000,0.8391504923317964,25627729
Sourmash,default,Sourmash_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,,851,Fusobacterium nucleatum,Fusobacterium nucleatum,species,4.01093284543472,abund_weighted,0.0401093284543472,Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;Fusobacterium nucleatum,,3d764b49,/dodo/eh58/bakeoff/data/ZymoMockD6331/pacbio/SRR13128013.fastq,0.0041756854892725,0.0401093284543472,2369000,0.8380101584703653,25627729
