tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,28116,Bacteroides ovatus,Bacteroides ovatus,species,3.29649117532681,abund_weighted,0.0329649117532681,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides ovatus,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0089932621299352,0.0329649117532681,8896000,0.8590082418031266,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,853,Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,2.0840672917389598,abund_weighted,0.0208406729173896,Bacteria;Firmicutes;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium;Faecalibacterium prausnitzii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0071816697584375,0.0208406729173896,7104000,0.8527976238993112,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.81875744235039,abund_weighted,0.0181875744235039,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0069380348468688,0.0181875744235039,6863000,0.8518487039763656,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.6164354533505998,abund_weighted,0.016164354533506,Bacteria;Firmicutes;Clostridia;Eubacteriales;Clostridiaceae;Hungatella;Hungatella hathewayi,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0068713132528293,0.016164354533506,6797000,0.8515832069280677,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.69416329033638,abund_weighted,0.0169416329033638,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0062465565086409,0.0169416329033638,6179000,0.8489686135187601,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.82377779081511,abund_weighted,0.0182377779081511,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.005471170711242,0.0182377779081511,5412000,0.8453466720740918,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,674529,Bacteroides faecis,Bacteroides faecis,species,1.3053587063301402,abund_weighted,0.0130535870633014,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.005384230452342,0.0130535870633014,5326000,0.8449099800218746,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2025876,Parabacteroides sp. CT06,Parabacteroides sp. CT06,species,1.85731488608235,abund_weighted,0.0185731488608235,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CT06,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0053498587220792,0.0185731488608235,5292000,0.8447354494294361,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,47678,Bacteroides caccae,Bacteroides caccae,species,1.24196221292679,abund_weighted,0.0124196221292679,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0050465787491722,0.0124196221292679,4992000,0.8431466732670632,10278171
Sourmash,default,Sourmash_default,simulated,simulated,ont,sim_ont,,2709720,Blautia sp. MSK.20.9,Blautia sp. MSK.20.9,species,1.4174700926847699,abund_weighted,0.0141747009268477,Bacteria;Firmicutes;Clostridia;Eubacteriales;Lachnospiraceae;Blautia;Blautia sp. MSK.20.9,,344c278c,/home/Users/pacbio_bakeoff/data/simulated/ont/sim_ont.fastq,0.0047493643757234,0.0141747009268477,4698000,0.8414973598756,10278171
