tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,lineage_raw,query_name,query_md5,query_filename,fraction_raw,f_weighted_raw,bp_match_at_rank,query_ani_at_rank,total_weighted_hashes
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,328812,Parabacteroides goldsteinii,Parabacteroides goldsteinii,species,1.89918277295909,abund_weighted,0.0189918277295909,;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides goldsteinii,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0107108127387182,0.0189918277295909,6862000,0.8638650120535457,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,154046,Hungatella hathewayi,Hungatella hathewayi,species,1.73872997528041,abund_weighted,0.0173872997528041,;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Hungatella;Hungatella hathewayi,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0106655469897496,0.0173872997528041,6833000,0.863747001422875,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,2847299,Bacteroides sp. DH3716P,Bacteroides sp. DH3716P,species,3.1746884499489703,abund_weighted,0.0317468844994897,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides sp. DH3716P,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0104423400206973,0.0317468844994897,6690000,0.8631579056709705,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,818,Bacteroides thetaiotaomicron,Bacteroides thetaiotaomicron,species,1.71658116651104,abund_weighted,0.0171658116651104,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides thetaiotaomicron,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.009615069436098,0.0171658116651104,6160000,0.8608628156588978,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,3081750,Anaerocolumna sp. AGMB13020,Anaerocolumna sp. AGMB13020,species,1.4034625647796801,abund_weighted,0.0140346256477968,;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Anaerocolumna;Anaerocolumna sp. AGMB13020,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0088393081520492,0.0140346256477968,5663000,0.8585299064859444,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,674529,Bacteroides faecis,Bacteroides faecis,species,1.39517130755647,abund_weighted,0.0139517130755647,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecis,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0083632373439307,0.0139517130755647,5358000,0.8569980230184958,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,2025876,Parabacteroides sp. CT06,Parabacteroides sp. CT06,species,1.95757067908887,abund_weighted,0.0195757067908887,;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides sp. CT06,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.008268023182307,0.0195757067908887,5297000,0.8566815409964124,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,357276,Phocaeicola dorei,Phocaeicola dorei,species,1.6883521024446397,abund_weighted,0.0168835210244464,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola dorei,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.00821183121807,0.0168835210244464,5261000,0.8564931056071177,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,47678,Bacteroides caccae,Bacteroides caccae,species,1.22217010420898,abund_weighted,0.0122217010420898,;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides caccae,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0075718671809271,0.0122217010420898,4851000,0.854254338525821,10312067
Sourmash,unified,Sourmash_unified,simulated,simulated,pacbio,sim_pacbio,,387661,Parabacteroides johnsonii,Parabacteroides johnsonii,species,1.23289540302637,abund_weighted,0.0123289540302637,;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;Parabacteroides johnsonii,,a12ae85f,/dodo/eh58/bakeoff/data/simulated/pacbio/sim_pacbio.fastq,0.0072050585254916,0.0123289540302637,4616000,0.8528870743903342,10312067
