tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,11.904203258590313,fraction_reads,11.9,354643,264090
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,0.08962314976028325,fraction_reads,0.09,2670,2670
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1550024,1550024,                  Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,0.032861821578770524,fraction_reads,0.03,979,979
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1572656,1572656,                    Ruminococcaceae bacterium CPB6,Ruminococcaceae bacterium CPB6,species,0.0062098437099821725,fraction_reads,0.01,185,185
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29343,29343,                  [Clostridium] cellulosi,[Clostridium] cellulosi,species,3.356672275666039e-05,fraction_reads,0.0,1,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,253239,253239,                  Ethanoligenens harbinense,Ethanoligenens harbinense,species,0.004833608076959097,fraction_reads,0.0,144,144
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1160721,1160721,                  Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.0018461697516163219,fraction_reads,0.0,55,55
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1264,1264,                  Ruminococcus albus,Ruminococcus albus,species,0.0008391680689165098,fraction_reads,0.0,25,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2564099,2564099,                    Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12,species,0.0003692339503232643,fraction_reads,0.0,11,11
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2507162,2507162,                    Caproiciproducens sp. NJN-50,Caproiciproducens sp. NJN-50,species,0.0012084020192397742,fraction_reads,0.0,36,36
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,301301,301301,                  Roseburia hominis,Roseburia hominis,species,8.710363155016832,fraction_reads,8.71,259494,259333
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,0.20479057553838506,fraction_reads,0.2,6101,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2109691,2109691,                  Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,species,0.11744996292555471,fraction_reads,0.12,3499,3499
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2109690,2109690,                  Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86,species,0.021583402732532633,fraction_reads,0.02,643,643
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2594789,2594789,                  Lachnospiraceae bacterium KGMB03038,Lachnospiraceae bacterium KGMB03038,species,0.013930189944014062,fraction_reads,0.01,415,415
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2093742,2093742,                  Lachnospiraceae bacterium KM106-2,Lachnospiraceae bacterium KM106-2,species,0.0026853378205328312,fraction_reads,0.0,80,80
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,712991,712991,                  Lachnospiraceae bacterium oral taxon 500,Lachnospiraceae bacterium oral taxon 500,species,0.0007049011778898683,fraction_reads,0.0,21,21
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.04041433419901912,fraction_reads,0.04,1204,1204
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1912897,1912897,                    Blautia sp. N6H1-15,Blautia sp. N6H1-15,species,0.002383237315722888,fraction_reads,0.0,71,71
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1796616,1796616,                    Blautia sp. YL58,Blautia sp. YL58,species,0.0009734349599431514,fraction_reads,0.0,29,29
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33038,33038,                  [Ruminococcus] gnavus,[Ruminococcus] gnavus,species,0.017421129110706746,fraction_reads,0.02,519,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,33035,33035,                  Blautia producta,Blautia producta,species,0.009935749935971476,fraction_reads,0.01,296,185
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39485,39485,                  Lachnospira eligens,Lachnospira eligens,species,0.05578789322156957,fraction_reads,0.06,1662,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1834196,1834196,                    Lachnoclostridium sp. YL32,Lachnoclostridium sp. YL32,species,0.018360997347893235,fraction_reads,0.02,547,547
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,29347,29347,                  [Clostridium] scindens,[Clostridium] scindens,species,0.010875618173157967,fraction_reads,0.01,324,278
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1871021,1871021,                  Lachnoclostridium phocaeense,Lachnoclostridium phocaeense,species,0.0038266063942592847,fraction_reads,0.0,114,114
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,66219,66219,                  Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,species,0.001275535464753095,fraction_reads,0.0,38,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,89153,89153,                  [Clostridium] hylemonae,[Clostridium] hylemonae,species,0.0005370675641065663,fraction_reads,0.0,16,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,39488,39488,                  Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.031217052163694168,fraction_reads,0.03,930,930
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,208479,208479,                  Enterocloster bolteae,Enterocloster bolteae,species,0.011983320024127761,fraction_reads,0.01,357,357
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,649756,649756,                  Anaerostipes hadrus,Anaerostipes hadrus,species,0.008089580184355155,fraction_reads,0.01,241,241
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,1229621,1229621,                  Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,species,0.0005370675641065663,fraction_reads,0.0,16,16
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,43305,43305,                  Butyrivibrio proteoclasticus,Butyrivibrio proteoclasticus,species,0.005773476314145588,fraction_reads,0.01,172,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Zymo,185008,185008,                  Butyrivibrio hungatei,Butyrivibrio hungatei,species,0.0005370675641065663,fraction_reads,0.0,16,16
