tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,853,853,                  Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,species,18.20116910690756,fraction_reads,18.2,504324,341304
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,292800,292800,                  Flavonifractor plautii,Flavonifractor plautii,species,0.13024963972927997,fraction_reads,0.13,3609,3609
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1550024,1550024,                  Ruthenibacterium lactatiformans,Ruthenibacterium lactatiformans,species,0.06344662417402998,fraction_reads,0.06,1758,1758
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1160721,1160721,                  Ruminococcus bicirculans,Ruminococcus bicirculans,species,0.014544362651953401,fraction_reads,0.01,403,403
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2564099,2564099,                    Ruminococcus sp. JE7A12,Ruminococcus sp. JE7A12,species,0.0003969925289615073,fraction_reads,0.0,11,11
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1264,1264,                  Ruminococcus albus,Ruminococcus albus,species,0.0001082706897167747,fraction_reads,0.0,3,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1572656,1572656,                    Ruminococcaceae bacterium CPB6,Ruminococcaceae bacterium CPB6,species,0.005449624715744327,fraction_reads,0.01,151,151
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,253239,253239,                  Ethanoligenens harbinense,Ethanoligenens harbinense,species,0.003500752300842382,fraction_reads,0.0,97,97
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,301301,301301,                  Roseburia hominis,Roseburia hominis,species,4.9751825534054195,fraction_reads,4.98,137854,137423
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,166486,166486,                  Roseburia intestinalis,Roseburia intestinalis,species,0.20744664149734032,fraction_reads,0.21,5748,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2109691,2109691,                  Lachnospiraceae bacterium GAM79,Lachnospiraceae bacterium GAM79,species,0.20127521218348418,fraction_reads,0.2,5577,5577
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2594789,2594789,                  Lachnospiraceae bacterium KGMB03038,Lachnospiraceae bacterium KGMB03038,species,0.0239639126573128,fraction_reads,0.02,664,664
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2109690,2109690,                  Lachnospiraceae bacterium Choco86,Lachnospiraceae bacterium Choco86,species,0.010538347132432738,fraction_reads,0.01,292,292
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2093742,2093742,                  Lachnospiraceae bacterium KM106-2,Lachnospiraceae bacterium KM106-2,species,0.0007578948280174229,fraction_reads,0.0,21,21
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,712991,712991,                  Lachnospiraceae bacterium oral taxon 500,Lachnospiraceae bacterium oral taxon 500,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,39485,39485,                  Lachnospira eligens,Lachnospira eligens,species,0.07781053567645542,fraction_reads,0.08,2156,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2479767,2479767,                    Blautia sp. SC05B48,Blautia sp. SC05B48,species,0.0568782023312123,fraction_reads,0.06,1576,1576
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1796616,1796616,                    Blautia sp. YL58,Blautia sp. YL58,species,0.0012992482766012964,fraction_reads,0.0,36,36
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1912897,1912897,                    Blautia sp. N6H1-15,Blautia sp. N6H1-15,species,0.0010105264373565638,fraction_reads,0.0,28,28
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,33035,33035,                  Blautia producta,Blautia producta,species,0.009852632764226498,fraction_reads,0.01,273,88
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,33038,33038,                  [Ruminococcus] gnavus,[Ruminococcus] gnavus,species,0.008697745407247569,fraction_reads,0.01,241,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1834196,1834196,                    Lachnoclostridium sp. YL32,Lachnoclostridium sp. YL32,species,0.02851128162541734,fraction_reads,0.03,790,790
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1871021,1871021,                  Lachnoclostridium phocaeense,Lachnoclostridium phocaeense,species,0.0016240603457516206,fraction_reads,0.0,45,45
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,29347,29347,                  [Clostridium] scindens,[Clostridium] scindens,species,0.0011187971270733385,fraction_reads,0.0,31,29
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,89153,89153,                  [Clostridium] hylemonae,[Clostridium] hylemonae,species,0.0003969925289615073,fraction_reads,0.0,11,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,66219,66219,                  Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans,species,7.218045981118314e-05,fraction_reads,0.0,2,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,39488,39488,                  Anaerobutyricum hallii,Anaerobutyricum hallii,species,0.02114887472467666,fraction_reads,0.02,586,586
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,208479,208479,                  Enterocloster bolteae,Enterocloster bolteae,species,0.012054136788467583,fraction_reads,0.01,334,334
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,84030,84030,                  Lacrimispora saccharolytica,Lacrimispora saccharolytica,species,0.005485714945649919,fraction_reads,0.01,152,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,649756,649756,                  Anaerostipes hadrus,Anaerostipes hadrus,species,0.004222556898954213,fraction_reads,0.0,117,117
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1229621,1229621,                  Anaerostipes rhamnosivorans,Anaerostipes rhamnosivorans,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,43305,43305,                  Butyrivibrio proteoclasticus,Butyrivibrio proteoclasticus,species,0.0018045114952795784,fraction_reads,0.0,50,0
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,185008,185008,                  Butyrivibrio hungatei,Butyrivibrio hungatei,species,0.00018045114952795784,fraction_reads,0.0,5,5
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,617123,617123,                  Lachnoanaerobaculum umeaense,Lachnoanaerobaculum umeaense,species,0.00018045114952795784,fraction_reads,0.0,5,5
Centrifuge,default,Centrifuge_default,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2696063,2696063,                    Anaerocolumna sp. CBA3638,Anaerocolumna sp. CBA3638,species,7.218045981118314e-05,fraction_reads,0.0,2,2
