tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2371,2371,                  Xylella fastidiosa,Xylella fastidiosa,species,6.312748044702015,fraction_reads,6.31,19008,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,1444770,1444770,                  Xylella taiwanensis,Xylella taiwanensis,species,0.0006642201225486126,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,643453,643453,                  Xanthomonas citri group,Xanthomonas citri group,species,0.008634861593131964,fraction_reads,0.01,26,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,346,346,                    Xanthomonas citri,Xanthomonas citri,species,0.008634861593131964,fraction_reads,0.01,26,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,339,339,                  Xanthomonas campestris,Xanthomonas campestris,species,0.0036532106740173693,fraction_reads,0.0,11,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,3390202,3390202,                  Xanthomonas translucens group,Xanthomonas translucens group,species,0.0026568804901944505,fraction_reads,0.0,8,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,3390026,3390026,                    Xanthomonas graminis,Xanthomonas graminis,species,0.0016605503063715317,fraction_reads,0.0,5,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,3390025,3390025,                    Xanthomonas cerealis,Xanthomonas cerealis,species,0.0006642201225486126,fraction_reads,0.0,2,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,343,343,                    Xanthomonas translucens,Xanthomonas translucens,species,0.0003321100612743063,fraction_reads,0.0,1,0
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,347,347,                  Xanthomonas oryzae,Xanthomonas oryzae,species,0.001992660367645838,fraction_reads,0.0,6,0
