tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1134687,1134687,                    Klebsiella michiganensis,Klebsiella michiganensis,species,4.099344854056524,fraction_reads,4.1,113586,113586
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,3390273,3390273,                    Klebsiella pneumoniae complex,Klebsiella pneumoniae complex,species,0.05373835232942584,fraction_reads,0.05,1489,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,573,573,                      Klebsiella pneumoniae,Klebsiella pneumoniae,species,0.05020150979867787,fraction_reads,0.05,1391,1282
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1463165,1463165,                      Klebsiella quasipneumoniae,Klebsiella quasipneumoniae,species,0.00184060172518517,fraction_reads,0.0,51,45
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,244366,244366,                      Klebsiella variicola,Klebsiella variicola,species,0.0015879701158460291,fraction_reads,0.0,44,40
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2026240,2026240,                      Klebsiella quasivariicola,Klebsiella quasivariicola,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,571,571,                    Klebsiella oxytoca,Klebsiella oxytoca,species,0.0004330827588670988,fraction_reads,0.0,12,12
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2675716,2675716,                      Klebsiella sp. WP7-S18-CRE-02,Klebsiella sp. WP7-S18-CRE-02,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2829836,2829836,                      Klebsiella sp. P1927,Klebsiella sp. P1927,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2986524,2986524,                      Klebsiella sp. KP20-425-1,Klebsiella sp. KP20-425-1,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,3081203,3081203,                      Klebsiella sp. w6,Klebsiella sp. w6,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1905288,1905288,                      Klebsiella sp. LTGPAF-6F,Klebsiella sp. LTGPAF-6F,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2675718,2675718,                      Klebsiella sp. WP7-S18-ESBL-04,Klebsiella sp. WP7-S18-ESBL-04,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,548,548,                    Klebsiella aerogenes,Klebsiella aerogenes,species,0.00028872183924473255,fraction_reads,0.0,8,8
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2058152,2058152,                    Klebsiella grimontii,Klebsiella grimontii,species,7.218045981118314e-05,fraction_reads,0.0,2,2
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2489010,2489010,                    Klebsiella africana,Klebsiella africana,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,54291,54291,                    Raoultella ornithinolytica,Raoultella ornithinolytica,species,0.0005052632186782819,fraction_reads,0.0,14,14
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,575,575,                    Raoultella planticola,Raoultella planticola,species,0.0002165413794335494,fraction_reads,0.0,6,6
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2799495,2799495,                      Raoultella sp. XY-1,Raoultella sp. XY-1,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,562,562,                  Escherichia coli,Escherichia coli,species,1.90863180855721,fraction_reads,1.91,52885,50100
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,564,564,                  Escherichia fergusonii,Escherichia fergusonii,species,0.002165413794335494,fraction_reads,0.0,60,58
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,208962,208962,                  Escherichia albertii,Escherichia albertii,species,0.0010105264373565638,fraction_reads,0.0,28,28
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2935450,2935450,                    Escherichia sp. 10290,Escherichia sp. 10290,species,0.00028872183924473255,fraction_reads,0.0,8,8
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2044467,2044467,                    Escherichia sp. E4742,Escherichia sp. E4742,species,0.0002165413794335494,fraction_reads,0.0,6,6
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2509662,2509662,                    Escherichia sp. HH091_1A,Escherichia sp. HH091_1A,species,0.0001082706897167747,fraction_reads,0.0,3,3
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,2509666,2509666,                    Escherichia sp. KS167_9B,Escherichia sp. KS167_9B,species,3.609022990559157e-05,fraction_reads,0.0,1,1
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1499973,1499973,                  Escherichia marmotae,Escherichia marmotae,species,0.0002165413794335494,fraction_reads,0.0,6,6
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,28901,28901,                  Salmonella enterica,Salmonella enterica,species,0.05637293911253402,fraction_reads,0.06,1562,1069
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,623,623,                  Shigella flexneri,Shigella flexneri,species,0.008914286786681117,fraction_reads,0.01,247,206
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,622,622,                  Shigella dysenteriae,Shigella dysenteriae,species,0.006640602302628848,fraction_reads,0.01,184,182
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,621,621,                  Shigella boydii,Shigella boydii,species,0.0027067672429193675,fraction_reads,0.0,75,74
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,624,624,                  Shigella sonnei,Shigella sonnei,species,0.0011187971270733385,fraction_reads,0.0,31,31
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1344959,1344959,                  Citrobacter freundii complex,Citrobacter freundii complex,species,0.008445113797908426,fraction_reads,0.01,234,7
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,546,546,                    Citrobacter freundii,Citrobacter freundii,species,0.003284210921408833,fraction_reads,0.0,91,91
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1639133,1639133,                    Citrobacter portucalensis,Citrobacter portucalensis,species,0.002923308622352917,fraction_reads,0.0,81,81
Centrifuge,unified,Centrifuge_unified,ZymoMockD6331,ZymoMockD6331,pacbio,SRR13128013,1748967,1748967,                    Citrobacter cronae,Citrobacter cronae,species,0.000830075287828606,fraction_reads,0.0,23,23
