tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,423477,423477,                  Veillonella_rogosae,Veillonella rogosae,species,18.584546918848908,fraction_reads,18.58,55959,55959
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,29466,29466,                  Veillonella_parvula,Veillonella parvula,species,0.0029889905514687565,fraction_reads,0.0,9,9
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2682455,2682455,                    Veillonella_sp._S12025-13,Veillonella_sp._S12025-13,species,0.002324770428920144,fraction_reads,0.0,7,7
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2682456,2682456,                  Veillonella_nakazawae,Veillonella nakazawae,species,0.000996330183822919,fraction_reads,0.0,3,3
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,39777,39777,                  Veillonella_atypica,Veillonella atypica,species,0.0003321100612743063,fraction_reads,0.0,1,1
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,69823,69823,                  Selenomonas_sputigena,Selenomonas sputigena,species,0.0003321100612743063,fraction_reads,0.0,1,1
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,437897,437897,                  Megamonas_funiformis,Megamonas funiformis,species,0.0003321100612743063,fraction_reads,0.0,1,1
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,853,853,                  Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,11.113398980422112,fraction_reads,11.11,33463,33463
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2929489,2929489,                    Faecalibacterium_sp._IP-3-29,Faecalibacterium_sp._IP-3-29,species,0.004317430796565982,fraction_reads,0.0,13,13
Centrifuger,default,Centrifuger_default,ZymoMockD6331,ZymoMockD6331,ont,D6331_Qiagen,2929493,2929493,                    Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I3-3-89,species,0.0036532106740173693,fraction_reads,0.0,11,11
