tool,db,tool_db,data_type,project,technology,sample,taxid_raw,taxid,name_raw,name,rank,value,value_type,abundance_raw,numReads,numDirectReads
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,418240,418240,                  Blautia_wexlerae,Blautia wexlerae,species,1.6914417676971087,fraction_reads,1.69,40401,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,40520,40520,                  Blautia_obeum,Blautia obeum,species,1.0488772705159692,fraction_reads,1.05,25053,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2479767,2479767,                    Blautia_sp._SC05B48,Blautia_sp._SC05B48,species,0.10454023647780204,fraction_reads,0.1,2497,2497
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2877527,2877527,                    Blautia_sp._NBRC_113351,Blautia_sp._NBRC_113351,species,0.01913291472581319,fraction_reads,0.02,457,457
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2860051,2860051,                    Blautia_sp._KLE_1732_HM_1032,Blautia_sp._KLE_1732_HM_1032,species,0.0048564947662895624,fraction_reads,0.0,116,116
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,33035,33035,                  Blautia_producta,Blautia producta,species,0.05806860552451399,fraction_reads,0.06,1387,1241
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1796616,1796616,                  Blautia_pseudococcoides,Blautia pseudococcoides,species,0.0476438883106683,fraction_reads,0.05,1138,1138
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1912897,1912897,                  Blautia_argi,Blautia argi,species,0.045257507261715665,fraction_reads,0.05,1081,1081
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1322,1322,                  Blautia_hansenii,Blautia hansenii,species,0.04157326985280634,fraction_reads,0.04,993,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1737424,1737424,                  Blautia_massiliensis,Blautia massiliensis,species,0.030981087302192036,fraction_reads,0.03,740,740
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2779518,2779518,                  Blautia_liquoris,Blautia liquoris,species,0.009001261851312552,fraction_reads,0.01,215,215
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,166486,166486,                  Roseburia_intestinalis,Roseburia intestinalis,species,1.2289443738764123,fraction_reads,1.23,29354,27678
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,301301,301301,                  Roseburia_hominis,Roseburia hominis,species,1.00705280265801,fraction_reads,1.01,24054,24024
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2763062,2763062,                    Roseburia_sp._NSJ-69,Roseburia_sp._NSJ-69,species,0.10943859757828375,fraction_reads,0.11,2614,2614
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,88431,88431,                  Dorea_longicatena,Dorea longicatena,species,0.9283440943767651,fraction_reads,0.93,22174,22174
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,39486,39486,                  Dorea_formicigenerans,Dorea formicigenerans,species,0.82568784293761,fraction_reads,0.83,19722,19722
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,410072,410072,                  Coprococcus_comes,Coprococcus comes,species,0.9942835707294037,fraction_reads,0.99,23749,23450
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,33043,33043,                  Coprococcus_eutactus,Coprococcus eutactus,species,0.04203379952892001,fraction_reads,0.04,1004,553
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2763667,2763667,                  Wansuia_hejianensis,Wansuia hejianensis,species,0.9840681851865186,fraction_reads,0.98,23505,23505
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2763672,2763672,                  Simiaoa_sunii,Simiaoa sunii,species,0.9115138280315204,fraction_reads,0.91,21772,21772
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,39488,39488,                  Anaerobutyricum_hallii,Anaerobutyricum hallii,species,0.7533846837877645,fraction_reads,0.75,17995,17995
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,649756,649756,                  Anaerostipes_hadrus,Anaerostipes hadrus,species,0.6643768572952506,fraction_reads,0.66,15869,15869
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,105841,105841,                  Anaerostipes_caccae,Anaerostipes caccae,species,0.019886508741271916,fraction_reads,0.02,475,169
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1229621,1229621,                  Anaerostipes_rhamnosivorans,Anaerostipes rhamnosivorans,species,0.012727365594414028,fraction_reads,0.01,304,304
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,45851,45851,                  Butyrivibrio_crossotus,Butyrivibrio crossotus,species,0.6327677749801762,fraction_reads,0.63,15114,15114
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,43305,43305,                  Butyrivibrio_proteoclasticus,Butyrivibrio proteoclasticus,species,0.015281211980135262,fraction_reads,0.02,365,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,185008,185008,                  Butyrivibrio_hungatei,Butyrivibrio hungatei,species,0.00862446484358319,fraction_reads,0.01,206,206
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,831,831,                  Butyrivibrio_fibrisolvens,Butyrivibrio fibrisolvens,species,0.007368474817818648,fraction_reads,0.01,176,176
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,39485,39485,                  Lachnospira_eligens,Lachnospira eligens,species,0.5669957639643064,fraction_reads,0.57,13543,10921
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1727145,1727145,                  Anaerocolumna_chitinilytica,Anaerocolumna chitinilytica,species,0.2690330635187649,fraction_reads,0.27,6426,6426
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,3039116,3039116,                    Anaerocolumna_sp._AGMB13025,Anaerocolumna_sp._AGMB13025,species,0.10500076615391571,fraction_reads,0.11,2508,2508
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,433286,433286,                  Anaerocolumna_cellulosilytica,Anaerocolumna cellulosilytica,species,0.05379823943691455,fraction_reads,0.05,1285,1285
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2696063,2696063,                  Anaerocolumna_sedimenticola,Anaerocolumna sedimenticola,species,0.03152534964669001,fraction_reads,0.03,753,753
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,33038,33038,                  [Ruminococcus]_gnavus,[Ruminococcus]_gnavus,species,0.2924782106663697,fraction_reads,0.29,6986,6982
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,46228,46228,                  [Ruminococcus]_lactaris,[Ruminococcus]_lactaris,species,0.12585020058160712,fraction_reads,0.13,3006,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,29347,29347,                  [Clostridium]_scindens,[Clostridium]_scindens,species,0.12471980955841902,fraction_reads,0.12,2979,2978
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1871021,1871021,                  Lachnoclostridium_phocaeense,Lachnoclostridium phocaeense,species,0.05233291774018926,fraction_reads,0.05,1250,1250
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,89153,89153,                  [Clostridium]_hylemonae,[Clostridium]_hylemonae,species,0.03265574066987809,fraction_reads,0.03,780,721
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,66219,66219,                  Lachnoclostridium_phytofermentans,Lachnoclostridium phytofermentans,species,0.01766759302908789,fraction_reads,0.02,422,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,208479,208479,                  Enterocloster_bolteae,Enterocloster bolteae,species,0.08038336164893069,fraction_reads,0.08,1920,1920
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,333367,333367,                  Enterocloster_asparagiformis,Enterocloster asparagiformis,species,0.028469107250662956,fraction_reads,0.03,680,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,84030,84030,                  Lacrimispora_saccharolytica,Lacrimispora saccharolytica,species,0.02901336959516092,fraction_reads,0.03,693,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,29375,29375,                  Lacrimispora_xylanolytica,Lacrimispora xylanolytica,species,0.02089130076188355,fraction_reads,0.02,499,499
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1653434,1653434,                  Sellimonas_intestinalis,Sellimonas intestinalis,species,0.0447132449172177,fraction_reads,0.04,1068,1068
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2763670,2763670,                  Wujia_chipingensis,Wujia chipingensis,species,0.04287112621276303,fraction_reads,0.04,1024,1024
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,168384,168384,                  Marvinbryantia_formatexigens,Marvinbryantia formatexigens,species,0.028510973584855107,fraction_reads,0.03,681,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,185007,185007,                  Pseudobutyrivibrio_xylanivorans,Pseudobutyrivibrio xylanivorans,species,0.02620832520428678,fraction_reads,0.03,626,626
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2763669,2763669,                  Qiania_dongpingensis,Qiania dongpingensis,species,0.01850491971293092,fraction_reads,0.02,442,442
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2068655,2068655,                  Novisyntrophococcus_fermenticellae,Novisyntrophococcus fermenticellae,species,0.016913999013629166,fraction_reads,0.02,404,404
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2490855,2490855,                  Lachnoanaerobaculum_gingivalis,Lachnoanaerobaculum gingivalis,species,0.01101084589253582,fraction_reads,0.01,263,263
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,617123,617123,                  Lachnoanaerobaculum_umeaense,Lachnoanaerobaculum umeaense,species,0.004270366087599444,fraction_reads,0.0,102,102
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2785025,2785025,                  Anaeromicropila_herbilytica,Anaeromicropila herbilytica,species,0.011555108237033786,fraction_reads,0.01,276,276
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2709410,2709410,                  Chordicoccus_furentiruminis,Chordicoccus furentiruminis,species,0.009629256864194823,fraction_reads,0.01,230,230
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,1679721,1679721,                  Herbinix_luporum,Herbinix luporum,species,0.005735687784324742,fraction_reads,0.01,137,137
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,28446,28446,                  Anaerotignum_propionicum,Anaerotignum propionicum,species,0.002177049377991873,fraction_reads,0.0,52,0
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2934315,2934315,                  Anaeropeptidivorans_aminofermentans,Anaeropeptidivorans aminofermentans,species,0.001967717707031116,fraction_reads,0.0,47,47
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,36835,36835,                  [Clostridium]_colinum,[Clostridium]_colinum,species,0.001465321696725299,fraction_reads,0.0,35,35
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929494,2929494,                    Faecalibacterium_sp._I4-1-79,Faecalibacterium_sp._I4-1-79,species,0.7841145730848036,fraction_reads,0.78,18729,18729
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929495,2929495,                    Faecalibacterium_sp._I4-3-84,Faecalibacterium_sp._I4-3-84,species,0.7548500054844898,fraction_reads,0.75,18030,18030
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929490,2929490,                    Faecalibacterium_sp._I2-3-92,Faecalibacterium_sp._I2-3-92,species,0.6995027116824656,fraction_reads,0.7,16708,16708
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929489,2929489,                    Faecalibacterium_sp._IP-3-29,Faecalibacterium_sp._IP-3-29,species,0.6972837959702817,fraction_reads,0.7,16655,16655
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929493,2929493,                    Faecalibacterium_sp._I3-3-89,Faecalibacterium_sp._I3-3-89,species,0.6819607176559542,fraction_reads,0.68,16289,16289
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929488,2929488,                    Faecalibacterium_sp._IP-1-18,Faecalibacterium_sp._IP-1-18,species,0.5468999235520738,fraction_reads,0.55,13063,13063
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929491,2929491,                    Faecalibacterium_sp._HTF-F,Faecalibacterium_sp._HTF-F,species,0.0072847421494343445,fraction_reads,0.01,174,174
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,2929492,2929492,                    Faecalibacterium_sp._I3-3-33,Faecalibacterium_sp._I3-3-33,species,0.006740479804936375,fraction_reads,0.01,161,161
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,853,853,                  Faecalibacterium_prausnitzii,Faecalibacterium prausnitzii,species,0.8967768783958832,fraction_reads,0.9,21420,21420
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,411483,411483,                  Faecalibacterium_duncaniae,Faecalibacterium duncaniae,species,0.19245953828132,fraction_reads,0.19,4597,4597
Centrifuger,default,Centrifuger_default,simulated,simulated,ont,sim_ont,292800,292800,                  Flavonifractor_plautii,Flavonifractor plautii,species,1.1979632865742202,fraction_reads,1.2,28614,28614
